Drug,Target
Cladribine,RRM2
Cladribine,RRM2B
Gefitinib,EGFR
Megestrol acetate,PGR
Lenalidomide,PTGS2
Celecoxib,PTGS2
Celecoxib,PDPK1
Mitotane,ESR1
Mitotane,PGR
Tretinoin,RXRB
Tretinoin,RXRG
Tretinoin,RARA
Tretinoin,RXRA
Sirolimus,MTOR
Sirolimus,FGF2
Fulvestrant,ESR1
Thalidomide,TNF
Thalidomide,NFKB1
Thalidomide,FGFR2
Thalidomide,PTGS2
Paclitaxel,BCL2
Paclitaxel,MAPT
Docetaxel,BCL2
Docetaxel,MAPT
Dasatinib,ABL1
Dasatinib,SRC
Dasatinib,EPHA2
Dasatinib,LCK
Dasatinib,KIT
Dasatinib,STAT5B
Dasatinib,ABL2
Dasatinib,FYN
Dasatinib,FGR
Dasatinib,HSPA8
Dasatinib,LYN
Dasatinib,MAPK14
Everolimus,MTOR
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
Nilotinib,ABL1
Nilotinib,KIT
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
