src,dest,path
18,1315,Oxytocin signaling pathway
18,1316,Oxytocin signaling pathway
18,1317,Oxytocin signaling pathway
18,1933,Hippo signaling pathway
19,1315,Oxytocin signaling pathway
19,1316,Oxytocin signaling pathway
19,1317,Oxytocin signaling pathway
19,1933,Hippo signaling pathway
20,23,TGF-beta signaling pathway
20,185,TGF-beta signaling pathway
20,850,TGF-beta signaling pathway
20,1225,Signaling pathways regulating pluripotency of stem cells
20,1227,Signaling pathways regulating pluripotency of stem cells
20,1228,Signaling pathways regulating pluripotency of stem cells
20,1229,Signaling pathways regulating pluripotency of stem cells
20,1230,Signaling pathways regulating pluripotency of stem cells
20,1232,Signaling pathways regulating pluripotency of stem cells
20,1337,TGF-beta signaling pathway
20,1874,TGF-beta signaling pathway
20,1874,Signaling pathways regulating pluripotency of stem cells
20,1875,TGF-beta signaling pathway
20,1876,TGF-beta signaling pathway
20,1878,TGF-beta signaling pathway
20,1878,Signaling pathways regulating pluripotency of stem cells
20,1881,TGF-beta signaling pathway
20,1881,Signaling pathways regulating pluripotency of stem cells
21,1875,TGF-beta signaling pathway
21,1875,Signaling pathways regulating pluripotency of stem cells
21,1876,TGF-beta signaling pathway
21,1876,Signaling pathways regulating pluripotency of stem cells
22,1875,TGF-beta signaling pathway
22,1875,Signaling pathways regulating pluripotency of stem cells
22,1876,TGF-beta signaling pathway
22,1876,Signaling pathways regulating pluripotency of stem cells
23,1875,Signaling pathways regulating pluripotency of stem cells
23,1876,Signaling pathways regulating pluripotency of stem cells
24,1875,Signaling pathways regulating pluripotency of stem cells
24,1876,Signaling pathways regulating pluripotency of stem cells
25,1368,Notch signaling pathway
25,1369,Notch signaling pathway
25,1370,Notch signaling pathway
25,1371,Notch signaling pathway
26,1618,Chemokine signaling pathway
26,1619,Chemokine signaling pathway
26,1620,Chemokine signaling pathway
28,1618,Chemokine signaling pathway
28,1619,Chemokine signaling pathway
28,1620,Chemokine signaling pathway
29,1618,Chemokine signaling pathway
29,1619,Chemokine signaling pathway
29,1620,Chemokine signaling pathway
30,1618,Chemokine signaling pathway
30,1619,Chemokine signaling pathway
30,1620,Chemokine signaling pathway
31,1618,Chemokine signaling pathway
31,1619,Chemokine signaling pathway
31,1620,Chemokine signaling pathway
32,1618,Chemokine signaling pathway
32,1619,Chemokine signaling pathway
32,1620,Chemokine signaling pathway
33,1618,Chemokine signaling pathway
33,1619,Chemokine signaling pathway
33,1620,Chemokine signaling pathway
34,1618,Chemokine signaling pathway
34,1619,Chemokine signaling pathway
34,1620,Chemokine signaling pathway
35,1618,Chemokine signaling pathway
35,1619,Chemokine signaling pathway
35,1620,Chemokine signaling pathway
36,37,cAMP signaling pathway
36,43,cAMP signaling pathway
36,52,cAMP signaling pathway
36,529,cAMP signaling pathway
36,531,cAMP signaling pathway
36,693,cAMP signaling pathway
36,740,cAMP signaling pathway
36,746,cAMP signaling pathway
36,781,cAMP signaling pathway
36,885,cAMP signaling pathway
36,887,cAMP signaling pathway
36,1155,cAMP signaling pathway
36,1249,cAMP signaling pathway
36,1378,cAMP signaling pathway
36,1655,cAMP signaling pathway
36,2069,cAMP signaling pathway
36,2098,cAMP signaling pathway
37,758,cAMP signaling pathway
39,40,AMPK signaling pathway
39,40,Adipocytokine signaling pathway
39,41,AMPK signaling pathway
39,41,Adipocytokine signaling pathway
40,241,Adipocytokine signaling pathway
40,1561,Adipocytokine signaling pathway
40,1932,Adipocytokine signaling pathway
41,241,Adipocytokine signaling pathway
41,1561,Adipocytokine signaling pathway
41,1932,Adipocytokine signaling pathway
42,752,cGMP-PKG signaling pathway
42,752,cAMP signaling pathway
42,752,Sphingolipid signaling pathway
42,753,cGMP-PKG signaling pathway
42,753,cAMP signaling pathway
42,753,Sphingolipid signaling pathway
42,754,cGMP-PKG signaling pathway
42,754,cAMP signaling pathway
42,754,Sphingolipid signaling pathway
43,755,Calcium signaling pathway
43,757,Rap1 signaling pathway
43,758,Rap1 signaling pathway
43,758,Calcium signaling pathway
43,758,cAMP signaling pathway
44,755,Calcium signaling pathway
44,757,Rap1 signaling pathway
44,758,Rap1 signaling pathway
44,758,Calcium signaling pathway
45,752,cGMP-PKG signaling pathway
45,752,Sphingolipid signaling pathway
45,753,cGMP-PKG signaling pathway
45,753,Sphingolipid signaling pathway
45,754,cGMP-PKG signaling pathway
45,754,Sphingolipid signaling pathway
46,747,Calcium signaling pathway
46,747,cGMP-PKG signaling pathway
46,748,cGMP-PKG signaling pathway
46,749,cGMP-PKG signaling pathway
46,750,Calcium signaling pathway
46,751,Calcium signaling pathway
46,757,Calcium signaling pathway
46,757,cGMP-PKG signaling pathway
46,1614,AMPK signaling pathway
46,1615,AMPK signaling pathway
46,1616,AMPK signaling pathway
46,1617,AMPK signaling pathway
46,1621,AMPK signaling pathway
46,1622,AMPK signaling pathway
46,1623,AMPK signaling pathway
46,2064,cGMP-PKG signaling pathway
47,747,Calcium signaling pathway
47,747,cGMP-PKG signaling pathway
47,748,cGMP-PKG signaling pathway
47,749,cGMP-PKG signaling pathway
47,750,Calcium signaling pathway
47,751,Calcium signaling pathway
47,757,Calcium signaling pathway
47,757,cGMP-PKG signaling pathway
47,2064,cGMP-PKG signaling pathway
48,747,Calcium signaling pathway
48,747,cGMP-PKG signaling pathway
48,748,cGMP-PKG signaling pathway
48,749,cGMP-PKG signaling pathway
48,750,Calcium signaling pathway
48,751,Calcium signaling pathway
48,757,Calcium signaling pathway
48,757,cGMP-PKG signaling pathway
48,2064,cGMP-PKG signaling pathway
49,747,cGMP-PKG signaling pathway
49,748,cGMP-PKG signaling pathway
49,749,cGMP-PKG signaling pathway
49,757,cGMP-PKG signaling pathway
49,2064,cGMP-PKG signaling pathway
50,747,cGMP-PKG signaling pathway
50,748,cGMP-PKG signaling pathway
50,749,cGMP-PKG signaling pathway
50,757,cGMP-PKG signaling pathway
50,2064,cGMP-PKG signaling pathway
51,747,cGMP-PKG signaling pathway
51,748,cGMP-PKG signaling pathway
51,749,cGMP-PKG signaling pathway
51,757,cGMP-PKG signaling pathway
51,2064,cGMP-PKG signaling pathway
52,752,cGMP-PKG signaling pathway
52,753,cGMP-PKG signaling pathway
52,754,cGMP-PKG signaling pathway
52,755,Calcium signaling pathway
52,758,Calcium signaling pathway
52,758,cAMP signaling pathway
53,752,cGMP-PKG signaling pathway
53,752,cAMP signaling pathway
53,753,cGMP-PKG signaling pathway
53,753,cAMP signaling pathway
53,754,cGMP-PKG signaling pathway
53,754,cAMP signaling pathway
53,755,Calcium signaling pathway
53,758,Calcium signaling pathway
54,752,cGMP-PKG signaling pathway
54,753,cGMP-PKG signaling pathway
54,754,cGMP-PKG signaling pathway
54,755,Calcium signaling pathway
54,758,Calcium signaling pathway
55,451,Rap1 signaling pathway
55,1850,Rap1 signaling pathway
57,1490,FoxO signaling pathway
57,1491,FoxO signaling pathway
57,1492,FoxO signaling pathway
57,1494,FoxO signaling pathway
57,1495,FoxO signaling pathway
57,1496,FoxO signaling pathway
58,480,AGE-RAGE signaling pathway in diabetic complications
58,513,AGE-RAGE signaling pathway in diabetic complications
58,1053,AGE-RAGE signaling pathway in diabetic complications
58,1373,AGE-RAGE signaling pathway in diabetic complications
58,1374,AGE-RAGE signaling pathway in diabetic complications
58,1490,AGE-RAGE signaling pathway in diabetic complications
58,1491,AGE-RAGE signaling pathway in diabetic complications
58,1492,AGE-RAGE signaling pathway in diabetic complications
58,1494,AGE-RAGE signaling pathway in diabetic complications
58,1495,AGE-RAGE signaling pathway in diabetic complications
58,1496,AGE-RAGE signaling pathway in diabetic complications
58,1533,AGE-RAGE signaling pathway in diabetic complications
58,1534,AGE-RAGE signaling pathway in diabetic complications
58,1535,AGE-RAGE signaling pathway in diabetic complications
58,1536,AGE-RAGE signaling pathway in diabetic complications
58,1537,AGE-RAGE signaling pathway in diabetic complications
58,1538,AGE-RAGE signaling pathway in diabetic complications
58,1539,AGE-RAGE signaling pathway in diabetic complications
58,1540,AGE-RAGE signaling pathway in diabetic complications
58,1541,AGE-RAGE signaling pathway in diabetic complications
58,1542,AGE-RAGE signaling pathway in diabetic complications
58,1629,AGE-RAGE signaling pathway in diabetic complications
