src,dest,path
ACTB,MYL6,Oxytocin signaling pathway
ACTB,MYL6B,Oxytocin signaling pathway
ACTB,MYL9,Oxytocin signaling pathway
ACTB,STK3,Hippo signaling pathway
ACTG1,MYL6,Oxytocin signaling pathway
ACTG1,MYL6B,Oxytocin signaling pathway
ACTG1,MYL9,Oxytocin signaling pathway
ACTG1,STK3,Hippo signaling pathway
ACVR1,ACVR2A,TGF-beta signaling pathway
ACVR1,BMPR2,TGF-beta signaling pathway
ACVR1,HJV,TGF-beta signaling pathway
ACVR1,MAPK1,Signaling pathways regulating pluripotency of stem cells
ACVR1,MAPK11,Signaling pathways regulating pluripotency of stem cells
ACVR1,MAPK12,Signaling pathways regulating pluripotency of stem cells
ACVR1,MAPK13,Signaling pathways regulating pluripotency of stem cells
ACVR1,MAPK14,Signaling pathways regulating pluripotency of stem cells
ACVR1,MAPK3,Signaling pathways regulating pluripotency of stem cells
ACVR1,NEO1,TGF-beta signaling pathway
ACVR1,SMAD1,TGF-beta signaling pathway
ACVR1,SMAD1,Signaling pathways regulating pluripotency of stem cells
ACVR1,SMAD2,TGF-beta signaling pathway
ACVR1,SMAD3,TGF-beta signaling pathway
ACVR1,SMAD5,TGF-beta signaling pathway
ACVR1,SMAD5,Signaling pathways regulating pluripotency of stem cells
ACVR1,SMAD9,TGF-beta signaling pathway
ACVR1,SMAD9,Signaling pathways regulating pluripotency of stem cells
ACVR1B,SMAD2,TGF-beta signaling pathway
ACVR1B,SMAD2,Signaling pathways regulating pluripotency of stem cells
ACVR1B,SMAD3,TGF-beta signaling pathway
ACVR1B,SMAD3,Signaling pathways regulating pluripotency of stem cells
ACVR1C,SMAD2,TGF-beta signaling pathway
ACVR1C,SMAD2,Signaling pathways regulating pluripotency of stem cells
ACVR1C,SMAD3,TGF-beta signaling pathway
ACVR1C,SMAD3,Signaling pathways regulating pluripotency of stem cells
ACVR2A,SMAD2,Signaling pathways regulating pluripotency of stem cells
ACVR2A,SMAD3,Signaling pathways regulating pluripotency of stem cells
ACVR2B,SMAD2,Signaling pathways regulating pluripotency of stem cells
ACVR2B,SMAD3,Signaling pathways regulating pluripotency of stem cells
ADAM17,NOTCH1,Notch signaling pathway
ADAM17,NOTCH2,Notch signaling pathway
ADAM17,NOTCH3,Notch signaling pathway
ADAM17,NOTCH4,Notch signaling pathway
ADCY1,PRKACA,Chemokine signaling pathway
ADCY1,PRKACB,Chemokine signaling pathway
ADCY1,PRKACG,Chemokine signaling pathway
ADCY2,PRKACA,Chemokine signaling pathway
ADCY2,PRKACB,Chemokine signaling pathway
ADCY2,PRKACG,Chemokine signaling pathway
ADCY3,PRKACA,Chemokine signaling pathway
ADCY3,PRKACB,Chemokine signaling pathway
ADCY3,PRKACG,Chemokine signaling pathway
ADCY4,PRKACA,Chemokine signaling pathway
ADCY4,PRKACB,Chemokine signaling pathway
ADCY4,PRKACG,Chemokine signaling pathway
ADCY5,PRKACA,Chemokine signaling pathway
ADCY5,PRKACB,Chemokine signaling pathway
ADCY5,PRKACG,Chemokine signaling pathway
ADCY6,PRKACA,Chemokine signaling pathway
ADCY6,PRKACB,Chemokine signaling pathway
ADCY6,PRKACG,Chemokine signaling pathway
ADCY7,PRKACA,Chemokine signaling pathway
ADCY7,PRKACB,Chemokine signaling pathway
