src,dest,path
0,417,ErbB signaling pathway
0,418,ErbB signaling pathway
0,1395,Neurotrophin signaling pathway
0,1396,Neurotrophin signaling pathway
0,1397,Neurotrophin signaling pathway
0,1749,Ras signaling pathway
1,417,ErbB signaling pathway
1,418,ErbB signaling pathway
1,1749,Ras signaling pathway
2,1561,PPAR signaling pathway
2,1793,PPAR signaling pathway
2,1794,PPAR signaling pathway
2,1795,PPAR signaling pathway
3,1614,AMPK signaling pathway
3,1614,Insulin signaling pathway
3,1614,Glucagon signaling pathway
3,1615,AMPK signaling pathway
3,1615,Insulin signaling pathway
3,1615,Glucagon signaling pathway
3,1616,AMPK signaling pathway
3,1616,Insulin signaling pathway
3,1616,Glucagon signaling pathway
3,1617,AMPK signaling pathway
3,1617,Insulin signaling pathway
3,1617,Glucagon signaling pathway
3,1621,AMPK signaling pathway
3,1621,Insulin signaling pathway
3,1621,Glucagon signaling pathway
3,1622,AMPK signaling pathway
3,1622,Insulin signaling pathway
3,1622,Glucagon signaling pathway
3,1623,AMPK signaling pathway
3,1623,Insulin signaling pathway
3,1623,Glucagon signaling pathway
3,1912,AMPK signaling pathway
3,1912,Insulin signaling pathway
4,1614,AMPK signaling pathway
4,1614,Insulin signaling pathway
4,1614,Adipocytokine signaling pathway
4,1614,Glucagon signaling pathway
4,1615,AMPK signaling pathway
4,1615,Insulin signaling pathway
4,1615,Adipocytokine signaling pathway
4,1615,Glucagon signaling pathway
4,1616,AMPK signaling pathway
4,1616,Insulin signaling pathway
4,1616,Adipocytokine signaling pathway
4,1616,Glucagon signaling pathway
4,1617,AMPK signaling pathway
4,1617,Insulin signaling pathway
4,1617,Adipocytokine signaling pathway
4,1617,Glucagon signaling pathway
4,1621,AMPK signaling pathway
4,1621,Insulin signaling pathway
4,1621,Adipocytokine signaling pathway
4,1621,Glucagon signaling pathway
4,1622,AMPK signaling pathway
4,1622,Insulin signaling pathway
4,1622,Adipocytokine signaling pathway
4,1622,Glucagon signaling pathway
4,1623,AMPK signaling pathway
4,1623,Insulin signaling pathway
4,1623,Adipocytokine signaling pathway
4,1623,Glucagon signaling pathway
4,1912,Insulin signaling pathway
5,1562,PPAR signaling pathway
5,1793,PPAR signaling pathway
5,1794,PPAR signaling pathway
5,1795,PPAR signaling pathway
6,1561,PPAR signaling pathway
6,1793,PPAR signaling pathway
6,1794,PPAR signaling pathway
6,1795,PPAR signaling pathway
7,1561,PPAR signaling pathway
7,1561,cAMP signaling pathway
7,1562,PPAR signaling pathway
7,1793,PPAR signaling pathway
7,1794,PPAR signaling pathway
7,1795,PPAR signaling pathway
8,1561,PPAR signaling pathway
8,1562,PPAR signaling pathway
8,1793,PPAR signaling pathway
8,1794,PPAR signaling pathway
8,1795,PPAR signaling pathway
9,1561,PPAR signaling pathway
9,1561,cAMP signaling pathway
9,1562,PPAR signaling pathway
9,1793,PPAR signaling pathway
9,1794,PPAR signaling pathway
9,1795,PPAR signaling pathway
10,1561,PPAR signaling pathway
10,1563,PPAR signaling pathway
10,1793,PPAR signaling pathway
10,1794,PPAR signaling pathway
10,1795,PPAR signaling pathway
11,1561,PPAR signaling pathway
11,1563,PPAR signaling pathway
11,1793,PPAR signaling pathway
11,1794,PPAR signaling pathway
11,1795,PPAR signaling pathway
12,1561,PPAR signaling pathway
12,1563,PPAR signaling pathway
12,1793,PPAR signaling pathway
12,1794,PPAR signaling pathway
12,1795,PPAR signaling pathway
13,1561,PPAR signaling pathway
13,1563,PPAR signaling pathway
13,1793,PPAR signaling pathway
13,1794,PPAR signaling pathway
13,1795,PPAR signaling pathway
14,1561,PPAR signaling pathway
14,1563,PPAR signaling pathway
14,1793,PPAR signaling pathway
14,1794,PPAR signaling pathway
14,1795,PPAR signaling pathway
15,1561,PPAR signaling pathway
15,1563,PPAR signaling pathway
15,1793,PPAR signaling pathway
15,1794,PPAR signaling pathway
15,1795,PPAR signaling pathway
16,1561,PPAR signaling pathway
16,1563,PPAR signaling pathway
16,1793,PPAR signaling pathway
16,1794,PPAR signaling pathway
16,1795,PPAR signaling pathway
17,1875,Apelin signaling pathway
17,1875,Relaxin signaling pathway
17,1876,Apelin signaling pathway
17,1877,Apelin signaling pathway
18,339,Rap1 signaling pathway
18,594,Rap1 signaling pathway
18,615,Rap1 signaling pathway
18,1315,Oxytocin signaling pathway
18,1316,Oxytocin signaling pathway
18,1317,Oxytocin signaling pathway
18,1467,Rap1 signaling pathway
18,1468,Rap1 signaling pathway
18,1469,Rap1 signaling pathway
18,1470,Rap1 signaling pathway
18,1746,Rap1 signaling pathway
18,1933,Hippo signaling pathway
18,1997,Thyroid hormone signaling pathway
18,2084,Rap1 signaling pathway
19,339,Rap1 signaling pathway
19,594,Rap1 signaling pathway
19,615,Rap1 signaling pathway
19,1315,Oxytocin signaling pathway
19,1316,Oxytocin signaling pathway
19,1317,Oxytocin signaling pathway
19,1467,Rap1 signaling pathway
19,1468,Rap1 signaling pathway
19,1469,Rap1 signaling pathway
19,1470,Rap1 signaling pathway
19,1746,Rap1 signaling pathway
19,1933,Hippo signaling pathway
19,1997,Thyroid hormone signaling pathway
19,2084,Rap1 signaling pathway
20,23,TGF-beta signaling pathway
20,154,TGF-beta signaling pathway
20,176,TGF-beta signaling pathway
20,177,TGF-beta signaling pathway
20,177,Signaling pathways regulating pluripotency of stem cells
20,179,TGF-beta signaling pathway
20,185,TGF-beta signaling pathway
20,850,TGF-beta signaling pathway
20,993,TGF-beta signaling pathway
20,1225,Signaling pathways regulating pluripotency of stem cells
20,1227,Signaling pathways regulating pluripotency of stem cells
20,1228,Signaling pathways regulating pluripotency of stem cells
20,1229,Signaling pathways regulating pluripotency of stem cells
20,1230,Signaling pathways regulating pluripotency of stem cells
20,1232,Signaling pathways regulating pluripotency of stem cells
20,1337,TGF-beta signaling pathway
20,1741,TGF-beta signaling pathway
20,1742,TGF-beta signaling pathway
20,1874,TGF-beta signaling pathway
20,1874,Signaling pathways regulating pluripotency of stem cells
20,1875,TGF-beta signaling pathway
20,1876,TGF-beta signaling pathway
20,1878,TGF-beta signaling pathway
20,1878,Signaling pathways regulating pluripotency of stem cells
20,1881,TGF-beta signaling pathway
20,1881,Signaling pathways regulating pluripotency of stem cells
21,154,TGF-beta signaling pathway
21,992,Signaling pathways regulating pluripotency of stem cells
21,993,Signaling pathways regulating pluripotency of stem cells
21,994,Signaling pathways regulating pluripotency of stem cells
21,995,Signaling pathways regulating pluripotency of stem cells
21,1363,Signaling pathways regulating pluripotency of stem cells
21,1875,TGF-beta signaling pathway
21,1875,Signaling pathways regulating pluripotency of stem cells
21,1876,TGF-beta signaling pathway
21,1876,Signaling pathways regulating pluripotency of stem cells
22,992,Signaling pathways regulating pluripotency of stem cells
22,993,Signaling pathways regulating pluripotency of stem cells
22,994,Signaling pathways regulating pluripotency of stem cells
22,995,Signaling pathways regulating pluripotency of stem cells
22,1363,Signaling pathways regulating pluripotency of stem cells
22,1875,TGF-beta signaling pathway
22,1875,Signaling pathways regulating pluripotency of stem cells
22,1876,TGF-beta signaling pathway
22,1876,Signaling pathways regulating pluripotency of stem cells
23,20,TGF-beta signaling pathway
23,183,TGF-beta signaling pathway
23,184,TGF-beta signaling pathway
23,992,TGF-beta signaling pathway
23,992,Signaling pathways regulating pluripotency of stem cells
23,993,TGF-beta signaling pathway
23,993,Signaling pathways regulating pluripotency of stem cells
23,994,TGF-beta signaling pathway
23,994,Signaling pathways regulating pluripotency of stem cells
23,995,TGF-beta signaling pathway
23,995,Signaling pathways regulating pluripotency of stem cells
23,1363,TGF-beta signaling pathway
23,1363,Signaling pathways regulating pluripotency of stem cells
23,1875,Signaling pathways regulating pluripotency of stem cells
23,1876,Signaling pathways regulating pluripotency of stem cells
24,992,TGF-beta signaling pathway
24,992,Signaling pathways regulating pluripotency of stem cells
24,993,TGF-beta signaling pathway
