src,dest,path
ABL1,CRK,ErbB signaling pathway
ABL1,CRKL,ErbB signaling pathway
ABL1,NTRK1,Neurotrophin signaling pathway
ABL1,NTRK2,Neurotrophin signaling pathway
ABL1,NTRK3,Neurotrophin signaling pathway
ABL1,RIN1,Ras signaling pathway
ABL2,CRK,ErbB signaling pathway
ABL2,CRKL,ErbB signaling pathway
ABL2,RIN1,Ras signaling pathway
ACAA1,PPARA,PPAR signaling pathway
ACAA1,RXRA,PPAR signaling pathway
ACAA1,RXRB,PPAR signaling pathway
ACAA1,RXRG,PPAR signaling pathway
ACACA,PRKAA1,AMPK signaling pathway
ACACA,PRKAA1,Insulin signaling pathway
ACACA,PRKAA1,Glucagon signaling pathway
ACACA,PRKAA2,AMPK signaling pathway
ACACA,PRKAA2,Insulin signaling pathway
ACACA,PRKAA2,Glucagon signaling pathway
ACACA,PRKAB1,AMPK signaling pathway
ACACA,PRKAB1,Insulin signaling pathway
ACACA,PRKAB1,Glucagon signaling pathway
ACACA,PRKAB2,AMPK signaling pathway
ACACA,PRKAB2,Insulin signaling pathway
ACACA,PRKAB2,Glucagon signaling pathway
ACACA,PRKAG1,AMPK signaling pathway
ACACA,PRKAG1,Insulin signaling pathway
ACACA,PRKAG1,Glucagon signaling pathway
ACACA,PRKAG2,AMPK signaling pathway
ACACA,PRKAG2,Insulin signaling pathway
ACACA,PRKAG2,Glucagon signaling pathway
ACACA,PRKAG3,AMPK signaling pathway
ACACA,PRKAG3,Insulin signaling pathway
ACACA,PRKAG3,Glucagon signaling pathway
ACACA,SREBF1,AMPK signaling pathway
ACACA,SREBF1,Insulin signaling pathway
ACACB,PRKAA1,AMPK signaling pathway
ACACB,PRKAA1,Insulin signaling pathway
ACACB,PRKAA1,Adipocytokine signaling pathway
ACACB,PRKAA1,Glucagon signaling pathway
ACACB,PRKAA2,AMPK signaling pathway
ACACB,PRKAA2,Insulin signaling pathway
ACACB,PRKAA2,Adipocytokine signaling pathway
ACACB,PRKAA2,Glucagon signaling pathway
ACACB,PRKAB1,AMPK signaling pathway
ACACB,PRKAB1,Insulin signaling pathway
ACACB,PRKAB1,Adipocytokine signaling pathway
ACACB,PRKAB1,Glucagon signaling pathway
ACACB,PRKAB2,AMPK signaling pathway
ACACB,PRKAB2,Insulin signaling pathway
ACACB,PRKAB2,Adipocytokine signaling pathway
ACACB,PRKAB2,Glucagon signaling pathway
ACACB,PRKAG1,AMPK signaling pathway
ACACB,PRKAG1,Insulin signaling pathway
ACACB,PRKAG1,Adipocytokine signaling pathway
ACACB,PRKAG1,Glucagon signaling pathway
ACACB,PRKAG2,AMPK signaling pathway
ACACB,PRKAG2,Insulin signaling pathway
ACACB,PRKAG2,Adipocytokine signaling pathway
ACACB,PRKAG2,Glucagon signaling pathway
ACACB,PRKAG3,AMPK signaling pathway
ACACB,PRKAG3,Insulin signaling pathway
ACACB,PRKAG3,Adipocytokine signaling pathway
ACACB,PRKAG3,Glucagon signaling pathway
ACACB,SREBF1,Insulin signaling pathway
ACADL,PPARD,PPAR signaling pathway
ACADL,RXRA,PPAR signaling pathway
ACADL,RXRB,PPAR signaling pathway
ACADL,RXRG,PPAR signaling pathway
ACADM,PPARA,PPAR signaling pathway
ACADM,RXRA,PPAR signaling pathway
ACADM,RXRB,PPAR signaling pathway
ACADM,RXRG,PPAR signaling pathway
ACOX1,PPARA,PPAR signaling pathway
ACOX1,PPARA,cAMP signaling pathway
ACOX1,PPARD,PPAR signaling pathway
ACOX1,RXRA,PPAR signaling pathway
ACOX1,RXRB,PPAR signaling pathway
ACOX1,RXRG,PPAR signaling pathway
ACOX2,PPARA,PPAR signaling pathway
ACOX2,PPARD,PPAR signaling pathway
ACOX2,RXRA,PPAR signaling pathway
ACOX2,RXRB,PPAR signaling pathway
ACOX2,RXRG,PPAR signaling pathway
ACOX3,PPARA,PPAR signaling pathway
ACOX3,PPARA,cAMP signaling pathway
ACOX3,PPARD,PPAR signaling pathway
ACOX3,RXRA,PPAR signaling pathway
ACOX3,RXRB,PPAR signaling pathway
ACOX3,RXRG,PPAR signaling pathway
ACSBG1,PPARA,PPAR signaling pathway
ACSBG1,PPARG,PPAR signaling pathway
ACSBG1,RXRA,PPAR signaling pathway
ACSBG1,RXRB,PPAR signaling pathway
ACSBG1,RXRG,PPAR signaling pathway
ACSBG2,PPARA,PPAR signaling pathway
ACSBG2,PPARG,PPAR signaling pathway
ACSBG2,RXRA,PPAR signaling pathway
ACSBG2,RXRB,PPAR signaling pathway
ACSBG2,RXRG,PPAR signaling pathway
ACSL1,PPARA,PPAR signaling pathway
ACSL1,PPARG,PPAR signaling pathway
ACSL1,RXRA,PPAR signaling pathway
ACSL1,RXRB,PPAR signaling pathway
ACSL1,RXRG,PPAR signaling pathway
ACSL3,PPARA,PPAR signaling pathway
ACSL3,PPARG,PPAR signaling pathway
ACSL3,RXRA,PPAR signaling pathway
ACSL3,RXRB,PPAR signaling pathway
ACSL3,RXRG,PPAR signaling pathway
ACSL4,PPARA,PPAR signaling pathway
ACSL4,PPARG,PPAR signaling pathway
ACSL4,RXRA,PPAR signaling pathway
ACSL4,RXRB,PPAR signaling pathway
ACSL4,RXRG,PPAR signaling pathway
ACSL5,PPARA,PPAR signaling pathway
ACSL5,PPARG,PPAR signaling pathway
ACSL5,RXRA,PPAR signaling pathway
ACSL5,RXRB,PPAR signaling pathway
ACSL5,RXRG,PPAR signaling pathway
ACSL6,PPARA,PPAR signaling pathway
ACSL6,PPARG,PPAR signaling pathway
ACSL6,RXRA,PPAR signaling pathway
ACSL6,RXRB,PPAR signaling pathway
ACSL6,RXRG,PPAR signaling pathway
ACTA2,SMAD2,Apelin signaling pathway
ACTA2,SMAD2,Relaxin signaling pathway
ACTA2,SMAD3,Apelin signaling pathway
ACTA2,SMAD4,Apelin signaling pathway
ACTB,CDC42,Rap1 signaling pathway
ACTB,ENAH,Rap1 signaling pathway
ACTB,EVL,Rap1 signaling pathway
ACTB,MYL6,Oxytocin signaling pathway
ACTB,MYL6B,Oxytocin signaling pathway
ACTB,MYL9,Oxytocin signaling pathway
ACTB,PFN1,Rap1 signaling pathway
ACTB,PFN2,Rap1 signaling pathway
ACTB,PFN3,Rap1 signaling pathway
ACTB,PFN4,Rap1 signaling pathway
ACTB,RHOA,Rap1 signaling pathway
ACTB,STK3,Hippo signaling pathway
ACTB,THRA,Thyroid hormone signaling pathway
ACTB,VASP,Rap1 signaling pathway
ACTG1,CDC42,Rap1 signaling pathway
ACTG1,ENAH,Rap1 signaling pathway
ACTG1,EVL,Rap1 signaling pathway
ACTG1,MYL6,Oxytocin signaling pathway
ACTG1,MYL6B,Oxytocin signaling pathway
ACTG1,MYL9,Oxytocin signaling pathway
ACTG1,PFN1,Rap1 signaling pathway
ACTG1,PFN2,Rap1 signaling pathway
ACTG1,PFN3,Rap1 signaling pathway
ACTG1,PFN4,Rap1 signaling pathway
ACTG1,RHOA,Rap1 signaling pathway
