src,dest,path
0,404,ErbB signaling pathway
0,405,ErbB signaling pathway
0,1369,Neurotrophin signaling pathway
0,1370,Neurotrophin signaling pathway
0,1371,Neurotrophin signaling pathway
0,1712,Ras signaling pathway
1,404,ErbB signaling pathway
1,405,ErbB signaling pathway
1,1712,Ras signaling pathway
2,1524,PPAR signaling pathway
2,1756,PPAR signaling pathway
2,1757,PPAR signaling pathway
2,1758,PPAR signaling pathway
3,1577,AMPK signaling pathway
3,1577,Insulin signaling pathway
3,1577,Glucagon signaling pathway
3,1578,AMPK signaling pathway
3,1578,Insulin signaling pathway
3,1578,Glucagon signaling pathway
3,1579,AMPK signaling pathway
3,1579,Insulin signaling pathway
3,1579,Glucagon signaling pathway
3,1580,AMPK signaling pathway
3,1580,Insulin signaling pathway
3,1580,Glucagon signaling pathway
3,1584,AMPK signaling pathway
3,1584,Insulin signaling pathway
3,1584,Glucagon signaling pathway
3,1585,AMPK signaling pathway
3,1585,Insulin signaling pathway
3,1585,Glucagon signaling pathway
3,1586,AMPK signaling pathway
3,1586,Insulin signaling pathway
3,1586,Glucagon signaling pathway
3,1873,AMPK signaling pathway
3,1873,Insulin signaling pathway
4,1577,AMPK signaling pathway
4,1577,Insulin signaling pathway
4,1577,Adipocytokine signaling pathway
4,1577,Glucagon signaling pathway
4,1578,AMPK signaling pathway
4,1578,Insulin signaling pathway
4,1578,Adipocytokine signaling pathway
4,1578,Glucagon signaling pathway
4,1579,AMPK signaling pathway
4,1579,Insulin signaling pathway
4,1579,Adipocytokine signaling pathway
4,1579,Glucagon signaling pathway
4,1580,AMPK signaling pathway
4,1580,Insulin signaling pathway
4,1580,Adipocytokine signaling pathway
4,1580,Glucagon signaling pathway
4,1584,AMPK signaling pathway
4,1584,Insulin signaling pathway
4,1584,Adipocytokine signaling pathway
4,1584,Glucagon signaling pathway
4,1585,AMPK signaling pathway
4,1585,Insulin signaling pathway
4,1585,Adipocytokine signaling pathway
4,1585,Glucagon signaling pathway
4,1586,AMPK signaling pathway
4,1586,Insulin signaling pathway
4,1586,Adipocytokine signaling pathway
4,1586,Glucagon signaling pathway
4,1873,Insulin signaling pathway
5,1525,PPAR signaling pathway
5,1756,PPAR signaling pathway
5,1757,PPAR signaling pathway
5,1758,PPAR signaling pathway
6,1524,PPAR signaling pathway
6,1756,PPAR signaling pathway
6,1757,PPAR signaling pathway
6,1758,PPAR signaling pathway
7,1524,PPAR signaling pathway
7,1524,cAMP signaling pathway
7,1525,PPAR signaling pathway
7,1756,PPAR signaling pathway
7,1757,PPAR signaling pathway
7,1758,PPAR signaling pathway
8,1524,PPAR signaling pathway
8,1525,PPAR signaling pathway
8,1756,PPAR signaling pathway
8,1757,PPAR signaling pathway
8,1758,PPAR signaling pathway
9,1524,PPAR signaling pathway
9,1524,cAMP signaling pathway
9,1525,PPAR signaling pathway
9,1756,PPAR signaling pathway
9,1757,PPAR signaling pathway
9,1758,PPAR signaling pathway
10,1524,PPAR signaling pathway
10,1526,PPAR signaling pathway
10,1756,PPAR signaling pathway
10,1757,PPAR signaling pathway
10,1758,PPAR signaling pathway
11,1524,PPAR signaling pathway
11,1526,PPAR signaling pathway
11,1756,PPAR signaling pathway
11,1757,PPAR signaling pathway
11,1758,PPAR signaling pathway
12,1524,PPAR signaling pathway
12,1526,PPAR signaling pathway
12,1756,PPAR signaling pathway
12,1757,PPAR signaling pathway
12,1758,PPAR signaling pathway
13,1524,PPAR signaling pathway
13,1526,PPAR signaling pathway
13,1756,PPAR signaling pathway
13,1757,PPAR signaling pathway
13,1758,PPAR signaling pathway
14,1524,PPAR signaling pathway
14,1526,PPAR signaling pathway
14,1756,PPAR signaling pathway
14,1757,PPAR signaling pathway
14,1758,PPAR signaling pathway
15,1524,PPAR signaling pathway
15,1526,PPAR signaling pathway
15,1756,PPAR signaling pathway
15,1757,PPAR signaling pathway
15,1758,PPAR signaling pathway
16,1524,PPAR signaling pathway
16,1526,PPAR signaling pathway
16,1756,PPAR signaling pathway
16,1757,PPAR signaling pathway
16,1758,PPAR signaling pathway
17,1837,Apelin signaling pathway
17,1837,Relaxin signaling pathway
17,1838,Apelin signaling pathway
17,1839,Apelin signaling pathway
18,333,Rap1 signaling pathway
18,581,Rap1 signaling pathway
18,602,Rap1 signaling pathway
18,1289,Oxytocin signaling pathway
18,1290,Oxytocin signaling pathway
18,1291,Oxytocin signaling pathway
18,1433,Rap1 signaling pathway
18,1434,Rap1 signaling pathway
18,1435,Rap1 signaling pathway
18,1436,Rap1 signaling pathway
18,1709,Rap1 signaling pathway
18,1894,Hippo signaling pathway
18,1958,Thyroid hormone signaling pathway
18,2039,Rap1 signaling pathway
19,333,Rap1 signaling pathway
19,581,Rap1 signaling pathway
19,602,Rap1 signaling pathway
19,1289,Oxytocin signaling pathway
19,1290,Oxytocin signaling pathway
19,1291,Oxytocin signaling pathway
19,1433,Rap1 signaling pathway
19,1434,Rap1 signaling pathway
19,1435,Rap1 signaling pathway
19,1436,Rap1 signaling pathway
19,1709,Rap1 signaling pathway
19,1894,Hippo signaling pathway
19,1958,Thyroid hormone signaling pathway
19,2039,Rap1 signaling pathway
20,23,TGF-beta signaling pathway
20,154,TGF-beta signaling pathway
20,176,TGF-beta signaling pathway
20,177,TGF-beta signaling pathway
20,177,Signaling pathways regulating pluripotency of stem cells
20,179,TGF-beta signaling pathway
20,185,TGF-beta signaling pathway
20,832,TGF-beta signaling pathway
