Drug,Target
Dasatinib,ABL1
Dasatinib,ABL2
Dasatinib,EPHA2
Dasatinib,FGR
Dasatinib,FYN
Dasatinib,HSPA8
Dasatinib,KIT
Dasatinib,LCK
Dasatinib,LYN
Dasatinib,MAPK14
Dasatinib,SRC
Dasatinib,STAT5B
Erlotinib,EGFR
Lapatinib,EGFR
Lapatinib,ERBB2
Sorafenib,BRAF
Sorafenib,FGFR1
Sorafenib,FLT1
Sorafenib,FLT3
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,KIT
Sorafenib,RAF1
Sorafenib,RET
Sunitinib,CSF1R
Sunitinib,FLT1
Sunitinib,FLT3
Sunitinib,FLT4
Sunitinib,KDR
Sunitinib,KIT
Sunitinib,PDGFRA
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
geldanamycin,HSP90AA1
geldanamycin,HSP90AB1
geldanamycin,HSP90B1
metformin,PRKAB1
paclitaxel,BCL2
paclitaxel,MAPT
vinblastine,JUN
