Drug A,Drug B,Cell Line Name,Score
paclitaxel,Sorafenib,OVCAR3,-12.53254789251529
paclitaxel,Erlotinib,HT144,5.45103123545738
Lapatinib,Erlotinib,A2058,4.128157012788561
Erlotinib,geldanamycin,SW-620,-3.8590388668775
paclitaxel,Sunitinib,SK-OV-3,7.36579899286375
metformin,Lapatinib,A2058,-11.03094492075089
Sunitinib,geldanamycin,UACC62,8.017093587799739
metformin,Sunitinib,T-47D,15.384553292915324
Vorinostat,Lapatinib,OV90,2.79124989437018
vinblastine,Dasatinib,MDAMB436,2.81101468536903
Lapatinib,Erlotinib,OVCAR3,-1.7237618714553775
vinblastine,geldanamycin,RKO,-2.202886656443709
Sunitinib,Dasatinib,SKMES1,2.369358494612781
Vorinostat,geldanamycin,NCI-H460,-11.30813578108209
Sunitinib,geldanamycin,SKMES1,4.484288991501213
metformin,Erlotinib,LOVO,-35.8165916579592
Vorinostat,Erlotinib,SW-620,-5.19085420781142
Vorinostat,Sorafenib,A375,2.86709961553106
Sunitinib,Erlotinib,RPMI7951,-4.349210006555943
Lapatinib,Sorafenib,A375,5.029017096161708
Dasatinib,Sorafenib,NCIH23,8.243548509216069
paclitaxel,Sorafenib,NCIH23,-2.6184282494780104
Vorinostat,Sunitinib,NCIH1650,-5.527709296795018
metformin,Sorafenib,MDAMB436,-52.7336020518746
paclitaxel,Sorafenib,A375,6.07843040491799
Vorinostat,Sorafenib,SW-620,-4.396710286499547
Sunitinib,Erlotinib,A375,6.6154810826822
metformin,Dasatinib,A2780,9.772192422094813
Erlotinib,Sorafenib,RKO,2.099307195887115
vinblastine,Sunitinib,OVCAR3,-12.414939844598162
paclitaxel,Dasatinib,OV90,8.24149319055937
paclitaxel,Sorafenib,CAOV3,-1.5178355576616795
paclitaxel,Lapatinib,SKMES1,9.144089281431205
vinblastine,geldanamycin,A2780,1.418014053180695
metformin,geldanamycin,VCAP,-60.92137282626391
Sunitinib,geldanamycin,NCI-H460,5.61896917638109
vinblastine,Vorinostat,HCT116,-4.96580172718434
Vorinostat,Lapatinib,SW-620,-24.4432878855492
vinblastine,Sunitinib,LOVO,1.675381804264854
Dasatinib,geldanamycin,RKO,-2.8447496930443927
Sunitinib,Sorafenib,A2780,-1.059512617215007
Lapatinib,Sorafenib,NCI-H460,1.41805545618482
vinblastine,Lapatinib,RKO,-7.06329362397977
Lapatinib,Sorafenib,A2058,9.400493271217616
paclitaxel,Sorafenib,NCI-H460,3.1327986373042376
Lapatinib,Dasatinib,SK-OV-3,4.097668935846943
Vorinostat,geldanamycin,HCT116,-4.01456885639382
Dasatinib,Sorafenib,RPMI7951,-2.260381023139061
metformin,Lapatinib,LOVO,-8.237627320974727
Sunitinib,Dasatinib,OVCAR3,-2.23616712442702
metformin,geldanamycin,UACC62,-26.79502671025515
metformin,geldanamycin,RPMI7951,-10.594900847222812
Lapatinib,Dasatinib,VCAP,4.509456424718162
metformin,Lapatinib,SW837,-22.9219832537164
metformin,Dasatinib,A2058,-6.2026319104393295
vinblastine,Vorinostat,NCIH1650,-4.662511414401839
Erlotinib,Dasatinib,NCI-H460,-0.4503474699443348
metformin,Sunitinib,NCIH23,-21.5531296050118
vinblastine,Dasatinib,HT144,-39.7169735486916
vinblastine,geldanamycin,HCT116,-6.13466459150186
