Drug A,Drug B,Cell Line Name,Score
Dasatinib,Sorafenib,A2058,12.966325580978296
Dasatinib,Sorafenib,A2780,11.7225687296843
Dasatinib,Sorafenib,A375,11.316750179392892
Dasatinib,Sorafenib,CAOV3,7.656482330373112
Dasatinib,Sorafenib,HCT116,4.40921359309415
Dasatinib,Sorafenib,HT144,-2.8325461302865187
Dasatinib,Sorafenib,LOVO,2.1747311895065486
Dasatinib,Sorafenib,MDAMB436,-2.60072537807549
Dasatinib,Sorafenib,NCI-H460,2.745769909533195
Dasatinib,Sorafenib,NCIH1650,5.42147270471237
Dasatinib,Sorafenib,NCIH2122,-11.9154244975033
Dasatinib,Sorafenib,NCIH23,8.243548509216069
Dasatinib,Sorafenib,OV90,8.678125432705007
Dasatinib,Sorafenib,OVCAR3,0.7345204104922589
Dasatinib,Sorafenib,RKO,4.179707781567577
Dasatinib,Sorafenib,RPMI7951,-2.260381023139061
Dasatinib,Sorafenib,SK-OV-3,4.755697845162629
Dasatinib,Sorafenib,SKMEL30,-15.1006814359747
Dasatinib,Sorafenib,SKMES1,-5.8684323426223
Dasatinib,Sorafenib,SW-620,11.923948375295712
Dasatinib,Sorafenib,SW837,-0.5663484394051013
Dasatinib,Sorafenib,T-47D,5.893700156574014
Dasatinib,Sorafenib,UACC62,2.3065604778561424
Dasatinib,Sorafenib,VCAP,6.720388221210122
Dasatinib,geldanamycin,A2058,-8.692928400841772
Dasatinib,geldanamycin,A2780,-3.15562863494722
Dasatinib,geldanamycin,A375,10.3189652047012
Dasatinib,geldanamycin,CAOV3,-5.39913759737588
Dasatinib,geldanamycin,HCT116,-20.9676231329802
Dasatinib,geldanamycin,HT144,-37.9495035857927
Dasatinib,geldanamycin,LOVO,2.35164464781062
Dasatinib,geldanamycin,MDAMB436,0.5403453062071405
Dasatinib,geldanamycin,NCI-H460,-15.0412339008878
Dasatinib,geldanamycin,NCIH1650,9.62907409316032
Dasatinib,geldanamycin,NCIH2122,-25.4508968849616
Dasatinib,geldanamycin,NCIH23,-0.6435038581465955
Dasatinib,geldanamycin,OV90,2.24572304437811
Dasatinib,geldanamycin,OVCAR3,0.5211206139658471
Dasatinib,geldanamycin,RKO,-2.8447496930443927
Dasatinib,geldanamycin,RPMI7951,-0.3887710448227697
Dasatinib,geldanamycin,SK-OV-3,3.181253849239128
Dasatinib,geldanamycin,SKMEL30,-22.9515728231767
Dasatinib,geldanamycin,SKMES1,6.86106163750481
Dasatinib,geldanamycin,SW-620,-3.09775596823669
Dasatinib,geldanamycin,SW837,8.681027307740193
Dasatinib,geldanamycin,T-47D,-1.0190872666435924
Dasatinib,geldanamycin,UACC62,-6.47138721063866
Dasatinib,geldanamycin,VCAP,-0.8981307679622897
Erlotinib,Dasatinib,A2058,8.658679095048068
Erlotinib,Dasatinib,A2780,9.30630078585379
Erlotinib,Dasatinib,A375,0.5394390329931549
Erlotinib,Dasatinib,CAOV3,9.503977484174175
Erlotinib,Dasatinib,HCT116,-5.77665564868809
Erlotinib,Dasatinib,HT144,-16.8307740899425
Erlotinib,Dasatinib,LOVO,7.827394642815597
