locus_id,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ABL1,0.0,0.00076,0.00518,0.0,0.0,0.00648,0.0024,0.00338,0.00186,0.0,0.0,0.0,0.0184,0.00188,0.0,0.0,0.00319,0.0,0.00357,0.0,0.0,0.00602,0.0,0.00199
ABL2,0.00408,0.0,0.0,0.0,0.0,0.00476,0.01362,0.00585,0.0,0.0,0.0,0.0,0.03593,0.00536,0.01837,0.0,0.00332,0.00723,0.00425,0.00842,0.00174,0.00106,0.00309,0.00535
ACAA1,0.08768,0.00433,0.02323,0.03033,0.08631,0.07821,0.09598,0.09978,0.09129,0.12491,0.08565,0.07821,0.14891,0.0676,0.09643,0.03159,0.04768,0.07851,0.04906,0.04399,0.01545,0.01382,0.1285,0.07961
ACACA,0.0,0.0,0.06254,0.0,0.0036,0.0,0.01106,0.00637,0.0,0.0,0.0,0.00086,0.0,0.0,0.0,0.00402,0.00587,0.0,0.0,0.0,0.0,0.0,0.0,0.00333
ACADM,0.00971,0.0,0.35614,0.0,0.01085,0.0,0.00638,0.0,0.0,0.0,0.0,0.0,0.0,0.01142,0.0543,0.0,0.0,0.18585,0.0,0.0,0.0,0.00934,0.0,0.02058
ACOX1,0.00422,0.00133,0.04961,0.00569,0.00113,0.00467,0.00817,0.00242,0.00134,0.0,0.0,0.00302,0.03918,0.00267,0.00207,0.01094,0.00112,0.00066,0.00213,0.01849,0.00634,0.00532,0.00258,0.03157
ACOX3,0.0,0.00172,0.01778,0.00459,0.00152,0.01152,0.00575,0.0029,0.00143,0.0,0.0,0.00592,0.01053,0.00282,0.00164,0.0,0.00543,0.00315,0.0044,0.00991,0.00684,0.0,0.05129,0.00651
ACSBG2,0.94443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.94443,0.0,0.0,0.0,0.0,0.96297
ACSL1,0.17157,0.06693,0.20895,0.01678,0.29013,0.16223,0.03084,0.0,0.05316,0.00926,0.0,0.02835,0.02261,0.03464,0.19045,0.00415,0.11801,0.17782,0.00669,0.00233,0.01251,0.0082,0.20585,0.00693
ACSL3,0.0,0.0,0.0,0.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
