Drug A,Drug B,Cell Line Name,Score
2-Fluoro Ara-A,Celecoxib,A498,-6.111111111111111
2-Fluoro Ara-A,Celecoxib,A549/ATCC,0.0
2-Fluoro Ara-A,Celecoxib,ACHN,-10.0
2-Fluoro Ara-A,Celecoxib,BT-549,-6.222222222222222
2-Fluoro Ara-A,Celecoxib,DU-145,-9.11111111111111
2-Fluoro Ara-A,Celecoxib,EKVX,-8.11111111111111
2-Fluoro Ara-A,Celecoxib,HCT-116,-7.888888888888889
2-Fluoro Ara-A,Celecoxib,HCT-15,-2.4444444444444446
2-Fluoro Ara-A,Celecoxib,HOP-62,-7.777777777777778
2-Fluoro Ara-A,Celecoxib,HOP-92,-4.333333333333333
2-Fluoro Ara-A,Celecoxib,HS 578T,-1.5555555555555556
2-Fluoro Ara-A,Celecoxib,IGROV1,-5.444444444444445
2-Fluoro Ara-A,Celecoxib,K-562,-0.6666666666666666
2-Fluoro Ara-A,Celecoxib,KM12,-1.2222222222222223
2-Fluoro Ara-A,Celecoxib,LOX IMVI,-1.5555555555555556
2-Fluoro Ara-A,Celecoxib,MCF7,3.0
2-Fluoro Ara-A,Celecoxib,MDA-MB-231/ATCC,5.555555555555555
2-Fluoro Ara-A,Celecoxib,MDA-MB-468,-4.444444444444445
2-Fluoro Ara-A,Celecoxib,NCI-H23,-6.111111111111111
2-Fluoro Ara-A,Celecoxib,NCI-H460,-4.666666666666667
2-Fluoro Ara-A,Celecoxib,NCI-H522,-4.0
2-Fluoro Ara-A,Celecoxib,OVCAR-3,-6.666666666666667
2-Fluoro Ara-A,Celecoxib,OVCAR-4,-2.0
2-Fluoro Ara-A,Celecoxib,PC-3,-2.0
2-Fluoro Ara-A,Celecoxib,RPMI-8226,-2.111111111111111
2-Fluoro Ara-A,Celecoxib,SF-268,0.8888888888888888
2-Fluoro Ara-A,Celecoxib,SK-MEL-28,0.8888888888888888
2-Fluoro Ara-A,Celecoxib,SK-MEL-5,-0.4444444444444444
2-Fluoro Ara-A,Celecoxib,SK-OV-3,-4.444444444444445
2-Fluoro Ara-A,Celecoxib,SNB-75,0.3333333333333333
2-Fluoro Ara-A,Celecoxib,SR,-15.0
2-Fluoro Ara-A,Celecoxib,SW-620,-1.8888888888888888
2-Fluoro Ara-A,Celecoxib,T-47D,-5.111111111111111
2-Fluoro Ara-A,Celecoxib,U251,-10.444444444444445
2-Fluoro Ara-A,Celecoxib,UACC-257,-2.333333333333333
2-Fluoro Ara-A,Celecoxib,UACC-62,-0.8888888888888888
2-Fluoro Ara-A,Celecoxib,UO-31,-4.111111111111111
2-Fluoro Ara-A,Cladribine,A498,-4.666666666666667
2-Fluoro Ara-A,Cladribine,A549/ATCC,8.11111111111111
2-Fluoro Ara-A,Cladribine,ACHN,-1.1111111111111112
2-Fluoro Ara-A,Cladribine,BT-549,-3.7777777777777777
2-Fluoro Ara-A,Cladribine,DU-145,2.4444444444444446
2-Fluoro Ara-A,Cladribine,EKVX,-12.22222222222222
2-Fluoro Ara-A,Cladribine,HCT-116,1.3333333333333333
2-Fluoro Ara-A,Cladribine,HCT-15,-0.7777777777777778
2-Fluoro Ara-A,Cladribine,HOP-62,-5.777777777777778
2-Fluoro Ara-A,Cladribine,HOP-92,-2.111111111111111
2-Fluoro Ara-A,Cladribine,HS 578T,10.0
2-Fluoro Ara-A,Cladribine,IGROV1,-1.7777777777777777
2-Fluoro Ara-A,Cladribine,K-562,7.0
2-Fluoro Ara-A,Cladribine,KM12,-0.4444444444444444
2-Fluoro Ara-A,Cladribine,LOX IMVI,-2.4444444444444446
2-Fluoro Ara-A,Cladribine,MCF7,2.888888888888889
2-Fluoro Ara-A,Cladribine,MDA-MB-231/ATCC,2.0
2-Fluoro Ara-A,Cladribine,MDA-MB-468,6.666666666666667
2-Fluoro Ara-A,Cladribine,NCI-H23,-3.4444444444444446
2-Fluoro Ara-A,Cladribine,NCI-H460,-1.8888888888888888
2-Fluoro Ara-A,Cladribine,NCI-H522,-7.111111111111111
2-Fluoro Ara-A,Cladribine,OVCAR-3,-0.5555555555555556
2-Fluoro Ara-A,Cladribine,OVCAR-4,-0.5555555555555556
2-Fluoro Ara-A,Cladribine,PC-3,-4.0
2-Fluoro Ara-A,Cladribine,RPMI-8226,4.222222222222222
2-Fluoro Ara-A,Cladribine,SF-268,-2.6666666666666665
2-Fluoro Ara-A,Cladribine,SK-MEL-28,1.5555555555555556
