symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ABL1,0,0,-1,-1,-1,-1,0,0,1,0,-1,-1,-2,-1,2,-1,0,-1,-1,-1,0,1,-1,1
ABL2,1,1,1,-1,0,0,0,0,1,0,-1,0,0,0,-2,-1,0,1,1,0,0,1,1,0
ACAA1,0,0,0,-1,0,1,0,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,0,-1,1,-1,1
ACACA,0,0,0,-1,0,0,0,-1,1,0,1,0,1,-1,0,-1,0,-1,1,0,0,1,0,1
ACADM,0,0,1,2,0,-1,0,1,0,1,-1,0,0,0,0,1,-1,1,1,0,-1,-1,-1,0
ACOX1,0,0,-1,0,1,0,0,-1,1,-1,0,0,0,0,1,-1,0,1,1,1,0,1,0,1
ACOX3,0,0,-1,-1,-1,-1,0,1,-2,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,0
ACSBG2,0,0,-1,-1,-1,0,0,-1,-1,-1,-2,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1
ACSL1,0,0,0,-2,-2,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,1
ACSL3,0,0,-1,-1,0,0,0,-1,1,0,1,0,0,0,0,1,0,0,1,0,0,-1,1,0
ACSL6,0,0,-1,1,-1,0,1,-1,1,0,1,1,0,1,0,-1,-1,1,0,0,1,0,-1,0
ACTA2,0,0,0,1,0,-1,0,-1,1,0,1,0,-1,1,0,-1,-1,0,-1,1,0,1,-1,0
ACTB,1,0,0,-1,0,0,1,2,1,1,1,1,-1,-1,0,1,-1,-1,1,1,0,1,1,0
ACTG1,0,0,-1,2,1,0,0,-1,1,-1,0,0,0,-1,1,-1,2,1,1,1,0,1,0,1
ACVR1,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,-1,1,0,0,-1,1,0,-1,1,0
ACVR1B,0,0,0,-1,-1,0,1,-1,1,0,-1,1,1,0,1,-1,0,0,-1,1,0,1,0,1
ACVR1C,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,-1,1,0,0,-1,1,0,-1,1,0
