Cancer_name,Cell_Line_Name,SignalingPath,sp_num_edges,all_num_edges,edge_weight_ratio,validation-papers,,,,,
Breast,BT-549,MAPK signaling pathway,13.71701768,201.2627539,6.82%,Urokinase Plasminogen Activator/Urokinase-specific Surface Receptor Expression and Matrix Invasion by Breast Cancer Cells Requires Constitutive p38_ Mitogen-activated Protein Kinase Activity,Key signalling nodes in mammary gland development and cancer. Mitogen-activated protein kinase signalling in experimental models of breast cancer progression and in mammary gland development,,,,
Breast,BT-549,PI3K-Akt signaling pathway,40.16974941,201.2627539,19.96%,Endogenous Akt Activity Promotes Virus Entry and Predicts Efficacy of Novel Chimeric Orthopoxvirus in Triple-Negative Breast Cancer,AR Artificial Antagonist HC-1119 Regulated TNBC BT549 Cells Proliferation and Metastasis via PI3K/Akt/mTOR Signaling Pathway,Sophoraflavanone G suppresses the progression of triple-negative breast cancer via the inactivation of EGFR–PI3K–AKT signaling,Phytochemicals inhibit migration of triple negative breast cancer cells by targeting kinase signaling,,
Breast,BT-549,Rap1 signaling pathway,17.81416802,201.2627539,8.85%,--,,,,,
Breast,BT-549,Ras signaling pathway,13.38554649,201.2627539,6.65%,ZEB1-Mediated Transcriptional Upregulation of circWWC3 Promotes Breast Cancer Progression through Activating Ras Signaling Pathway,,,,,
Breast,HS 578T,Calcium signaling pathway,10.60239986,190.8328165,5.56%,Calsequestrin 2 overexpression in breast cancer increases tumorigenesis and metastasis by modulating the tumor microenvironment,Subtype Specific Targeting of Calcium Signaling in Breast Cancer,The Regulation of Tumor Cell Invasion and Metastasis by Endoplasmic Reticulum-to-Mitochondrial Ca2+ Transfer,,,
Breast,HS 578T,JAK-STAT signaling pathway,12.1572283,190.8328165,6.37%,Overcoming acquired resistance to HSP90 inhibition by targeting JAK-STAT signalling in triple-negative breast cancer,,,,,
Breast,HS 578T,PI3K-Akt signaling pathway,20.39431598,190.8328165,10.69%,--,,,,,
Breast,HS 578T,Rap1 signaling pathway,11.30243429,190.8328165,5.92%,--,,,,,
Breast,MCF7,cAMP signaling pathway,11.74483091,203.9080943,5.76%,Metabolic activation triggered by cAMP in MCF-7 cells generates lethal vulnerability to combined oxamate/etomoxir,Signaling pathways activated by PACAP in MCF-7 breast cancer cells,,,,
Breast,MCF7,MAPK signaling pathway,15.63202675,203.9080943,7.67%,--,,,,,
Breast,MCF7,Phospholipase D signaling pathway,11.7649251,203.9080943,5.77%,--,,,,,
Breast,MCF7,PI3K-Akt signaling pathway,10.63946059,203.9080943,5.22%,Signaling pathways activated by PACAP in MCF-7 breast cancer cells,,,,,
Breast,MCF7,Rap1 signaling pathway,12.29542273,203.9080943,6.03%,Roles of Rap1 signaling in tumor cell migration and invasion,Exosomes Derived from Tumor Cells Initiate Breast Cancer Cell Metastasis and Chemoresistance through a MALAT1-Dependent Mechanism,,,,
Breast,MCF7,Relaxin signaling pathway,16.65825012,203.9080943,8.17%,--,,,,,
Breast,MDA-MB-231/ATCC,Calcium signaling pathway,10.33869985,206.4812495,5.01%,Distinct Regulation of Cytoplasmic Calcium Signals and Cell Death Pathways by Different Plasma Membrane Calcium ATPase Isoforms in MDA-MB-231 Breast Cancer Cells,,,,,
Breast,MDA-MB-231/ATCC,IL-17 signaling pathway,10.68332891,206.4812495,5.17%,--,,,,,
Breast,MDA-MB-231/ATCC,MAPK signaling pathway,19.29857928,206.4812495,9.35%,--,,,,,
Breast,MDA-MB-231/ATCC,PI3K-Akt signaling pathway,18.75339296,206.4812495,9.08%,Sophoraflavanone G suppresses the progression of triple-negative breast cancer via the inactivation of EGFR–PI3K–AKT signaling,BRCA1 subcellular localization regulated by PI3K signaling pathway in triple-negative breast cancer MDA-MB-231 cells and hormone-sensitive T47D cells,,,,
Breast,MDA-MB-231/ATCC,Rap1 signaling pathway,23.14470077,206.4812495,11.21%,--,,,,,
Breast,MDA-MB-231/ATCC,Ras signaling pathway,19.31046154,206.4812495,9.35%,Know thy cells: commonly used triple-negative human breast cancer cell lines carry mutations in RAS and effectors,,,,,
Breast,MDA-MB-468,Calcium signaling pathway,22.92991128,260.1066986,8.82%,Calcium signaling and the therapeutic targeting of cancer cells,,,,,
Breast,MDA-MB-468,Glucagon signaling pathway,13.05304664,260.1066986,5.02%,--,,,,,
Breast,MDA-MB-468,MAPK signaling pathway,24.52729351,260.1066986,9.43%,Three-dimensional growth of breast cancer cells potentiates the anti-tumor effects of unacylated ghrelin and AZP-531,,,,,
Breast,MDA-MB-468,PI3K-Akt signaling pathway,28.9390481,260.1066986,11.13%,Sericin inhibits MDA_MB_468 cell proliferation via the PI3K/Akt pathway in triple_negative breast cancer,,,,,
Breast,MDA-MB-468,Rap1 signaling pathway,26.46985352,260.1066986,10.18%,--,,,,,
Breast,MDA-MB-468,Ras signaling pathway,21.47976917,260.1066986,8.26%,--,,,,,
Breast,T-47D,Apelin signaling pathway,7.158558308,129.6945877,5.52%,--,,,,,
Breast,T-47D,Calcium signaling pathway,6.992375848,129.6945877,5.39%,Calcium Channel TRPV6 as a Potential Therapeutic Target in Estrogen Receptor–Negative Breast Cance,The role of TRPV6 in breast carcinogenesis,,,,
Breast,T-47D,cAMP signaling pathway,8.895700026,129.6945877,6.86%,--,,,,,
Breast,T-47D,GnRH signaling pathway,8.39984059,129.6945877,6.48%,--,,,,,
Breast,T-47D,PI3K-Akt signaling pathway,13.00575186,129.6945877,10.03%,BRCA1 subcellular localization regulated by PI3K signaling pathway in triple-negative breast cancer MDA-MB-231 cells and hormone-sensitive T47D cells,,,,,
Breast,T-47D,Relaxin signaling pathway,7.289026188,129.6945877,5.62%,--,,,,,
CNS,SF-268,Calcium signaling pathway,12.2802901,202.4540461,6.07%,--,,,,,
CNS,SF-268,MAPK signaling pathway,15.41493255,202.4540461,7.61%,--,,,,,
CNS,SF-268,NOD-like receptor signaling pathway,10.28238071,202.4540461,5.08%,--,,,,,
CNS,SF-268,PI3K-Akt signaling pathway,20.07692734,202.4540461,9.92%,Serum_derived hepatitis C virus can infect human glioblastoma cell line SF268 and activate the PI3K_Akt pathway,,,,,
CNS,SF-268,Rap1 signaling pathway,13.71338292,202.4540461,6.77%,--,,,,,
CNS,SF-295,Calcium signaling pathway,20.03990673,178.762934,11.21%,--,,,,,
CNS,SF-295,IL-17 signaling pathway,9.083178746,178.762934,5.08%,--,,,,,
CNS,SF-295,PI3K-Akt signaling pathway,24.85713215,178.762934,13.91%,--,,,,,
CNS,SF-295,Rap1 signaling pathway,9.748907756,178.762934,5.45%,--,,,,,
CNS,SF-539,GnRH signaling pathway,8.924383918,175.8570646,5.07%,--,,,,,
CNS,SF-539,JAK-STAT signaling pathway,15.58996915,175.8570646,8.87%,--,,,,,
CNS,SF-539,PI3K-Akt signaling pathway,19.21982708,175.8570646,10.93%,--,,,,,
CNS,SF-539,Prolactin signaling pathway,9.487568502,175.8570646,5.40%,--,,,,,
