Drug,Target
metformin,PRKAB1
Sorafenib,BRAF
Sorafenib,RAF1
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,FLT3
Sorafenib,KIT
Sorafenib,FGFR1
Sorafenib,RET
Sorafenib,FLT1
Erlotinib,EGFR
vinblastine,JUN
paclitaxel,BCL2
paclitaxel,MAPT
Dasatinib,ABL1
Dasatinib,SRC
Dasatinib,EPHA2
Dasatinib,LCK
Dasatinib,KIT
Dasatinib,STAT5B
Dasatinib,ABL2
Dasatinib,FYN
Dasatinib,FGR
Dasatinib,HSPA8
Dasatinib,LYN
Dasatinib,MAPK14
Lapatinib,EGFR
Lapatinib,ERBB2
Sunitinib,FLT1
Sunitinib,KIT
Sunitinib,KDR
Sunitinib,FLT4
Sunitinib,FLT3
Sunitinib,CSF1R
Sunitinib,PDGFRA
geldanamycin,HSP90AB1
geldanamycin,HSP90AA1
geldanamycin,HSP90B1
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
