Drug A,Drug B,Cell Line Name,Score
391210-10-9,7-Ethyl-10-hydroxycamptothecin,A2058,-3.32286183824907
391210-10-9,7-Ethyl-10-hydroxycamptothecin,A2780,2.0792430757521903
391210-10-9,7-Ethyl-10-hydroxycamptothecin,A375,-1.78023676908012
391210-10-9,7-Ethyl-10-hydroxycamptothecin,CAOV3,4.318447514391628
391210-10-9,7-Ethyl-10-hydroxycamptothecin,HCT116,-1.94111331439143
391210-10-9,7-Ethyl-10-hydroxycamptothecin,HT144,3.5560466342403902
391210-10-9,7-Ethyl-10-hydroxycamptothecin,LOVO,-6.683773910590462
391210-10-9,7-Ethyl-10-hydroxycamptothecin,MDAMB436,-6.019184377259828
391210-10-9,7-Ethyl-10-hydroxycamptothecin,NCI-H460,7.267166825582215
391210-10-9,7-Ethyl-10-hydroxycamptothecin,NCIH1650,-0.0769572036276752
391210-10-9,7-Ethyl-10-hydroxycamptothecin,NCIH2122,6.353505583890311
391210-10-9,7-Ethyl-10-hydroxycamptothecin,NCIH23,-3.93990983388851
391210-10-9,7-Ethyl-10-hydroxycamptothecin,OV90,2.2232004303281503
391210-10-9,7-Ethyl-10-hydroxycamptothecin,OVCAR3,3.914023098242372
391210-10-9,7-Ethyl-10-hydroxycamptothecin,RKO,5.281195096421767
391210-10-9,7-Ethyl-10-hydroxycamptothecin,RPMI7951,-9.676014496339384
391210-10-9,7-Ethyl-10-hydroxycamptothecin,SK-OV-3,-0.7858695243702075
391210-10-9,7-Ethyl-10-hydroxycamptothecin,SKMEL30,-0.9082204523316206
391210-10-9,7-Ethyl-10-hydroxycamptothecin,SKMES1,-4.1141398098711495
391210-10-9,7-Ethyl-10-hydroxycamptothecin,SW-620,-0.90124729074535
391210-10-9,7-Ethyl-10-hydroxycamptothecin,SW837,3.29347873877096
391210-10-9,7-Ethyl-10-hydroxycamptothecin,T-47D,-5.975202113850908
391210-10-9,7-Ethyl-10-hydroxycamptothecin,UACC62,-0.6808334988283999
391210-10-9,7-Ethyl-10-hydroxycamptothecin,VCAP,1.5432755519715209
391210-10-9,891494-63-6,A2058,4.77330162878354
391210-10-9,891494-63-6,A2780,18.8139888493793
391210-10-9,891494-63-6,A375,-9.121739216917192
391210-10-9,891494-63-6,CAOV3,12.240479107218492
391210-10-9,891494-63-6,HCT116,-0.931417865200086
391210-10-9,891494-63-6,HT144,-64.01192213280021
391210-10-9,891494-63-6,LOVO,4.53870732360024
391210-10-9,891494-63-6,MDAMB436,3.5983953812200875
391210-10-9,891494-63-6,NCI-H460,1.8335659217331943
391210-10-9,891494-63-6,NCIH1650,-3.13704346472655
391210-10-9,891494-63-6,NCIH2122,-0.644105516146986
391210-10-9,891494-63-6,NCIH23,-0.8220871580486016
391210-10-9,891494-63-6,OV90,-3.25451820371551
391210-10-9,891494-63-6,OVCAR3,6.974108180524808
391210-10-9,891494-63-6,RKO,-0.1355323545148319
391210-10-9,891494-63-6,RPMI7951,4.91055480248851
391210-10-9,891494-63-6,SK-OV-3,-2.890446470708155
391210-10-9,891494-63-6,SKMEL30,-13.561424695781
391210-10-9,891494-63-6,SKMES1,-0.6438821602542025
391210-10-9,891494-63-6,SW-620,-19.6288839630208
391210-10-9,891494-63-6,SW837,-60.5816663852919
391210-10-9,891494-63-6,T-47D,5.339861151461707
391210-10-9,891494-63-6,UACC62,-5.26724570909023
391210-10-9,891494-63-6,VCAP,1.0980219041018502
391210-10-9,915019-65-7,A2058,13.2409230866224
391210-10-9,915019-65-7,A2780,18.4497336059301
391210-10-9,915019-65-7,A375,4.2539163872935895
391210-10-9,915019-65-7,CAOV3,12.9629140262092
391210-10-9,915019-65-7,HCT116,10.11868199573108
391210-10-9,915019-65-7,HT144,10.273921513928103
391210-10-9,915019-65-7,LOVO,8.445488705063863
391210-10-9,915019-65-7,MDAMB436,5.057320971348871
391210-10-9,915019-65-7,NCI-H460,14.595187968639197
391210-10-9,915019-65-7,NCIH1650,1.52823533569971
391210-10-9,915019-65-7,NCIH2122,11.67628523477001
391210-10-9,915019-65-7,NCIH23,7.717119807837305
391210-10-9,915019-65-7,OV90,8.545459698570985
391210-10-9,915019-65-7,OVCAR3,5.6520656754507
391210-10-9,915019-65-7,RKO,12.191517103214087
391210-10-9,915019-65-7,RPMI7951,12.1871127815037
391210-10-9,915019-65-7,SK-OV-3,7.0972405080416205
391210-10-9,915019-65-7,SKMEL30,6.110087489680046
391210-10-9,915019-65-7,SKMES1,7.501804941871202
391210-10-9,915019-65-7,SW-620,5.763903087153163
391210-10-9,915019-65-7,SW837,5.126448907281919
391210-10-9,915019-65-7,T-47D,9.932779854571807
391210-10-9,915019-65-7,UACC62,8.431594428513193
391210-10-9,915019-65-7,VCAP,0.9300290930446576
391210-10-9,Bortezomib,A2058,-1.1844023760830076
391210-10-9,Bortezomib,A2780,6.549977515460715
391210-10-9,Bortezomib,A375,-5.798115233706068
391210-10-9,Bortezomib,CAOV3,1.0833072996605009
391210-10-9,Bortezomib,HCT116,-3.9889613927559
391210-10-9,Bortezomib,HT144,-3.18770247887761
