locus_id,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
A1BG,0.6961,1.0,0.81251,0.85954,0.84865,0.9018,0.2255,0.94775,0.5619,0.76543,0.03721,0.8216,0.02612,1.0,0.94727,0.80235,0.84615,0.89165,0.81673,0.53371,0.46055,0.5625,0.4783,0.77903
A1BG-AS1,0.97531,0.0,0.86613,1.0,0.94117,0.88235,0.61403,0.0,0.0,1.0,0.71429,0.75,0.0,0.9111,0.87068,1.0,1.0,0.91667,1.0,0.79136,0.80556,0.875,0.0,0.755
A2M-AS1,0.22466,0.89471,0.28388,0.00443,0.00987,0.0464,0.01131,0.00461,0.00368,0.0,0.0,0.00321,0.04004,0.01062,0.41099,0.0203,0.03812,0.88415,0.00281,0.03681,0.78423,0.00675,0.06526,0.00782
A3GALT2,0.0,0.0,0.0,0.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.91665,0.0,0.0,0.96665
A4GALT,0.52133,0.0,0.07287,0.00429,0.01367,0.5821,0.39696,0.0,0.01619,0.0,0.06647,0.00859,0.0037,0.0,0.31025,0.0044,0.01393,0.50309,0.00787,0.07781,0.0127,0.01984,0.26079,0.01689
AAAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922,0.0,0.0,0.0,0.0,0.05262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01613,0.0,0.0
AACS,0.01419,0.0,0.0,0.02654,0.0,0.0,0.00518,0.0,0.00298,0.0,0.0,0.00347,0.0,0.0,0.01323,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.01322,0.0
AADACL3,0.0,0.0,0.2917,0.9655,0.78893,0.3529,0.303,0.8571,0.0741,0.6842,0.63235,0.4828,0.0,0.8036,0.64387,0.0,0.383,0.0,0.0,0.59863,0.4394,0.2857,0.4444,0.93247
AADAT,0.01049,0.00301,0.035,0.00991,0.04672,0.02564,0.02948,0.0081,0.12152,0.03248,0.0,0.15559,0.02948,0.01539,0.2823,0.016,0.05416,0.01696,0.0057,0.02438,0.00602,0.3482,0.09174,0.00209
AAGAB,0.0741,0.0,0.1594,0.00175,0.00253,0.0016,0.0476,0.0588,0.1017,0.0,0.0,0.0028,0.0667,0.0,0.1429,0.0476,0.0625,0.00145,0.0204,0.1212,0.00043,0.00202,0.00494,0.00588
