symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BG-AS1,1,1,2,1,0,2,0,1,0,1,0,0,0,0,0,2,1,1,2,0,0,2,2,0
A1CF,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
A2M,1,0,4,1,0,31,0,0,0,0,0,0,56,0,0,11,0,93,0,0,0,0,7,0
A2M-AS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,2,4,3,0,3,7,2,4,0,1,0,0,0,3,6,0,4,0,5,3,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
AAAS,14,19,20,10,10,13,20,7,22,9,15,16,17,14,7,13,15,11,8,19,11,21,15,12
AACS,1,2,3,6,2,2,3,4,2,2,4,2,6,2,2,2,1,3,3,2,2,4,2,5
AACSP1,0,0,3,0,2,3,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3,0
AADAC,0,0,0,0,4,0,0,0,4,0,10,0,18,0,0,0,0,0,20,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
