Gene_num,Gene_name,high_eq_Att_deg,Att_deg,methy_upstream_pvalues,methy_distal_promoter_pvalues,methy_proximal_promoter_pvalues,methy_core_promoter_pvalues,methy_downstream_pvalues,cnv_mcnv_pvalues,cnv_dup_pvalues,cnv_del_pvalues,gene_expression_pvalues,protein_expression_pvalues
767,GPER1,1.0102256691543974,0.005937424409298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0218898573774573,1.0
351,CHD8,1.01422591345567,0.0064382417460937,1.0,0.1706543323770283,0.4673785054682386,0.0144000689572126,0.0790685440924675,1.0,1.0,1.0,0.8938474733535643,1.0
653,FLNA,1.0182261577569423,0.0078346595382812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9146100405445944,1.0
437,CTNNBIP1,1.0222264020582146,0.0079905192273437,0.9449092929597736,0.0996592140705705,1.0,1.0,0.3089387413505673,0.2468113074371722,1.0,1.0,0.2215639224097254,1.0
1467,PIN1,1.0262266463594871,0.0081210924395156,1.0,0.2206672071712931,0.2307055178258495,0.6836722835313567,0.4471887989352409,1.0,1.0,1.0,0.0254133857380432,1.0
1042,KCNJ4,1.0302268906607595,0.0083740678226562,0.1036424764172704,0.3870646800147077,0.1220005569040837,0.6871751603158041,0.8919643394259521,1.0,1.0,1.0,0.3227319704921381,1.0
440,CTSB,1.0342271349620318,0.0084604503399843,0.751311065726076,0.2179855024035488,1.0,1.0,0.9202829330409829,1.0,1.0,1.0,0.0042133436323124,1.0
2013,TRAF4,1.0382273792633043,0.0093796072421875,1.0,0.4192253791839797,0.0388398996032722,1.0,0.1507684447311342,1.0,1.0,1.0,0.6871688022912392,1.0
1896,STMN1,1.0422276235645767,0.0095184053021644,0.3321483886308887,0.2678629279431149,0.0807093183086358,0.1454244713763807,0.1813057960560731,1.0,1.0,1.0,0.0661905271040987,1.0
1806,SHISA5,1.0462278678658492,0.0096846322851562,0.1036424764172704,0.0209478174523452,0.0362179056811506,0.6977238945180402,0.6456034324461988,1.0,1.0,1.0,0.0280248162721177,1.0
38,ADGRB1,1.0502281121671215,0.0096981398382812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2279356742578245,1.0
1222,MAPT,1.0542283564683939,0.0103076897857812,1.0,0.8656565540016024,1.0,1.0,0.7333000811681523,1.0,1.0,1.0,0.0265288781716271,1.0
1660,RAP1GAP,1.0582286007696664,0.0105077619603125,0.0939143219555107,0.7694585654328076,0.0375094100599378,0.260725267969925,0.8320537311474636,1.0,1.0,1.0,0.1036414881761679,1.0
654,FLNB,1.0622288450709387,0.0106542637257812,1.0,0.884434381770755,0.9866922766824622,0.9335353525395846,0.6871751603158041,1.0,1.0,0.3485073017890265,0.377966780079539,1.0
1187,MAP3K12,1.066229089372211,0.0106770916546875,1.0,1.0,0.0538952847070837,1.0,0.2557086630112439,1.0,1.0,1.0,0.0746942532945405,1.0
332,CDC37,1.0702293336734836,0.0107045037680533,0.7840685844449421,0.7047891291814816,0.2557093430652016,0.549786333980617,0.9866058550999396,1.0,1.0,1.0,0.0866709469541868,1.0
1155,LPIN1,1.074229577974756,0.0108536024953125,0.0466317326186524,0.1278580805189318,0.5820282295226769,0.8656565540016024,0.8061255258641298,1.0,1.0,1.0,0.9524973580702072,1.0
368,CLIP1,1.0782298222760283,0.0110299715976562,0.2162103285644495,0.4443455997406166,1.0,1.0,0.744089774246399,1.0,1.0,1.0,0.2015344809078063,1.0
1646,RAB5C,1.0822300665773008,0.0115662343640625,1.0,0.9828905880928936,0.1147013669024879,0.6017879719871302,0.4443455997406166,1.0,1.0,1.0,0.0563117858838654,1.0
568,EI24,1.0862303108785731,0.01168853636875,0.8061255258641298,0.2478230264979209,0.7333000811681523,0.4110412665755688,0.1314761842640306,1.0,1.0,1.0,0.4386882973584853,1.0
433,CTNNA1,1.0902305551798457,0.0117827863453414,1.0,0.0641080104095917,1.0,0.0397489934325063,0.4910584304873011,0.1543898005028386,1.0,1.0,0.3033066417785909,1.0
1188,MAP3K13,1.094230799481118,0.0119442812078125,1.0,0.884434381770755,0.0614157659873125,0.5122956740974749,0.5951678062353475,0.3248459436027422,1.0,1.0,0.0370721838926515,1.0
602,EVL,1.0982310437823903,0.0119471034180275,0.8806732702840152,0.9752884627122086,0.2162103285644495,1.0,0.5561637403987543,1.0,1.0,1.0,0.0712670331393318,1.0
780,GRIN1,1.1022312880836629,0.0122294420643762,0.5215418148220496,0.5625770214945697,0.5277532657303159,1.0,0.3157862461705493,1.0,1.0,1.0,0.5787646345391508,1.0
1201,MAP4K4,1.1062315323849352,0.0123253255504687,0.7476976524753538,0.1957154907260432,0.2804076939064273,1.0,0.7047891291814816,1.0,1.0,1.0,0.0445694914592649,1.0
434,CTNNA2,1.1102317766862075,0.0125590530694513,1.0,0.2092137279225486,0.9904942674707437,1.0,0.3021901193584687,0.1589173486154743,0.7741831788012259,1.0,0.1191510143090991,1.0
1156,LPIN2,1.11423202098748,0.0127507351249999,0.1990286487182573,0.7840685844449421,0.0807093183086358,0.0782583890713906,0.3157862461705493,1.0,1.0,1.0,0.3285934339888985,1.0
1784,SESN1,1.1182322652887524,0.0128822771289062,1.0,0.9942964741299556,0.0601051563420074,1.0,0.5466112014260416,1.0,1.0,1.0,0.4940606129109239,1.0
326,CD82,1.1222325095900247,0.0129939342828125,0.3564556630801542,0.3741209340258883,0.7297150726441002,0.7530672452527991,0.6051104604189474,1.0,1.0,1.0,0.452904183722347,1.0
1453,PIDD1,1.1262327538912973,0.0131082594296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4247329766805346,1.0
1645,RAB5B,1.1302329981925696,0.0131459156578125,1.0,0.8469542667104454,1.0,0.8024381238987224,0.549786333980617,0.1589173486154743,1.0,1.0,0.2607225397475194,1.0
1814,SIPA1L1,1.134233242493842,0.01342505124375,1.0,1.0,1.0,1.0,0.4529061230171649,0.4839953444205789,1.0,1.0,0.0778528760028436,1.0
851,HSP90B1,1.1382334867951145,0.0134263775824015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012027951220837,1.0
655,FLNC,1.1422337310963868,0.0134940036054687,1.0,0.7585542021467591,0.157657321939055,1.0,0.2420211031519888,1.0,1.0,1.0,0.5770984702156245,1.0
1644,RAB5A,1.1462339753976591,0.0136904325609375,1.0,1.0,1.0,1.0,0.7154347306097097,1.0,1.0,1.0,0.0043416125740292,1.0
1310,NEK7,1.1502342196989317,0.0137504238124999,0.2577065159148939,0.1647820760487151,0.3417397923821004,1.0,0.9259601127032032,0.9909333251246228,1.0,1.0,0.0482278018479443,1.0
192,BRCC3,1.154234464000204,0.0137657385742187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0180887957246859,1.0
298,CCNG1,1.1582347083014763,0.0138005070421875,0.044066502141523,0.8098172431442923,0.2617373858603573,1.0,0.7549299403019574,1.0,1.0,1.0,0.8488195203555456,1.0
1473,PKN3,1.162234952602749,0.0138486978398437,1.0,0.861909722771364,0.3417391017619838,1.0,0.1077512439851151,1.0,1.0,1.0,0.6836598695157838,1.0
2034,ULK2,1.1662351969040212,0.01385969253125,1.0,0.4247343018102715,0.6051104604189474,1.0,0.8264810068595314,0.4387955195911509,1.0,1.0,0.053589822003,1.0
1695,RCHY1,1.1702354412052938,0.0139628391484375,1.0,1.0,1.0,1.0,0.2911619515584414,1.0,1.0,1.0,0.3766791595751724,1.0
391,COP1,1.174235685506566,0.0140593889882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0466285948396731,1.0
1786,SESN3,1.1782359298078384,0.0140750200078125,1.0,0.1691717753220186,0.2458783326142669,0.6453386736521431,0.4586644945342749,1.0,1.0,1.0,0.7932367008995229,1.0
217,CACNG7,1.182236174109111,0.0144234041859375,0.6117799729176134,0.3369221446519522,0.5277532657303159,0.5153681949056692,0.9562944752596728,0.2751762030777062,1.0,0.0913875232505338,0.1087983294391784,1.0
1200,MAP4K3,1.1862364184103833,0.0144724733476562,1.0,1.0,0.8061255258641298,1.0,0.9942819688292236,1.0,1.0,0.7346285451918332,0.0357930035262212,1.0
209,CACNB3,1.1902366627116556,0.0145003107476562,0.4761835269024038,0.3204062002192492,0.4761835269024038,1.0,0.9638896978279232,1.0,1.0,1.0,0.1395866605553207,1.0
1434,PFN2,1.1942369070129282,0.0145509213402108,1.0,1.0,0.5122956740974749,1.0,0.6942010329568615,1.0,1.0,1.0,0.0084638551633168,1.0
1728,RPRM,1.1982371513142005,0.0145526542148437,1.0,0.5061794109560072,0.929746936940584,0.0507111656147773,0.895733017965424,1.0,1.0,1.0,0.2857451163384842,1.0
2096,ZMAT3,1.202237395615473,0.0145571675,1.0,0.4002779519228027,0.7189957201989776,1.0,0.2325648701417598,0.3249311654768372,1.0,1.0,0.6184793155819807,1.0
1418,PDHA1,1.2062376399167454,0.0146449313164062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2517439695403717,1.0
62,AIFM2,1.2102378842180177,0.0146540915,1.0,0.2955403115712712,0.3896858327278331,0.744089774246399,0.5215418148220496,1.0,1.0,1.0,0.401599210237118,1.0
428,CSNK2B,1.2142381285192902,0.0147941871153125,1.0,1.0,1.0,1.0,0.8246256834261783,1.0,1.0,1.0,0.0101395294999701,1.0
496,DEPTOR,1.2182383728205626,0.014794395265625,0.618481826370963,0.9449092929597736,0.7154347306097097,0.1364231674264591,0.4644636813503597,1.0,1.0,1.0,0.5031235305565204,1.0
489,DDB2,1.222238617121835,0.0149716445742187,1.0,0.3870646800147077,0.8769148484870471,1.0,0.7154347306097097,1.0,1.0,1.0,0.3227202020923498,1.0
1423,PERP,1.2262388614231075,0.0150434747265624,0.351506602246237,0.2868274204540028,0.4703034422423718,1.0,0.5277532657303159,1.0,1.0,1.0,0.924065266208427,1.0
524,DUSP1,1.2302391057243798,0.0150910498610156,0.3112102537256069,0.5657969953694101,0.0596403270410561,1.0,0.751311065726076,1.0,1.0,1.0,0.6889287043802933,1.0
207,CACNB1,1.234239350025652,0.01514969028125,1.0,0.6084411459306318,0.6766869815264505,1.0,0.929746936940584,1.0,1.0,1.0,0.0705220451332354,1.0
