From,To,Hop,SignalingPath,SpNotation,Attention
0,404,hop1,ErbB signaling pathway,sp9,0.0260114078703703
0,405,hop1,ErbB signaling pathway,sp9,0.0302009827037037
0,1369,hop1,Neurotrophin signaling pathway,sp25,0.0365375836851851
0,1370,hop1,Neurotrophin signaling pathway,sp25,0.00419024875
0,1371,hop1,Neurotrophin signaling pathway,sp25,0.0163371163148148
0,1712,hop1,Ras signaling pathway,sp34,0.0192317970185185
1,404,hop1,ErbB signaling pathway,sp9,0.0296091834074074
1,405,hop1,ErbB signaling pathway,sp9,0.0332645126481481
1,1712,hop1,Ras signaling pathway,sp34,0.0196022218518518
2,1524,hop1,PPAR signaling pathway,sp29,0.0197368213703703
2,1756,hop1,PPAR signaling pathway,sp29,0.0090952038703703
2,1757,hop1,PPAR signaling pathway,sp29,0.0080573263166666
2,1758,hop1,PPAR signaling pathway,sp29,0.0201242879259259
3,1577,hop1,AMPK signaling pathway,sp2,0.0249526097777777
3,1577,hop1,Glucagon signaling pathway,sp13,0.0354519303333333
3,1577,hop1,Insulin signaling pathway,sp20,0.0665977985
3,1578,hop1,AMPK signaling pathway,sp2,0.0188570739444444
3,1578,hop1,Glucagon signaling pathway,sp13,0.0283207195925925
3,1578,hop1,Insulin signaling pathway,sp20,0.0498534147777777
3,1579,hop1,AMPK signaling pathway,sp2,0.0135340929629629
3,1579,hop1,Glucagon signaling pathway,sp13,0.020680666
3,1579,hop1,Insulin signaling pathway,sp20,0.0356894183333333
3,1580,hop1,AMPK signaling pathway,sp2,0.0235681746851851
3,1580,hop1,Glucagon signaling pathway,sp13,0.0336908833518518
3,1580,hop1,Insulin signaling pathway,sp20,0.0628081959444444
3,1584,hop1,AMPK signaling pathway,sp2,0.0107478111481481
3,1584,hop1,Glucagon signaling pathway,sp13,0.0164489861203703
3,1584,hop1,Insulin signaling pathway,sp20,0.0283311082037037
3,1585,hop1,AMPK signaling pathway,sp2,0.0123938279629629
3,1585,hop1,Glucagon signaling pathway,sp13,0.0189450934444444
3,1585,hop1,Insulin signaling pathway,sp20,0.032682932537037
3,1586,hop1,AMPK signaling pathway,sp2,0.0194882350925925
3,1586,hop1,Glucagon signaling pathway,sp13,0.0288077987407407
3,1586,hop1,Insulin signaling pathway,sp20,0.0516544286296296
3,1873,hop1,AMPK signaling pathway,sp2,0.0081800251722222
3,1873,hop1,Insulin signaling pathway,sp20,0.0215963878494444
4,1577,hop1,AMPK signaling pathway,sp2,0.0169266158148148
4,1577,hop1,Adipocytokine signaling pathway,sp3,0.0391034274259259
4,1577,hop1,Glucagon signaling pathway,sp13,0.0257469480555555
4,1577,hop1,Insulin signaling pathway,sp20,0.0438455996296296
4,1578,hop1,AMPK signaling pathway,sp2,0.0201303257037037
4,1578,hop1,Adipocytokine signaling pathway,sp3,0.0462845243888888
4,1578,hop1,Glucagon signaling pathway,sp13,0.0304282566666666
4,1578,hop1,Insulin signaling pathway,sp20,0.0521181659444444
4,1579,hop1,AMPK signaling pathway,sp2,0.0139557450648148
4,1579,hop1,Adipocytokine signaling pathway,sp3,0.0321341963888888
4,1579,hop1,Glucagon signaling pathway,sp13,0.0211894438148148
4,1579,hop1,Insulin signaling pathway,sp20,0.0361536869444444
4,1580,hop1,AMPK signaling pathway,sp2,0.0172098817592592
4,1580,hop1,Adipocytokine signaling pathway,sp3,0.0397545393333333
4,1580,hop1,Glucagon signaling pathway,sp13,0.0260593399629629
4,1580,hop1,Insulin signaling pathway,sp20,0.0445291558148148
4,1584,hop1,AMPK signaling pathway,sp2,0.0105655736018518
4,1584,hop1,Adipocytokine signaling pathway,sp3,0.0243383970555555
4,1584,hop1,Glucagon signaling pathway,sp13,0.0161564969537037
4,1584,hop1,Insulin signaling pathway,sp20,0.0273957100925925
4,1585,hop1,AMPK signaling pathway,sp2,0.0124316471111111
4,1585,hop1,Adipocytokine signaling pathway,sp3,0.0286566321851851
4,1585,hop1,Glucagon signaling pathway,sp13,0.0190835139814814
4,1585,hop1,Insulin signaling pathway,sp20,0.032213328574074
4,1586,hop1,AMPK signaling pathway,sp2,0.0210900605555555
4,1586,hop1,Adipocytokine signaling pathway,sp3,0.0484634994629629
4,1586,hop1,Glucagon signaling pathway,sp13,0.0314500143148148
4,1586,hop1,Insulin signaling pathway,sp20,0.0546211757777777
4,1873,hop1,Insulin signaling pathway,sp20,0.0209999937629629
5,1525,hop1,PPAR signaling pathway,sp29,0.0129241174351851
5,1756,hop1,PPAR signaling pathway,sp29,0.0121753918833333
5,1757,hop1,PPAR signaling pathway,sp29,0.0111303798425925
5,1758,hop1,PPAR signaling pathway,sp29,0.0182999641944444
6,1524,hop1,PPAR signaling pathway,sp29,0.0196583228703703
6,1756,hop1,PPAR signaling pathway,sp29,0.0096192571944444
6,1757,hop1,PPAR signaling pathway,sp29,0.0086520194981481
6,1758,hop1,PPAR signaling pathway,sp29,0.0200180010925925
7,1524,hop1,PPAR signaling pathway,sp29,0.0174804451481481
7,1524,hop1,cAMP signaling pathway,sp45,0.0159934514166666
7,1525,hop1,PPAR signaling pathway,sp29,0.0118269350277777
7,1756,hop1,PPAR signaling pathway,sp29,0.011184564124074
7,1757,hop1,PPAR signaling pathway,sp29,0.0102212329907407
7,1758,hop1,PPAR signaling pathway,sp29,0.0180006012685185
8,1524,hop1,PPAR signaling pathway,sp29,0.0186782541666666
8,1525,hop1,PPAR signaling pathway,sp29,0.012224436037037
8,1756,hop1,PPAR signaling pathway,sp29,0.0115540061129629
