Gene_num,Gene_name,log_normalized_Att_deg,Att_deg,methy_upstream_pvalues,methy_distal_promoter_pvalues,methy_proximal_promoter_pvalues,methy_core_promoter_pvalues,methy_downstream_pvalues,cnv_mcnv_pvalues,cnv_dup_pvalues,cnv_del_pvalues,gene_expression_pvalues,protein_expression_pvalues
0,ABL1,0.1771886956383103,0.1306784432400781,0.3417397923821004,0.0019042344555419,0.9790892880092326,0.8135131968506659,0.751311065726076,0.1756387004748287,1.0,1.0,0.1072181405886245,1.0
1,ABL2,0.11584850061474775,0.0836121692695312,1.0,0.1662356772764653,0.8506881860719427,1.0,0.2782889542106548,0.0126785938373976,1.0,1.0,0.735079454725555,1.0
2,ACAA1,0.05666913685649012,0.0400617146859375,1.0,1.0,0.083222217854212,0.2023826123344644,0.5402883081739063,1.0,1.0,1.0,0.9221749651233508,1.0
3,ACACA,0.9209303963236778,0.8933359151578125,1.0,0.8320537311474636,0.9562944752596728,1.0,0.2040749571224892,1.0,1.0,0.2888257099307968,1.0,1.0
4,ACACB,0.843912385195151,0.7949110931546874,0.2678629279431149,0.5061794109560072,0.7877332367668235,1.0,0.3896858327278331,1.0,1.0,1.0,0.6784285585530032,1.0
5,ACADL,0.10385085048215134,0.0746380682695312,1.0,0.8769148484870471,0.5593659204126147,0.5690257932249676,0.344165064059352,1.0,1.0,1.0,0.1758129908402748,1.0
6,ACADM,0.07515905587623613,0.053477174496875,1.0,0.5308730731929201,0.3818547356934284,0.1386927164370719,0.3297779796482059,1.0,1.0,1.0,0.0364283454038698,1.0
7,ACOX1,0.11828985948212906,0.085447432953125,1.0,0.5625770214945697,0.5434446009810536,1.0,0.2478230264979209,1.0,1.0,1.0,0.0246387910418315,1.0
8,ACOX2,0.13096622104912362,0.0950268317710937,1.0,0.6942010329568615,0.5529705291894391,1.0,0.9714881984502108,0.0192973823365186,1.0,1.0,0.3010549032486779,1.0
9,ACOX3,0.13406144062533,0.097378671084375,1.0,0.5690257932249676,0.873159199750797,1.0,0.1721466012073939,1.0,1.0,1.0,0.0762490835180433,1.0
10,ACSBG1,0.09163377461707552,0.0655762072460937,1.0,0.5031357470143778,0.5061794109560072,1.0,0.2363154167770794,1.0,1.0,1.0,0.4865674249818242,1.0
11,ACSBG2,0.1265619832676721,0.0916890476445312,1.0,0.2126912527199261,0.3702899461287854,1.0,0.5787646345391508,1.0,1.0,1.0,0.205459135700933,1.0
12,ACSL1,0.10778009527882768,0.077568882646875,1.0,0.6421863589875758,0.6732046879885242,1.0,0.8135131968506659,1.0,1.0,1.0,0.1185838303771236,1.0
13,ACSL3,0.09628415203895208,0.0690165231,0.9904942674707437,0.884434381770755,0.9790892880092326,0.9752884627122086,0.5918702375710694,1.0,1.0,1.0,0.0101395294999701,1.0
14,ACSL4,0.11488016314535274,0.082885092396875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0019979536972865,1.0
15,ACSL5,0.11782854485567798,0.0851004069257812,0.3589465811574475,0.3297779796482059,0.5820282295226769,0.5529705291894391,0.2999625419275231,1.0,1.0,1.0,0.1421526238783727,1.0
16,ACSL6,0.09561423188705676,0.0685202370226562,1.0,0.3976138285619145,0.3345290866505369,0.7987551158485091,0.7225628209081943,1.0,1.0,1.0,0.0206840474020556,1.0
17,ACTA2,0.24547975618275145,0.185486929175,1.0,0.3857574663688822,0.8995040509478887,1.0,0.3274185541274004,1.0,1.0,1.0,0.5918670572771827,1.0
18,ACTB,0.2547342679010811,0.1931159610263355,1.0,0.2057775757258029,0.5593659204126147,0.736594654857508,0.7118799224040282,1.0,1.0,1.0,1.0739994407699007e-06,1.0
19,ACTG1,0.25490032806757934,0.193253301512507,0.0172935082208575,0.8098172431442923,0.8863155969806151,1.0,0.1302614338823622,1.0,1.0,1.0,0.000468864911328,1.0
20,ACVR1,0.7230203119114669,0.6506340563765625,0.3321483886308887,0.7731036287569379,0.5184502553450132,0.0716923198544778,0.1766819721580167,1.0,1.0,1.0,0.3169198044393009,1.0
21,ACVR1B,0.5744276579286706,0.4890865995226562,0.8506881860719427,0.118026116698584,0.3949604230687942,1.0,0.8881980993944443,1.0,1.0,1.0,0.066188199733152,1.0
22,ACVR1C,0.6845009996843487,0.6071460046171875,0.751311065726076,0.0303142929557449,0.6942010329568615,0.2458783326142669,0.5755096629559334,1.0,1.0,1.0,0.4081647353153399,1.0
23,ACVR2A,0.7451038866251776,0.6760949584453125,1.0,0.0661905271040987,0.3112102537256069,0.4586644945342749,0.6387768435649753,1.0,1.0,1.0,0.1743792387698701,1.0
24,ACVR2B,0.7755641347762531,0.7118593061640626,1.0,0.2215672274275916,1.0,1.0,0.5324358923569272,1.0,1.0,1.0,0.1526619678464628,1.0
25,ADAM17,0.10288360369315065,0.0739178246796875,0.4644636813503597,0.9070528431900868,0.416486750762464,0.8995040509478887,0.9866922766824622,1.0,1.0,1.0,0.0004686626053765,1.0
26,ADCY1,0.8506739342791941,0.803343134352527,0.6151268852691578,0.9980988103176092,0.9221749651233508,0.5466112014260416,0.8469542667104454,1.0,1.0,1.0,0.0957990261959098,1.0
27,ADCY10,0.33481771276809813,0.261218041491582,1.0,0.433076512683928,1.0,1.0,0.2109473074665628,1.0,1.0,1.0,0.8097205650884025,1.0
28,ADCY2,0.7770416999783334,0.7136134394853054,0.7047891291814816,0.5561637403987543,1.0,1.0,0.1278580805189318,1.0,1.0,0.3249311654768372,0.7712795115985156,1.0
29,ADCY3,0.8145242119337608,0.7587180465345269,0.1266688633371001,0.48806362090577,0.7476976524753538,1.0,0.6353749467215747,1.0,1.0,1.0,0.1408674148515182,1.0
30,ADCY4,0.9630120618277599,0.9493755597069712,1.0,0.0455909426806823,0.2517446478775356,1.0,0.0676095977196549,1.0,1.0,1.0,0.1514403941105598,1.0
31,ADCY5,0.8821896282026747,0.8431706232912615,0.2057775757258029,0.2251909254740154,0.7118799224040282,1.0,0.2761825047420463,1.0,1.0,1.0,0.419222052346431,1.0
32,ADCY6,0.84622516079347,0.7977908117656081,0.5434451776356353,0.0237426749958079,0.1940741517946751,0.4615590008934203,0.5593659204126147,1.0,1.0,1.0,0.116907473204446,1.0
33,ADCY7,1.0246558738131237,1.0344740430342547,0.6801762019143189,0.0306806133355067,0.2517446478775356,0.8432237801687793,0.8995040509478887,1.0,1.0,1.0,0.0145884841703164,1.0
34,ADCY8,1.1235977964168815,1.1788966932420617,1.0,0.8098172431442923,0.4471887989352409,0.8881980993944443,0.1507684447311342,1.0,1.0,1.0,0.6714511135774754,1.0
35,ADCY9,1.0503232630474733,1.0709938409471746,0.7083313654430826,0.588581083293209,0.1266503997874328,1.0,1.0,0.9779143645177836,1.0,1.0,0.5545546811483111,1.0
36,ADCYAP1,0.55743482982006,0.4716502359648437,0.4275045515761392,0.5466112014260416,0.2517446478775356,0.2699264955144616,0.9752884627122086,1.0,1.0,1.0,0.0345529454439899,1.0
37,ADCYAP1R1,0.2631269105039835,0.2000769456884241,0.2109473074665628,0.524642832186091,0.736890915815285,0.8995040509478887,0.7333000811681523,1.0,1.0,1.0,0.9657888958333614,1.0
38,ADGRB1,0.013829863618279844,0.0096322250984374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2279356742578245,1.0
39,ADIPOQ,1.2511494409649468,1.3803099432578123,1.0,0.0727747119980276,0.2497784600336319,0.5984737357310427,0.6766869815264505,1.0,1.0,1.0,0.000253968801119,1.0
40,ADIPOR1,0.7758713682850777,0.7122238991875001,0.9183915793830312,0.2023826123344644,0.3589465811574475,0.9638896978279232,0.0601051563420074,1.0,1.0,1.0,0.0251018078890936,1.0
41,ADIPOR2,0.7800921119053048,0.7172405102148438,1.0,0.4910578103758373,0.4500423158932323,1.0,0.7549299403019574,1.0,1.0,1.0,0.3250694223602043,1.0
42,ADORA1,0.4107675547394977,0.3293929007675,1.0,0.7585542021467591,0.9980988103176092,0.1647699923013361,0.8581659961562722,1.0,1.0,1.0,0.8957324247115335,1.0
43,ADORA2A,0.36653128281681846,0.2892493184027989,0.6319807285196108,0.4358781761988516,0.7297150726441002,0.6218447391078068,0.3204062002192492,1.0,1.0,1.0,0.0016322820024184,1.0
44,ADORA2B,0.07412024275348394,0.0527188908834768,1.0,0.5561637403987543,0.5690257932249676,0.2162103285644495,0.1389499374949849,1.0,1.0,1.0,0.2401031556422385,1.0
45,ADORA3,0.35192450596990466,0.2762619822394531,0.3539756673825743,0.9752884627122086,0.5755096629559334,1.0,0.4083344518725905,1.0,1.0,1.0,1.0,1.0
46,ADRA1A,0.37985072568975553,0.3012072137796875,1.0,0.3490484753212293,1.0,0.4821036759429927,0.4970775461617177,1.0,0.1067258238819465,1.0,0.9259531410085012,1.0
47,ADRA1B,0.21262348456659103,0.1587934898046875,0.11525083641727,0.6977238945180402,0.6628000179921385,1.0,0.6353749467215747,0.3249311654768372,1.0,1.0,0.6421815979001007,1.0
48,ADRA1D,0.20278907784281522,0.1509212142320312,0.8769148484870471,0.9411166161038826,1.0,1.0,0.5561637403987543,1.0,1.0,1.0,0.0875409517806129,1.0
49,ADRA2A,0.12238124630564201,0.0885300584039062,0.2458783326142669,0.1766819721580167,0.751311065726076,0.7083313654430826,0.2126912527199261,1.0,1.0,1.0,0.3514755940397959,1.0
50,ADRA2B,0.1317686098401464,0.0956360261007812,0.3844543094411069,0.8394968079341012,0.8098169762807512,0.9790892880092326,0.4110412665755688,1.0,1.0,1.0,1.0,1.0
51,ADRA2C,0.11412061445763248,0.082315126153125,0.6906847657685582,0.6218447391078068,0.1721466012073939,1.0,0.3490484753212293,1.0,1.0,1.0,0.6336584207461022,1.0
52,ADRB1,0.46958795932027686,0.3847139306356342,1.0,0.8694064072587895,1.0,0.0995787761123185,0.4471887989352409,1.0,1.0,1.0,0.2933346008238189,1.0
53,ADRB2,0.4818423553462597,0.3965259244190876,1.0,0.0278555091860248,0.952498308355988,0.8079705806632205,0.549786333980617,1.0,1.0,1.0,0.2626825583275129,1.0
