Gene_num,Gene_name,Att_deg
0,ABL1,0.13067844324007813
1,ABL2,0.08361216926953124
2,ACAA1,0.0400617146859375
3,ACACA,0.8933359151578125
4,ACACB,0.7949110931546874
5,ACADL,0.07463806826953125
6,ACADM,0.053477174496875
7,ACOX1,0.085447432953125
8,ACOX2,0.09502683177109375
9,ACOX3,0.09737867108437501
10,ACSBG1,0.06557620724609375
11,ACSBG2,0.09168904764453124
12,ACSL1,0.077568882646875
13,ACSL3,0.0690165231
14,ACSL4,0.082885092396875
15,ACSL5,0.08510040692578125
16,ACSL6,0.06852023702265625
17,ACTA2,0.185486929175
18,ACTB,0.1931159610263355
19,ACTG1,0.19325330151250703
20,ACVR1,0.6506340563765625
21,ACVR1B,0.4890865995226562
22,ACVR1C,0.6071460046171875
23,ACVR2A,0.6760949584453125
24,ACVR2B,0.7118593061640626
25,ADAM17,0.07391782467968751
26,ADCY1,0.803343134352527
27,ADCY10,0.261218041491582
28,ADCY2,0.7136134394853054
29,ADCY3,0.7587180465345269
30,ADCY4,0.9493755597069711
31,ADCY5,0.8431706232912615
32,ADCY6,0.7977908117656081
33,ADCY7,1.0344740430342547
34,ADCY8,1.1788966932420617
35,ADCY9,1.0709938409471746
36,ADCYAP1,0.47165023596484373
37,ADCYAP1R1,0.20007694568842418
38,ADGRB1,0.009632225098437499
39,ADIPOQ,1.3803099432578123
40,ADIPOR1,0.7122238991875001
41,ADIPOR2,0.7172405102148438
42,ADORA1,0.32939290076750005
43,ADORA2A,0.2892493184027989
44,ADORA2B,0.05271889088347685
45,ADORA3,0.2762619822394531
46,ADRA1A,0.3012072137796875
47,ADRA1B,0.1587934898046875
48,ADRA1D,0.15092121423203125
49,ADRA2A,0.08853005840390625
50,ADRA2B,0.09563602610078126
51,ADRA2C,0.082315126153125
52,ADRB1,0.38471393063563425
53,ADRB2,0.3965259244190876
54,ADRB3,0.17928623256490622
55,AFDN,0.10728114169601562
56,AFP,0.0196582425703125
57,AGAP2,0.26111441272421876
58,AGER,0.3562338368972656
59,AGRP,0.252961432671875
60,AGT,0.4153358102007891
61,AGTR1,0.9961908299417539
62,AIFM2,0.01470030458203125
63,AIM2,0.09001455128515626
64,AJUBA,0.23275464551953126
65,AKT1,6.115870484417489
66,AKT1S1,0.22168417459609374
67,AKT2,6.275843142161403
68,AKT3,8.402738213223905
69,ALDOA,0.03841219910559172
70,ALDOB,0.06893996378515624
71,ALDOC,0.038413246384548606
72,AMH,0.30173546936281254
73,AMHR2,0.4011485349609375
74,AMOT,0.0296268445328125
75,ANAPC5,0.03293952177265625
76,ANGPT1,1.2340992485521094
77,ANGPT2,1.1699770477790623
78,ANGPT4,1.2286230897483594
79,ANGPTL4,0.0722832372025
80,AOX1,0.05734006364609375
81,APAF1,0.1221762407421875
82,APBB1IP,0.16112681439751564
83,APC,0.48338502842051795
84,APC2,0.394138803175882
85,APH1A,0.11199253725390626
86,APH1B,0.16067960415390625
87,APLN,0.06442334494140625
88,APLNR,0.28413051555853125
89,APOA1,0.069890462378125
90,APOA2,0.07412751956015626
91,APOA5,0.07212848678515625
92,APOC3,0.0712670144453125
93,AQP7,0.07961709579062501
94,ARAF,0.8931705240546093
95,ARAP3,0.05662814713070313
96,AREG,0.6715152103485937
97,ARF1,0.19962424911903126
98,ARF6,0.13078261173664063
99,ARHGDIA,0.01985860079713281
100,ARHGDIB,0.03344552378046875
101,ARHGDIG,0.020764591295078124
102,ARHGEF12,0.2205962901165625
103,ARNT,0.7263588313692841
