From,To,Hop,SignalingPath,SpNotation,Attention
0,404,hop1,ErbB signaling pathway,sp9,0.02601140787037037
0,405,hop1,ErbB signaling pathway,sp9,0.030200982703703704
0,1369,hop1,Neurotrophin signaling pathway,sp25,0.036537583685185185
0,1370,hop1,Neurotrophin signaling pathway,sp25,0.00419024875
0,1371,hop1,Neurotrophin signaling pathway,sp25,0.016337116314814815
0,1712,hop1,Ras signaling pathway,sp34,0.01923179701851852
1,404,hop1,ErbB signaling pathway,sp9,0.029609183407407407
1,405,hop1,ErbB signaling pathway,sp9,0.03326451264814815
1,1712,hop1,Ras signaling pathway,sp34,0.019602221851851852
2,1524,hop1,PPAR signaling pathway,sp29,0.019736821370370368
2,1756,hop1,PPAR signaling pathway,sp29,0.009095203870370371
2,1757,hop1,PPAR signaling pathway,sp29,0.008057326316666667
2,1758,hop1,PPAR signaling pathway,sp29,0.020124287925925927
3,1577,hop1,AMPK signaling pathway,sp2,0.024952609777777777
3,1577,hop1,Glucagon signaling pathway,sp13,0.03545193033333333
3,1577,hop1,Insulin signaling pathway,sp20,0.0665977985
3,1578,hop1,AMPK signaling pathway,sp2,0.018857073944444445
3,1578,hop1,Glucagon signaling pathway,sp13,0.02832071959259259
3,1578,hop1,Insulin signaling pathway,sp20,0.04985341477777778
3,1579,hop1,AMPK signaling pathway,sp2,0.013534092962962962
3,1579,hop1,Glucagon signaling pathway,sp13,0.020680666
3,1579,hop1,Insulin signaling pathway,sp20,0.035689418333333334
3,1580,hop1,AMPK signaling pathway,sp2,0.023568174685185187
3,1580,hop1,Glucagon signaling pathway,sp13,0.03369088335185185
3,1580,hop1,Insulin signaling pathway,sp20,0.06280819594444445
3,1584,hop1,AMPK signaling pathway,sp2,0.010747811148148148
3,1584,hop1,Glucagon signaling pathway,sp13,0.016448986120370372
3,1584,hop1,Insulin signaling pathway,sp20,0.028331108203703704
3,1585,hop1,AMPK signaling pathway,sp2,0.012393827962962964
3,1585,hop1,Glucagon signaling pathway,sp13,0.018945093444444443
3,1585,hop1,Insulin signaling pathway,sp20,0.03268293253703704
3,1586,hop1,AMPK signaling pathway,sp2,0.019488235092592593
3,1586,hop1,Glucagon signaling pathway,sp13,0.02880779874074074
3,1586,hop1,Insulin signaling pathway,sp20,0.05165442862962963
3,1873,hop1,AMPK signaling pathway,sp2,0.008180025172222223
3,1873,hop1,Insulin signaling pathway,sp20,0.021596387849444443
4,1577,hop1,AMPK signaling pathway,sp2,0.016926615814814815
4,1577,hop1,Adipocytokine signaling pathway,sp3,0.03910342742592592
4,1577,hop1,Glucagon signaling pathway,sp13,0.025746948055555555
4,1577,hop1,Insulin signaling pathway,sp20,0.04384559962962963
4,1578,hop1,AMPK signaling pathway,sp2,0.020130325703703704
4,1578,hop1,Adipocytokine signaling pathway,sp3,0.04628452438888889
4,1578,hop1,Glucagon signaling pathway,sp13,0.030428256666666667
4,1578,hop1,Insulin signaling pathway,sp20,0.05211816594444444
4,1579,hop1,AMPK signaling pathway,sp2,0.013955745064814815
4,1579,hop1,Adipocytokine signaling pathway,sp3,0.03213419638888889
4,1579,hop1,Glucagon signaling pathway,sp13,0.021189443814814815
4,1579,hop1,Insulin signaling pathway,sp20,0.036153686944444444
4,1580,hop1,AMPK signaling pathway,sp2,0.01720988175925926
4,1580,hop1,Adipocytokine signaling pathway,sp3,0.03975453933333334
4,1580,hop1,Glucagon signaling pathway,sp13,0.026059339962962964
4,1580,hop1,Insulin signaling pathway,sp20,0.044529155814814814
4,1584,hop1,AMPK signaling pathway,sp2,0.010565573601851851
4,1584,hop1,Adipocytokine signaling pathway,sp3,0.024338397055555558
4,1584,hop1,Glucagon signaling pathway,sp13,0.016156496953703706
4,1584,hop1,Insulin signaling pathway,sp20,0.02739571009259259
4,1585,hop1,AMPK signaling pathway,sp2,0.01243164711111111
4,1585,hop1,Adipocytokine signaling pathway,sp3,0.028656632185185188
4,1585,hop1,Glucagon signaling pathway,sp13,0.01908351398148148
4,1585,hop1,Insulin signaling pathway,sp20,0.03221332857407407
4,1586,hop1,AMPK signaling pathway,sp2,0.021090060555555557
4,1586,hop1,Adipocytokine signaling pathway,sp3,0.04846349946296296
4,1586,hop1,Glucagon signaling pathway,sp13,0.03145001431481481
4,1586,hop1,Insulin signaling pathway,sp20,0.05462117577777778
4,1873,hop1,Insulin signaling pathway,sp20,0.02099999376296296
5,1525,hop1,PPAR signaling pathway,sp29,0.012924117435185185
5,1756,hop1,PPAR signaling pathway,sp29,0.012175391883333333
5,1757,hop1,PPAR signaling pathway,sp29,0.011130379842592594
5,1758,hop1,PPAR signaling pathway,sp29,0.018299964194444445
6,1524,hop1,PPAR signaling pathway,sp29,0.019658322870370372
