From,To,Hop,SignalingPath,SpNotation,Attention
ABL1,CRK,hop1,ErbB signaling pathway,sp9,0.026433860890625
ABL1,CRKL,hop1,ErbB signaling pathway,sp9,0.029671839671875
ABL1,NTRK1,hop1,Neurotrophin signaling pathway,sp25,0.037084104453125
ABL1,NTRK2,hop1,Neurotrophin signaling pathway,sp25,0.00413336840203125
ABL1,NTRK3,hop1,Neurotrophin signaling pathway,sp25,0.0164555959765625
ABL1,RIN1,hop1,Ras signaling pathway,sp34,0.018214610015625
ABL2,CRK,hop1,ErbB signaling pathway,sp9,0.02997594271875
ABL2,CRKL,hop1,ErbB signaling pathway,sp9,0.0327603989375
ABL2,RIN1,hop1,Ras signaling pathway,sp34,0.0190602918203125
ACAA1,PPARA,hop1,PPAR signaling pathway,sp29,0.020541005046875
ACAA1,RXRA,hop1,PPAR signaling pathway,sp29,0.0098923829390625
ACAA1,RXRB,hop1,PPAR signaling pathway,sp29,0.0076373912703125
ACAA1,RXRG,hop1,PPAR signaling pathway,sp29,0.0214216228828125
ACACA,PRKAA1,hop1,AMPK signaling pathway,sp2,0.024358006828125
ACACA,PRKAA1,hop1,Glucagon signaling pathway,sp13,0.0346203011875
ACACA,PRKAA1,hop1,Insulin signaling pathway,sp20,0.064926515125
ACACA,PRKAA2,hop1,AMPK signaling pathway,sp2,0.018980502953125
ACACA,PRKAA2,hop1,Glucagon signaling pathway,sp13,0.02846047221875
ACACA,PRKAA2,hop1,Insulin signaling pathway,sp20,0.05019938425
ACACA,PRKAB1,hop1,AMPK signaling pathway,sp2,0.0135697206328125
ACACA,PRKAB1,hop1,Glucagon signaling pathway,sp13,0.020699779640625
ACACA,PRKAB1,hop1,Insulin signaling pathway,sp20,0.03579740940625
ACACA,PRKAB2,hop1,AMPK signaling pathway,sp2,0.0234972416875
ACACA,PRKAB2,hop1,Glucagon signaling pathway,sp13,0.0335390606875
ACACA,PRKAB2,hop1,Insulin signaling pathway,sp20,0.062583224265625
ACACA,PRKAG1,hop1,AMPK signaling pathway,sp2,0.0103040356671875
ACACA,PRKAG1,hop1,Glucagon signaling pathway,sp13,0.0157483731171875
ACACA,PRKAG1,hop1,Insulin signaling pathway,sp20,0.0271693534375
ACACA,PRKAG2,hop1,AMPK signaling pathway,sp2,0.0119599994765625
ACACA,PRKAG2,hop1,Glucagon signaling pathway,sp13,0.0182645406875
ACACA,PRKAG2,hop1,Insulin signaling pathway,sp20,0.0315504624375
ACACA,PRKAG3,hop1,AMPK signaling pathway,sp2,0.019969240328125
ACACA,PRKAG3,hop1,Glucagon signaling pathway,sp13,0.029423730421875
ACACA,PRKAG3,hop1,Insulin signaling pathway,sp20,0.052972711859375
ACACA,SREBF1,hop1,AMPK signaling pathway,sp2,0.0086012102109375
ACACA,SREBF1,hop1,Insulin signaling pathway,sp20,0.0226756448984375
ACACB,PRKAA1,hop1,AMPK signaling pathway,sp2,0.0169517413125
ACACB,PRKAA1,hop1,Adipocytokine signaling pathway,sp3,0.039224767640625
ACACB,PRKAA1,hop1,Glucagon signaling pathway,sp13,0.025678099125
ACACB,PRKAA1,hop1,Insulin signaling pathway,sp20,0.043915181328125
ACACB,PRKAA2,hop1,AMPK signaling pathway,sp2,0.020076686125
ACACB,PRKAA2,hop1,Adipocytokine signaling pathway,sp3,0.04620715534375
ACACB,PRKAA2,hop1,Glucagon signaling pathway,sp13,0.030252177953125
ACACB,PRKAA2,hop1,Insulin signaling pathway,sp20,0.052060664578125
ACACB,PRKAB1,hop1,AMPK signaling pathway,sp2,0.013976891453125
ACACB,PRKAB1,hop1,Adipocytokine signaling pathway,sp3,0.032205516625
ACACB,PRKAB1,hop1,Glucagon signaling pathway,sp13,0.021147433796875
ACACB,PRKAB1,hop1,Insulin signaling pathway,sp20,0.03625496825
ACACB,PRKAB2,hop1,AMPK signaling pathway,sp2,0.01719621646875
ACACB,PRKAB2,hop1,Adipocytokine signaling pathway,sp3,0.0397639665
ACACB,PRKAB2,hop1,Glucagon signaling pathway,sp13,0.025963855640625002
ACACB,PRKAB2,hop1,Insulin signaling pathway,sp20,0.044544173265625
ACACB,PRKAG1,hop1,AMPK signaling pathway,sp2,0.0102382165046875
ACACB,PRKAG1,hop1,Adipocytokine signaling pathway,sp3,0.023609685984375
ACACB,PRKAG1,hop1,Glucagon signaling pathway,sp13,0.0155915187421875
ACACB,PRKAG1,hop1,Insulin signaling pathway,sp20,0.0265753011875
ACACB,PRKAG2,hop1,AMPK signaling pathway,sp2,0.012107768421875
ACACB,PRKAG2,hop1,Adipocytokine signaling pathway,sp3,0.027949055015624998
ACACB,PRKAG2,hop1,Glucagon signaling pathway,sp13,0.018520578578125
ACACB,PRKAG2,hop1,Insulin signaling pathway,sp20,0.031405501937500004
ACACB,PRKAG3,hop1,AMPK signaling pathway,sp2,0.02142094128125
ACACB,PRKAG3,hop1,Adipocytokine signaling pathway,sp3,0.049255496765625
ACACB,PRKAG3,hop1,Glucagon signaling pathway,sp13,0.03179995571875
ACACB,PRKAG3,hop1,Insulin signaling pathway,sp20,0.055610293265625
ACACB,SREBF1,hop1,Insulin signaling pathway,sp20,0.02221268984375
ACADL,PPARD,hop1,PPAR signaling pathway,sp29,0.0129493635625
ACADL,RXRA,hop1,PPAR signaling pathway,sp29,0.0130493156484375
ACADL,RXRB,hop1,PPAR signaling pathway,sp29,0.0107642090625
ACADL,RXRG,hop1,PPAR signaling pathway,sp29,0.018860411609375
ACADM,PPARA,hop1,PPAR signaling pathway,sp29,0.02048564659375
