src,dest,path
AGTR1,TGFB1,AGE-RAGE signaling pathway in diabetic complications
AGTR1,TGFB3,AGE-RAGE signaling pathway in diabetic complications
AKT1,NFKB1,AGE-RAGE signaling pathway in diabetic complications
AKT1,RELA,AGE-RAGE signaling pathway in diabetic complications
AKT2,NFKB1,AGE-RAGE signaling pathway in diabetic complications
AKT2,RELA,AGE-RAGE signaling pathway in diabetic complications
BAX,CASP3,AGE-RAGE signaling pathway in diabetic complications
BCL2,CASP3,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK11,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK12,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK13,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK14,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK8,AGE-RAGE signaling pathway in diabetic complications
CDC42,MAPK9,AGE-RAGE signaling pathway in diabetic complications
DIAPH1,CDC42,AGE-RAGE signaling pathway in diabetic complications
DIAPH1,RAC1,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK1,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK11,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK12,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK13,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK14,AGE-RAGE signaling pathway in diabetic complications
HRAS,MAPK3,AGE-RAGE signaling pathway in diabetic complications
JAK2,STAT1,AGE-RAGE signaling pathway in diabetic complications
JAK2,STAT3,AGE-RAGE signaling pathway in diabetic complications
JAK2,STAT5A,AGE-RAGE signaling pathway in diabetic complications
JAK2,STAT5B,AGE-RAGE signaling pathway in diabetic complications
JUN,EDN1,AGE-RAGE signaling pathway in diabetic complications
JUN,F3,AGE-RAGE signaling pathway in diabetic complications
JUN,ICAM1,AGE-RAGE signaling pathway in diabetic complications
JUN,MMP2,AGE-RAGE signaling pathway in diabetic complications
JUN,SERPINE1,AGE-RAGE signaling pathway in diabetic complications
JUN,TGFB1,AGE-RAGE signaling pathway in diabetic complications
JUN,THBD,AGE-RAGE signaling pathway in diabetic complications
JUN,TNF,AGE-RAGE signaling pathway in diabetic complications
JUN,VEGFA,AGE-RAGE signaling pathway in diabetic complications
JUN,VEGFB,AGE-RAGE signaling pathway in diabetic complications
JUN,VEGFC,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK1,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK11,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK12,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK13,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK14,AGE-RAGE signaling pathway in diabetic complications
KRAS,MAPK3,AGE-RAGE signaling pathway in diabetic complications
MAPK1,JUN,AGE-RAGE signaling pathway in diabetic complications
MAPK1,NFKB1,AGE-RAGE signaling pathway in diabetic complications
MAPK1,RELA,AGE-RAGE signaling pathway in diabetic complications
MAPK1,SMAD2,AGE-RAGE signaling pathway in diabetic complications
MAPK1,SMAD3,AGE-RAGE signaling pathway in diabetic complications
MAPK11,BAX,AGE-RAGE signaling pathway in diabetic complications
MAPK11,BCL2,AGE-RAGE signaling pathway in diabetic complications
MAPK11,FOXO1,AGE-RAGE signaling pathway in diabetic complications
MAPK11,JUN,AGE-RAGE signaling pathway in diabetic complications
MAPK11,NFKB1,AGE-RAGE signaling pathway in diabetic complications
MAPK11,RELA,AGE-RAGE signaling pathway in diabetic complications
MAPK11,SMAD2,AGE-RAGE signaling pathway in diabetic complications
MAPK11,SMAD3,AGE-RAGE signaling pathway in diabetic complications
MAPK12,BAX,AGE-RAGE signaling pathway in diabetic complications
MAPK12,BCL2,AGE-RAGE signaling pathway in diabetic complications
MAPK12,FOXO1,AGE-RAGE signaling pathway in diabetic complications
MAPK12,JUN,AGE-RAGE signaling pathway in diabetic complications
MAPK12,NFKB1,AGE-RAGE signaling pathway in diabetic complications
MAPK12,RELA,AGE-RAGE signaling pathway in diabetic complications
MAPK12,SMAD2,AGE-RAGE signaling pathway in diabetic complications
MAPK12,SMAD3,AGE-RAGE signaling pathway in diabetic complications
MAPK13,BAX,AGE-RAGE signaling pathway in diabetic complications
MAPK13,BCL2,AGE-RAGE signaling pathway in diabetic complications
