Drug,Target
Celecoxib,PDPK1
Celecoxib,PTGS2
Cladribine,RRM2
Cladribine,RRM2B
Dasatinib,ABL1
Dasatinib,ABL2
Dasatinib,EPHA2
Dasatinib,FGR
Dasatinib,FYN
Dasatinib,HSPA8
Dasatinib,KIT
Dasatinib,LCK
Dasatinib,LYN
Dasatinib,MAPK14
Dasatinib,SRC
Dasatinib,STAT5B
Docetaxel,BCL2
Docetaxel,MAPT
Everolimus,MTOR
Fulvestrant,ESR1
Gefitinib,EGFR
Lenalidomide,PTGS2
Megestrol acetate,PGR
Mitotane,ESR1
Mitotane,PGR
Nilotinib,ABL1
Nilotinib,KIT
Paclitaxel,BCL2
Paclitaxel,MAPT
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Sirolimus,FGF2
Sirolimus,MTOR
Thalidomide,FGFR2
Thalidomide,NFKB1
Thalidomide,PTGS2
Thalidomide,TNF
Tretinoin,RARA
Tretinoin,RXRA
Tretinoin,RXRB
Tretinoin,RXRG
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
