Drug A,Drug B,Cell Line Name,Score
Vorinostat,Romidepsin,BT-549,-0.6666666666666666
Romidepsin,Tretinoin,HCT-116,7.333333333333333
Tretinoin,Celecoxib,UACC-257,-0.4444444444444444
Nilotinib,Cladribine,MDA-MB-231/ATCC,-4.111111111111111
Thalidomide,Mitotane,DU-145,-7.333333333333333
Fulvestrant,Romidepsin,SF-268,1.3333333333333333
Dasatinib,Tretinoin,SK-MEL-28,-8.444444444444445
Mitotane,Dasatinib,SK-OV-3,1.6666666666666667
Mitotane,Dasatinib,SNB-75,3.333333333333333
Docetaxel,Nilotinib,UACC-257,2.111111111111111
Thalidomide,Sirolimus,CAKI-1,0.1111111111111111
Romidepsin,Cladribine,OVCAR-8,11.22222222222222
Gefitinib,Lenalidomide,MCF7,-3.111111111111111
Sirolimus,Nilotinib,MCF7,-3.888888888888889
Mitotane,Everolimus,SK-MEL-28,14.11111111111111
Fulvestrant,Vorinostat,PC-3,-4.444444444444445
Gefitinib,Lenalidomide,SW-620,6.0
Paclitaxel,Celecoxib,SF-268,12.555555555555555
Nilotinib,Tretinoin,SF-539,-0.8888888888888888
Fulvestrant,Sirolimus,UACC-257,-4.0
Tretinoin,Cladribine,SK-MEL-5,-1.1111111111111112
Thalidomide,Paclitaxel,SF-295,-3.555555555555556
Fulvestrant,Celecoxib,RPMI-8226,-10.666666666666666
Mitotane,Docetaxel,SK-OV-3,9.11111111111111
Mitotane,Sirolimus,SR,-1.7777777777777777
Thalidomide,Mitotane,RPMI-8226,-3.4444444444444446
Paclitaxel,Celecoxib,MDA-MB-231/ATCC,23.22222222222222
Thalidomide,Sirolimus,EKVX,0.8888888888888888
Megestrol acetate,Gefitinib,EKVX,0.3333333333333333
Everolimus,Dasatinib,SF-268,-3.7777777777777777
Thalidomide,Mitotane,MDA-MB-468,2.111111111111111
Fulvestrant,Cladribine,SF-268,-2.2222222222222223
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223
Sirolimus,Mitotane,PC-3,3.111111111111111
Fulvestrant,Everolimus,U251,0.1111111111111111
Thalidomide,Sirolimus,ACHN,-2.555555555555556
Thalidomide,Sirolimus,OVCAR-8,-0.2222222222222222
Docetaxel,Sirolimus,PC-3,3.111111111111111
Mitotane,Dasatinib,OVCAR-4,-4.444444444444445
Docetaxel,Cladribine,K-562,-5.222222222222222
Paclitaxel,Tretinoin,UO-31,4.0
Nilotinib,Celecoxib,MDA-MB-231/ATCC,-4.777777777777778
Everolimus,Sirolimus,BT-549,1.0
Dasatinib,Sirolimus,SF-268,-4.111111111111111
Fulvestrant,Cladribine,HOP-62,-4.777777777777778
Mitotane,Docetaxel,K-562,14.11111111111111
Sirolimus,Celecoxib,LOX IMVI,2.2222222222222223
Vorinostat,Sirolimus,PC-3,-4.888888888888889
Megestrol acetate,Lenalidomide,NCI-H23,-6.888888888888889
Docetaxel,Nilotinib,SK-MEL-28,-9.444444444444445
Dasatinib,Paclitaxel,OVCAR-3,13.666666666666666
Mitotane,Everolimus,A549/ATCC,3.4444444444444446
Megestrol acetate,Gefitinib,HS 578T,-8.222222222222221
Sirolimus,Celecoxib,MCF7,5.777777777777778
Docetaxel,Cladribine,SNB-75,0.0
Docetaxel,Tretinoin,SK-MEL-28,13.666666666666666
Dasatinib,Docetaxel,HS 578T,-1.0
Vorinostat,Tretinoin,T-47D,7.333333333333333
Dasatinib,Vorinostat,NCI-H522,-2.888888888888889
Nilotinib,Cladribine,SNB-75,-7.111111111111111
Thalidomide,Cladribine,SK-MEL-28,-1.2222222222222223
Sirolimus,Celecoxib,EKVX,0.0
Mitotane,Dasatinib,EKVX,-7.666666666666667
Fulvestrant,Romidepsin,UACC-257,-1.5555555555555556
Paclitaxel,Celecoxib,OVCAR-4,11.88888888888889
Nilotinib,Cladribine,U251,-4.666666666666667
Dasatinib,Vorinostat,MCF7,-10.333333333333334
Dasatinib,Cladribine,SK-MEL-28,-9.555555555555555
Nilotinib,Cladribine,PC-3,-2.6666666666666665
Everolimus,Cladribine,KM12,-3.333333333333333
Thalidomide,Sirolimus,OVCAR-4,1.8888888888888888
Cladribine,Celecoxib,KM12,-5.666666666666667
Mitotane,Everolimus,MDA-MB-468,-3.888888888888889
Vorinostat,Romidepsin,SNB-75,-1.5555555555555556
Fulvestrant,Nilotinib,NCI-H460,-1.8888888888888888
Sirolimus,Nilotinib,HCT-116,-7.888888888888889
Cladribine,Celecoxib,DU-145,0.4444444444444444
Sirolimus,Tretinoin,MCF7,3.555555555555556
Nilotinib,Mitotane,SF-268,-0.8888888888888888
Everolimus,Cladribine,SF-268,-5.777777777777778
Mitotane,Paclitaxel,DU-145,-2.888888888888889
Megestrol acetate,Gefitinib,PC-3,-2.111111111111111
Dasatinib,Celecoxib,K-562,46.333333333333336
