Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	10	50.0	1.1090604226260405E-12	NFKBIA, GSK3B, MAP2K1, MAPK8, PPP2R1B, PPP2R1A, PIK3R3, PPP2R2A, SOS2, MALT1	20	122	8840	36.22950819672131	2.0629498109769884E-10	2.0628523860844353E-10	7.097986704806659E-11
KEGG_PATHWAY	hsa05160:Hepatitis C	10	50.0	1.2440108319380922E-11	NFKBIA, GSK3B, MAP2K1, CASP8, PPP2R1B, PPP2R1A, MYC, PIK3R3, PPP2R2A, SOS2	20	159	8840	27.798742138364783	2.3138697624602855E-9	1.1569300737024256E-9	3.980834662201895E-10
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	11	55.00000000000001	7.793335057937452E-10	GSK3B, MAP2K1, PPP2R1B, PPP2R1A, MYC, INSR, PIK3R3, PPP2R2A, PRKCA, SOS2, IGF1R	20	362	8840	13.430939226519339	1.449560180777354E-7	4.8318677359212204E-8	1.662578145693323E-8
KEGG_PATHWAY	hsa04730:Long-term depression	7	35.0	1.917366277208561E-9	MAP2K1, PLA2G4F, PPP2R1B, PLA2G4E, PPP2R1A, PRKCA, IGF1R	20	60	8840	51.56666666666666	3.5663006214825543E-7	8.915753189019809E-8	3.067786043533698E-8
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	8	40.0	3.522978207191993E-9	SMPD2, MAP2K1, MAPK8, PPP2R1B, PPP2R1A, PIK3R3, PPP2R2A, PRKCA	20	122	8840	28.98360655737705	6.552737396026131E-7	1.3105478930754216E-7	4.5094121052057516E-8
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	7	35.0	4.539041617043826E-9	MAP2K1, PLA2G4F, MAPK8, PLA2G4E, PIK3R3, PRKCA, SOS2	20	69	8840	44.84057971014492	8.442613806947108E-7	1.407102901283586E-7	4.841644391513414E-8
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	6	30.0	5.84075598602897E-9	GSK3B, INSR, PIK3R3, SOS2, FOXO1, IGF1R	20	71	19734	83.3830985915493	2.4472737724101634E-6	2.4414360021601095E-6	2.4005507102579068E-6
KEGG_PATHWAY	hsa04014:Ras signaling pathway	9	45.0	1.4367499906194934E-8	MAP2K1, PLA2G4F, MAPK8, PLA2G4E, INSR, PIK3R3, PRKCA, SOS2, IGF1R	20	238	8840	16.714285714285715	2.6723514218174316E-6	3.817649975074654E-7	1.3135999914235368E-7
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	7	35.0	1.7422122827512505E-8	GSK3B, MAP2K1, MAPK8, MYC, PIK3R3, PRKCA, SOS2	20	86	8840	35.97674418604651	3.240509628854582E-6	4.050643557396657E-7	1.3937698262010004E-7
KEGG_PATHWAY	hsa05161:Hepatitis B	8	40.0	2.6650103610297655E-8	NFKBIA, MAP2K1, MAPK8, CASP8, MYC, PIK3R3, PRKCA, SOS2	20	163	8840	21.69325153374233	4.956907044273429E-6	5.507688079461516E-7	1.8951184789544997E-7
KEGG_PATHWAY	hsa05200:Pathways in cancer	11	55.00000000000001	3.293372190495356E-8	NFKBIA, GSK3B, MAP2K1, MAPK8, CASP8, MYC, PIK3R3, PRKCA, SOS2, FOXO1, IGF1R	20	533	8840	9.121951219512196	6.125653605026926E-6	6.125672274321363E-7	2.107758201917028E-7
KEGG_PATHWAY	hsa05215:Prostate cancer	7	35.0	3.8416005613246616E-8	NFKBIA, GSK3B, MAP2K1, PIK3R3, SOS2, FOXO1, IGF1R	20	98	8840	31.57142857142857	7.145351650472698E-6	6.330592121557499E-7	2.1782682568799995E-7
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	7	35.0	4.084252981649999E-8	MAP2K1, PLA2G4F, MAPK8, PLA2G4E, PIK3R3, PRKCA, SOS2	20	99	8840	31.25252525252525	7.596681843469177E-6	6.330592121557499E-7	2.1782682568799995E-7
KEGG_PATHWAY	hsa05142:Chagas disease	7	35.0	5.185245387968908E-8	NFKBIA, MAPK8, CASP8, PPP2R1B, PPP2R1A, PIK3R3, PPP2R2A	20	103	8840	30.03883495145631	9.644510164275033E-6	7.418889555093977E-7	2.552736191000078E-7
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	9	45.0	8.749365893309582E-8	MAP2K1, PLA2G4F, MAPK8, PLA2G4E, MYC, INSR, PRKCA, SOS2, IGF1R	20	300	8840	13.260000000000002	1.6273688865142688E-5	1.1624157543968445E-6	3.9997101226558085E-7
KEGG_PATHWAY	hsa04510:Focal adhesion	8	40.0	1.211137501209299E-7	GSK3B, MAP2K1, MAPK8, PPP1R12A, PIK3R3, PRKCA, SOS2, IGF1R	20	203	8840	17.41871921182266	2.252690515569533E-5	1.5018105014995307E-6	5.167520005159675E-7
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	7	35.0	1.4308543616306311E-7	PPP2R1B, PPP2R1A, INSR, PIK3R3, PPP2R2A, FOXO1, IGF1R	20	122	8840	25.360655737704917	2.661353888444573E-5	1.6633681953956086E-6	5.723417446522525E-7
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	9	45.0	1.9603248866819257E-7	GSK3B, MAP2K1, CASP8, PPP2R1B, PPP2R1A, PIK3R3, PPP2R2A, SOS2, FOXO1	20	333	8840	11.945945945945947	3.646138173718505E-5	2.1448260524872835E-6	7.380046632214309E-7
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	7	35.0	2.2883192214302578E-7	MAP2K1, MAPK8, INSR, PIK3R3, SOS2, FOXO1, IGF1R	20	132	8840	23.439393939393938	4.2561836616328286E-5	2.3645965288112664E-6	8.136246120640917E-7
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	8	40.0	2.5238504862597575E-7	NFKBIA, GSK3B, MAP2K1, CASP8, MYC, PIK3R3, PRKCA, SOS2	20	226	8840	15.646017699115045	4.6942523135862224E-5	2.4707167918121834E-6	8.501391111611814E-7
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	7	35.0	2.9801201258632875E-7	GSK3B, MAP2K1, MAPK8, INSR, PIK3R3, SOS2, FOXO1	20	138	8840	22.42028985507246	5.54287063797565E-5	2.7715117170528575E-6	9.53638440276252E-7
KEGG_PATHWAY	hsa04072:Phospholipase D signaling pathway	7	35.0	4.694225624485005E-7	MAP2K1, PLA2G4F, PLA2G4E, INSR, PIK3R3, PRKCA, SOS2	20	149	8840	20.76510067114094	8.730880548035724E-5	4.157742695972433E-6	1.4306211427001919E-6
KEGG_PATHWAY	hsa01521:EGFR tyrosine kinase inhibitor resistance	6	30.0	5.632705482807402E-7	GSK3B, MAP2K1, PIK3R3, PRKCA, SOS2, IGF1R	20	80	8840	33.15	1.0476286348093389E-4	4.762196453646259E-6	1.6386052313621535E-6
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	7	35.0	6.636733889357523E-7	GSK3B, MAP2K1, INSR, PIK3R3, PRKCA, SOS2, IGF1R	20	158	8840	19.582278481012658	1.234356724910679E-4	5.367097840958693E-6	1.8467433431255714E-6
KEGG_PATHWAY	hsa05210:Colorectal cancer	6	30.0	8.57747655660172E-7	GSK3B, MAP2K1, MAPK8, MYC, PIK3R3, SOS2	20	87	8840	30.482758620689655	1.5952840636990206E-4	6.647544331366333E-6	2.2873270817604585E-6
KEGG_PATHWAY	hsa05225:Hepatocellular carcinoma	7	35.0	1.0210088602134447E-6	GSK3B, MAP2K1, MYC, PIK3R3, PRKCA, SOS2, IGF1R	20	170	8840	18.2	1.8988971361832974E-4	7.596305919988029E-6	2.6137826821464185E-6
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	6	30.0	1.073827742042232E-6	NFKBIA, GSK3B, MAP2K1, PIK3R3, SOS2, MALT1	20	91	8840	29.142857142857142	1.9971212214064948E-4	7.681998462302122E-6	2.643268288103956E-6
KEGG_PATHWAY	hsa04912:GnRH signaling pathway	6	30.0	1.1968780358265947E-6	MAP2K1, PLA2G4F, MAPK8, PLA2G4E, PRKCA, SOS2	20	93	8840	28.51612903225806	2.2259467001084499E-4	8.245159802360985E-6	2.8370442330704464E-6
KEGG_PATHWAY	hsa05167:Kaposi sarcoma-associated herpesvirus infection	7	35.0	2.347608453691576E-6	NFKBIA, GSK3B, MAP2K1, MAPK8, CASP8, MYC, PIK3R3	20	196	8840	15.785714285714285	4.365603647260574E-4	1.55948275852369E-5	5.365962179866459E-6
KEGG_PATHWAY	hsa04931:Insulin resistance	6	30.0	2.6339104411224826E-6	NFKBIA, GSK3B, MAPK8, INSR, PIK3R3, FOXO1	20	109	8840	24.3302752293578	4.897880019057999E-4	1.6893356622371786E-5	5.81276787006341E-6
