gene_name,p_value
ABL1,0.3417397923821004
ABL2,1.0
ACAA1,1.0
ACACA,1.0
ACACB,0.26786292794311495
ACADL,1.0
ACADM,1.0
ACOX1,1.0
ACOX2,1.0
ACOX3,1.0
ACSBG1,1.0
ACSBG2,1.0
ACSL1,1.0
ACSL3,0.9904942674707437
ACSL4,1.0
ACSL5,0.3589465811574475
ACSL6,1.0
ACTA2,1.0
ACTB,1.0
ACTG1,0.01729350822085752
ACVR1,0.3321483886308887
ACVR1B,0.8506881860719427
ACVR1C,0.751311065726076
ACVR2A,1.0
ACVR2B,1.0
ADAM17,0.46446368135035976
ADCY1,0.6151268852691578
ADCY10,1.0
ADCY2,0.7047891291814816
ADCY3,0.12666886333710012
ADCY4,1.0
ADCY5,0.2057775757258029
ADCY6,0.5434451776356353
ADCY7,0.6801762019143189
ADCY8,1.0
ADCY9,0.7083313654430826
ADCYAP1,0.4275045515761392
ADCYAP1R1,0.21094730746656287
ADGRB1,1.0
ADIPOQ,1.0
ADIPOR1,0.9183915793830312
ADIPOR2,1.0
ADORA1,1.0
ADORA2A,0.6319807285196108
ADORA2B,1.0
ADORA3,0.35397566738257435
ADRA1A,1.0
ADRA1B,0.11525083641727009
ADRA1D,0.8769148484870471
ADRA2A,0.24587833261426695
ADRA2B,0.3844543094411069
ADRA2C,0.6906847657685582
ADRB1,1.0
ADRB2,1.0
ADRB3,1.0
AFDN,1.0
AFP,1.0
AGAP2,1.0
AGER,1.0
AGRP,1.0
AGT,1.0
AGTR1,0.7154347306097097
AIFM2,1.0
AIM2,1.0
AJUBA,0.8806732702840152
AKT1,0.8209174965776396
AKT1S1,1.0
AKT2,0.3690192949337193
AKT3,0.2215672274275916
ALDOA,1.0
ALDOB,1.0
ALDOC,1.0
AMH,0.23443483052160863
AMHR2,1.0
AMOT,1.0
ANAPC5,1.0
ANGPT1,1.0
ANGPT2,0.7877332367668235
ANGPT4,1.0
ANGPTL4,1.0
AOX1,1.0
APAF1,1.0
APBB1IP,1.0
APC,1.0
APC2,0.024039192496281517
APH1A,1.0
APH1B,0.5513767322417276
APLN,1.0
APLNR,1.0
APOA1,1.0
APOA2,1.0
APOA5,1.0
APOC3,1.0
AQP7,1.0
ARAF,1.0
ARAP3,1.0
AREG,1.0
ARF1,0.34660129372802506
ARF6,1.0
ARHGDIA,1.0
ARHGDIB,1.0
ARHGDIG,1.0
ARHGEF12,0.9866922766824622
ARNT,1.0
ARRB1,0.23070551782584958
ARRB2,1.0
ASPH,0.9411166161038826
ATF2,0.012104673861045996
ATF4,0.156260803394966
ATF6B,1.0
ATG12,1.0
ATG16L1,1.0
