gene_name,p_value
ABL1,0.10721814058862456
ABL2,0.735079454725555
ACAA1,0.9221749651233507
ACACA,1.0
ACACB,0.6784285585530032
ACADL,0.1758129908402748
ACADM,0.03642834540386988
ACOX1,0.024638791041831504
ACOX2,0.3010549032486779
ACOX3,0.07624908351804338
ACSBG1,0.48656742498182426
ACSBG2,0.205459135700933
ACSL1,0.1185838303771236
ACSL3,0.010139529499970198
ACSL4,0.0019979536972865486
ACSL5,0.14215262387837274
ACSL6,0.020684047402055643
ACTA2,0.5918670572771827
ACTB,1.0739994407699007e-06
ACTG1,0.0004688649113280439
ACVR1,0.3169198044393009
ACVR1B,0.06618819973315201
ACVR1C,0.4081647353153399
ACVR2A,0.17437923876987016
ACVR2B,0.15266196784646288
ADAM17,0.0004686626053765619
ADCY1,0.09579902619590981
ADCY10,0.8097205650884025
ADCY2,0.7712795115985156
ADCY3,0.14086741485151824
ADCY4,0.15144039411055982
ADCY5,0.41922205234643106
ADCY6,0.11690747320444604
ADCY7,0.014588484170316472
ADCY8,0.6714511135774754
ADCY9,0.5545546811483111
ADCYAP1,0.03455294544398997
ADCYAP1R1,0.9657888958333614
ADGRB1,0.22793567425782457
ADIPOQ,0.0002539688011190464
ADIPOR1,0.025101807889093684
ADIPOR2,0.3250694223602043
ADORA1,0.8957324247115335
ADORA2A,0.0016322820024184603
ADORA2B,0.2401031556422385
ADORA3,1.0
ADRA1A,0.9259531410085012
ADRA1B,0.6421815979001007
ADRA1D,0.0875409517806129
ADRA2A,0.3514755940397959
ADRA2B,1.0
ADRA2C,0.6336584207461022
ADRB1,0.2933346008238189
ADRB2,0.26268255832751297
ADRB3,0.09302231063599108
AFDN,0.5738848788681561
AFP,0.41469516885586843
AGAP2,0.2197711284408489
AGER,0.3639474230567913
AGRP,0.4511736325194008
AGT,0.48210304922254454
AGTR1,0.5598289884807763
AIFM2,0.401599210237118
AIM2,0.40768231286394463
AJUBA,0.43151678932305204
AKT1,0.5355690993130308
AKT1S1,0.8844330684121063
AKT2,0.5169068358901738
AKT3,0.0418591895557255
ALDOA,0.014400068957212665
ALDOB,0.25873592503615683
ALDOC,0.7658185896471094
AMH,0.46445154044242143
AMHR2,0.020385474630475322
AMOT,0.8413589539281566
ANAPC5,0.05043294167889534
ANGPT1,0.22680644467618238
ANGPT2,0.8190585380548492
ANGPT4,0.2943839184466357
ANGPTL4,0.15976741182766363
AOX1,0.12868186484178515
APAF1,0.026356858416501178
APBB1IP,0.10566056629004908
APC,0.07547340033003976
APC2,0.44718749904907773
APH1A,0.6576204481066652
APH1B,0.05723238639057548
APLN,0.10619109419164592
APLNR,0.37155920959112676
APOA1,0.12024291682967063
APOA2,0.4137074836636476
