SpNotation,cell_line_name,Attention,SignalingPath
sp16,A498,1.0,Hedgehog signaling pathway
sp24,A498,0.53122532555,NOD-like receptor signaling pathway
sp7,A498,0.4437812807499999,Calcium signaling pathway
sp37,A498,0.3983413376999999,Sphingolipid signaling pathway
sp32,A498,0.36782126,RIG-I-like receptor signaling pathway
sp16,A549/ATCC,1.0,Hedgehog signaling pathway
sp7,A549/ATCC,0.4468446064099999,Calcium signaling pathway
sp24,A549/ATCC,0.4020297456666666,NOD-like receptor signaling pathway
sp37,A549/ATCC,0.3834192618333332,Sphingolipid signaling pathway
sp46,A549/ATCC,0.3492244533166666,cGMP-PKG signaling pathway
sp16,ACHN,1.0,Hedgehog signaling pathway
sp37,ACHN,0.5168045152,Sphingolipid signaling pathway
sp2,ACHN,0.50472188326,AMPK signaling pathway
sp24,ACHN,0.4016003455833333,NOD-like receptor signaling pathway
sp32,ACHN,0.377029645,RIG-I-like receptor signaling pathway
sp2,BT-549,1.0,AMPK signaling pathway
sp5,BT-549,0.4014069359999999,B cell receptor signaling pathway
sp32,BT-549,0.384379255,RIG-I-like receptor signaling pathway
sp42,BT-549,0.1618730955,Toll-like receptor signaling pathway
sp38,BT-549,0.1174250962,T cell receptor signaling pathway
sp2,CAKI-1,0.340630137,AMPK signaling pathway
sp5,CAKI-1,0.3226168459999999,B cell receptor signaling pathway
sp32,CAKI-1,0.3165480329999999,RIG-I-like receptor signaling pathway
sp38,CAKI-1,0.1157602929999999,T cell receptor signaling pathway
sp35,CAKI-1,0.1156320789149999,Relaxin signaling pathway
sp16,DU-145,1.0,Hedgehog signaling pathway
sp24,DU-145,0.5188079947,NOD-like receptor signaling pathway
sp7,DU-145,0.452275036475,Calcium signaling pathway
sp37,DU-145,0.4039714297,Sphingolipid signaling pathway
sp5,DU-145,0.368671256,B cell receptor signaling pathway
sp16,EKVX,1.0,Hedgehog signaling pathway
sp37,EKVX,0.5729274826,Sphingolipid signaling pathway
sp24,EKVX,0.52294769485,NOD-like receptor signaling pathway
sp2,EKVX,0.504880636735,AMPK signaling pathway
sp7,EKVX,0.438364252575,Calcium signaling pathway
sp16,HCT-116,1.0,Hedgehog signaling pathway
sp24,HCT-116,0.5416933723,NOD-like receptor signaling pathway
sp7,HCT-116,0.5000000226666667,Calcium signaling pathway
sp32,HCT-116,0.406668066,RIG-I-like receptor signaling pathway
sp37,HCT-116,0.3899336211333333,Sphingolipid signaling pathway
sp37,HCT-15,1.0,Sphingolipid signaling pathway
sp16,HCT-15,1.0,Hedgehog signaling pathway
sp46,HCT-15,1.0,cGMP-PKG signaling pathway
sp24,HCT-15,0.53151513705,NOD-like receptor signaling pathway
sp7,HCT-15,0.50000002,Calcium signaling pathway
sp16,HOP-62,1.0,Hedgehog signaling pathway
sp24,HOP-62,0.526757809,NOD-like receptor signaling pathway
sp7,HOP-62,0.4498412075249999,Calcium signaling pathway
sp37,HOP-62,0.4044951276333333,Sphingolipid signaling pathway
sp46,HOP-62,0.347871365859,cGMP-PKG signaling pathway
sp16,HOP-92,1.0,Hedgehog signaling pathway
sp37,HOP-92,0.51676341725,Sphingolipid signaling pathway
sp7,HOP-92,0.436623878175,Calcium signaling pathway
sp24,HOP-92,0.4091812787,NOD-like receptor signaling pathway
sp46,HOP-92,0.3472772795066666,cGMP-PKG signaling pathway
sp16,HS 578T,1.0,Hedgehog signaling pathway
sp37,HS 578T,1.0,Sphingolipid signaling pathway
sp24,HS 578T,0.5246150253499999,NOD-like receptor signaling pathway
sp46,HS 578T,0.5113800718,cGMP-PKG signaling pathway
sp7,HS 578T,0.4347257398,Calcium signaling pathway
sp16,IGROV1,1.0,Hedgehog signaling pathway
sp7,IGROV1,0.4478968649249999,Calcium signaling pathway
sp24,IGROV1,0.4357943058666666,NOD-like receptor signaling pathway
sp37,IGROV1,0.3993997729,Sphingolipid signaling pathway
sp5,IGROV1,0.364181818,B cell receptor signaling pathway
sp16,K-562,1.0,Hedgehog signaling pathway
sp24,K-562,0.53444457705,NOD-like receptor signaling pathway
sp37,K-562,0.51776017455,Sphingolipid signaling pathway
sp7,K-562,0.4485887155749999,Calcium signaling pathway
sp46,K-562,0.34962227304,cGMP-PKG signaling pathway
sp16,KM12,1.0,Hedgehog signaling pathway
sp37,KM12,1.0,Sphingolipid signaling pathway
sp46,KM12,1.0,cGMP-PKG signaling pathway
sp7,KM12,0.500000013,Calcium signaling pathway
sp24,KM12,0.4383154444666666,NOD-like receptor signaling pathway
sp16,LOX IMVI,1.0,Hedgehog signaling pathway
sp24,LOX IMVI,0.5176895736,NOD-like receptor signaling pathway
sp37,LOX IMVI,0.516008344,Sphingolipid signaling pathway
sp7,LOX IMVI,0.449475286825,Calcium signaling pathway
sp32,LOX IMVI,0.3718737599999999,RIG-I-like receptor signaling pathway
sp2,MCF7,1.0,AMPK signaling pathway
sp32,MCF7,0.366756417,RIG-I-like receptor signaling pathway
sp5,MCF7,0.352830578,B cell receptor signaling pathway
sp4,MCF7,0.2688695985,Apelin signaling pathway
sp29,MCF7,0.1886060774474333,PPAR signaling pathway
sp16,MDA-MB-231/ATCC,1.0,Hedgehog signaling pathway
sp24,MDA-MB-231/ATCC,0.52636336565,NOD-like receptor signaling pathway
sp37,MDA-MB-231/ATCC,0.518636535325,Sphingolipid signaling pathway
sp7,MDA-MB-231/ATCC,0.4407563041625,Calcium signaling pathway
sp46,MDA-MB-231/ATCC,0.3500494757866666,cGMP-PKG signaling pathway
sp16,MDA-MB-468,1.0,Hedgehog signaling pathway
