Drug,Target
Cetuximab,EGFR
Denileukin diftitox,IL2RB
Etanercept,TNF
Etanercept,TNFRSF1B
Etanercept,LTA
Peginterferon alfa-2a,IFNAR2
Peginterferon alfa-2a,IFNAR1
Alteplase,SERPINE1
Interferon alfa-n1,IFNAR2
Interferon alfa-n1,IFNAR1
Darbepoetin alfa,EPOR
Urokinase,PLAU
Urokinase,PLAT
Urokinase,SERPINE1
Urokinase,LRP2
Goserelin,LHCGR
Reteplase,SERPINE1
Erythropoietin,EPOR
Interferon alfa-n3,IFNAR1
Interferon alfa-n3,IFNAR2
Peginterferon alfa-2b,IFNAR1
Peginterferon alfa-2b,IFNAR2
Thyrotropin Alfa,TSHR
Anakinra,IL1R1
Anistreplase,SERPINE1
Insulin Human,INSR
Insulin Human,IGF1R
Insulin Human,CTSD
Insulin Human,LRP2
Tenecteplase,SERPINE1
Menotropins,LHCGR
Interferon gamma-1b,IFNGR1
Interferon gamma-1b,IFNGR2
"Interferon Alfa-2a, Recombinant",IFNAR1
"Interferon Alfa-2a, Recombinant",IFNAR2
Desmopressin,AVPR1B
Coagulation factor VIIa Recombinant Human,F3
Oprelvekin,IL11RA
Palifermin,FGFR2
Palifermin,FGFR1
Palifermin,FGFR4
Palifermin,FGFR3
Glucagon recombinant,GCGR
Glucagon recombinant,GLP1R
Aldesleukin,IL2RB
Lutropin alfa,LHCGR
Lyme disease vaccine (recombinant OspA),TLR2
Insulin Lispro,INSR
Insulin Lispro,IGF1R
Insulin Glargine,INSR
Insulin Glargine,IGF1R
Collagenase clostridium histolyticum,COL1A1
Collagenase clostridium histolyticum,COL2A1
Collagenase clostridium histolyticum,COL1A2
Cetrorelix,LHCGR
Adalimumab,TNF
Somatotropin,GHR
Abciximab,ITGB3
Drotrecogin alfa,SERPINE1
Drotrecogin alfa,THBD
Interferon beta-1a,IFNAR1
Interferon beta-1a,IFNAR2
Pegademase bovine,GRB2
Eptifibatide,ITGB3
Infliximab,TNF
Vasopressin,AVPR1B
Interferon beta-1b,IFNAR1
Interferon beta-1b,IFNAR2
Interferon alfacon-1,IFNAR1
Interferon alfacon-1,IFNAR2
Hyaluronidase,TGFB1
Insulin Pork,INSR
Insulin Pork,IGF1R
Insulin Pork,CTSD
Insulin Pork,LRP2
Trastuzumab,ERBB2
Trastuzumab,EGFR
Basiliximab,IL2RB
Pegvisomant,GHR
Streptokinase,F2R
Cyclosporine,PPP3R2
Cyclosporine,PPIF
Choriogonadotropin alfa,LHCGR
Antithymocyte immunoglobulin (rabbit),ITGB1
Antithymocyte immunoglobulin (rabbit),ITGAV
