locus_id,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ABL1,0.04877,0.03437,0.00866,0.00341,0.0,0.00495,0.0,0.00986,0.0107,0.0,0.0,0.04576,0.0,0.92087,0.00158,0.00388,0.01603,0.01238,0.00794,0.01831,0.00574,0.00041,0.00842,0.00931,0.0034,0.00793,0.04216,0.0,0.00259,0.0,0.01131,0.00172,0.00121,0.00391,0.00074,0.10789,0.00135,0.01024,0.00481,0.01224,0.01716,0.0
ABL2,0.02757,0.02468,0.01272,0.01102,0.0,0.00424,0.0,0.0,0.00414,0.0,0.0,0.01171,0.00601,0.00064,0.0,0.00561,0.0031,0.02164,0.00472,0.0,0.0,0.01299,0.00536,0.00268,0.0,0.00334,0.03144,0.0,0.0,0.0,0.0221,0.01132,0.0,0.00332,0.00934,0.09111,0.00842,0.00106,0.00634,0.02481,0.00309,0.0
ACAA1,0.11626,0.10667,0.00167,0.07376,0.10035,0.09316,0.0,0.08631,0.07247,0.0,0.01271,0.0835,0.02095,0.00195,0.0,0.05418,0.06107,0.05637,0.1541,0.07821,0.09129,0.04731,0.0676,0.08818,0.09414,0.13887,0.01124,0.03377,0.11146,0.03255,0.02163,0.09212,0.02698,0.04768,0.12209,0.00754,0.04399,0.01382,0.09932,0.1,0.1285,0.0
ACACA,0.04068,0.00545,0.0,0.00646,0.02073,0.00622,0.0,0.00602,0.0,0.0,0.00993,0.01511,0.00807,0.00176,0.00146,0.17139,0.0723,0.01748,0.26936,0.01079,0.00712,0.003,0.09252,0.00589,0.02343,0.03273,0.00677,0.0,0.00046,0.0,0.00667,0.02542,0.00679,0.00663,0.0,0.00519,0.01219,0.0,0.00452,0.03968,0.01651,0.0
ACADM,0.03895,0.01066,0.0,0.0,0.0,0.0,0.0,0.01085,0.0,0.0,0.0459,0.02666,0.0,0.00505,0.0,0.0,0.00527,0.00295,0.0,0.0,0.0,0.0,0.01142,0.0,0.00434,0.01,0.11836,0.0,0.0,0.0,0.03635,0.0,0.0125,0.0,0.0,0.0,0.0,0.00934,0.0,0.0,0.0,0.0
ACOX1,0.01095,0.00941,0.00257,0.004,0.00191,0.001,0.0,0.00113,0.01589,0.0,0.0,0.01629,0.00274,0.00165,0.00022,0.00028,0.0,0.01527,0.00689,0.00302,0.00134,0.00014,0.00267,0.00334,0.0013,0.00365,0.00168,0.00034,0.00289,0.0,0.00236,0.02454,0.00277,0.00112,0.02726,0.00166,0.01849,0.00532,0.00429,0.02793,0.00258,0.0
ACOX3,0.01556,0.01115,0.0,0.00191,0.00437,0.0,0.0,0.00152,0.00663,0.0,0.0,0.03623,0.01055,0.00037,0.0,0.02935,0.00542,0.01542,0.00665,0.00592,0.00143,0.00747,0.00282,0.00106,0.01872,0.00945,0.00083,0.01406,0.00087,0.00083,0.00154,0.01747,0.01043,0.00543,0.00112,0.04159,0.00991,0.0,0.01472,0.00574,0.05129,0.0
ACSBG2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.90477,0.0,0.91667,0.72223,0.96552,0.0,0.0,0.0,0.0,0.93616,0.0,0.0,0.0,0.0,0.0,0.93333,0.0,0.0,0.26667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9375,0.0,0.0,0.0,0.94116,1.0,0.0,0.0
ACSL1,0.555,0.7509,0.08,0.83655,0.56975,0.55265,0.0,0.69815,0.47776,0.0,0.42955,0.7381,0.5849,0.2351,0.00144,0.936,0.13716,0.18785,0.11031,0.55175,0.2423,0.61765,0.2783,0.0507,1.0,0.74843,0.38975,0.77085,0.85765,1.0,0.48655,0.5388,0.2964,0.1859,0.9762,0.93335,0.04025,0.00895,0.98075,0.6207,0.33771,0.0
ACSL3,0.01031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03738,0.0,0.0,0.01042,0.0,0.0,0.0,0.01099,0.0,0.0,0.01961,0.02985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
