Drug	Target
Lepirudin	F2
Cetuximab	EGFR
Cetuximab	FCGR3B
Cetuximab	C1R
Cetuximab	C1QA
Cetuximab	C1QB
Cetuximab	C1QC
Cetuximab	FCGR3A
Cetuximab	C1S
Cetuximab	FCGR1A
Cetuximab	FCGR2A
Cetuximab	FCGR2B
Cetuximab	FCGR2C
Denileukin diftitox	IL2RA
Denileukin diftitox	IL2RB
Denileukin diftitox	IL2RG
Etanercept	TNF
Etanercept	TNFRSF1B
Etanercept	FCGR1A
Etanercept	FCGR3A
Etanercept	FCGR2A
Etanercept	FCGR2B
Etanercept	FCGR2C
Etanercept	LTA
Etanercept	FCGR3B
Etanercept	C1S
Etanercept	C1R
Etanercept	C1QA
Etanercept	C1QB
Etanercept	C1QC
Bivalirudin	F2
Leuprolide	GNRHR
Peginterferon alfa-2a	IFNAR2
Peginterferon alfa-2a	IFNAR1
Alteplase	PLG
Alteplase	FGA
Alteplase	PLAUR
Alteplase	SERPINE1
Sermorelin	GHRHR
Interferon alfa-n1	IFNAR2
Interferon alfa-n1	IFNAR1
Darbepoetin alfa	EPOR
Urokinase	PLG
Urokinase	PLAUR
Urokinase	PLAU
Urokinase	PLAT
Urokinase	SERPINE1
Urokinase	SERPINB2
Urokinase	SERPINA5
Urokinase	LRP2
Urokinase	ST14
Urokinase	NID1
Goserelin	LHCGR
Goserelin	GNRHR
Reteplase	PLG
Reteplase	FGA
Reteplase	PLAUR
Reteplase	SERPINE1
Erythropoietin	EPOR
Salmon Calcitonin	CALCR
Interferon alfa-n3	IFNAR1
Interferon alfa-n3	IFNAR2
Pegfilgrastim	CSF3R
Pegfilgrastim	ELANE
Sargramostim	CSF2RA
Sargramostim	IL3RA
Sargramostim	CSF2RB
Sargramostim	SDC2
Sargramostim	PRG2
Secretin	SCTR
Peginterferon alfa-2b	IFNAR1
Peginterferon alfa-2b	IFNAR2
Thyrotropin Alfa	TSHR
Antihemophilic factor, human recombinant	F10
Antihemophilic factor, human recombinant	F9
Antihemophilic factor, human recombinant	VWF
Antihemophilic factor, human recombinant	PHYH
Antihemophilic factor, human recombinant	ASGR2
Antihemophilic factor, human recombinant	HSPA5
Antihemophilic factor, human recombinant	CALR
Antihemophilic factor, human recombinant	CANX
Antihemophilic factor, human recombinant	LMAN1
Antihemophilic factor, human recombinant	LRP1
Antihemophilic factor, human recombinant	MCFD2
Anakinra	IL1R1
Immune Globulin Human	FCGR1A
Immune Globulin Human	FCGR1B
Immune Globulin Human	FCGR2A
Immune Globulin Human	FCGR2B
Immune Globulin Human	FCGR2C
Immune Globulin Human	FCGR3A
Immune Globulin Human	FCGR3B
Immune Globulin Human	C3
Immune Globulin Human	C4A
Immune Globulin Human	C4B
Immune Globulin Human	C4B
Immune Globulin Human	C4B_2
Immune Globulin Human	C5
Anistreplase	PLG
Anistreplase	FGA
Anistreplase	PLAUR
Anistreplase	SERPINE1
Insulin Human	INSR
Insulin Human	IGF1R
Insulin Human	RB1
Insulin Human	CTSD
Insulin Human	IDE
Insulin Human	PCSK2
Insulin Human	CPE
Insulin Human	PCSK1
Insulin Human	NOV
Insulin Human	LRP2
Insulin Human	IGFBP7
Insulin Human	SYTL4
Tenecteplase	PLG
Tenecteplase	FGA
Tenecteplase	PLAUR
Tenecteplase	SERPINE1
Tenecteplase	SERPINB2
Tenecteplase	CLEC3B
Tenecteplase	KRT8
Tenecteplase	ANXA2
Tenecteplase	CALR
Tenecteplase	CANX
Tenecteplase	LRP1
Menotropins	FSHR
Menotropins	LHCGR
Interferon gamma-1b	IFNGR1
Interferon gamma-1b	IFNGR2
Interferon Alfa-2a, Recombinant	IFNAR1
Interferon Alfa-2a, Recombinant	IFNAR2
Desmopressin	AVPR2
Desmopressin	AVPR1A
Desmopressin	AVPR1B
Coagulation factor VIIa Recombinant Human	F10
Coagulation factor VIIa Recombinant Human	HPN
Coagulation factor VIIa Recombinant Human	TFPI
Coagulation factor VIIa Recombinant Human	GGCX
Coagulation factor VIIa Recombinant Human	F7
Coagulation factor VIIa Recombinant Human	F3
Oprelvekin	IL11RA
Palifermin	FGFR2
Palifermin	NRP1
Palifermin	FGFR1
Palifermin	FGFR4
Palifermin	FGFR3
Palifermin	HSPG2
Glucagon recombinant	GCGR
Glucagon recombinant	GLP2R
Glucagon recombinant	GLP1R
Aldesleukin	IL2RB
