SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,sum_rank
sp28,PI3K-Akt signaling pathway,261.0000066831447,A498,1,1
sp22,MAPK signaling pathway,220.00000876109382,A498,1,2
sp34,Ras signaling pathway,171.00000601749588,A498,1,3
sp33,Rap1 signaling pathway,170.00000413129536,A498,1,4
sp45,cAMP signaling pathway,162.00000270156184,A498,1,5
sp7,Calcium signaling pathway,135.00000353171993,A498,1,6
sp44,Wnt signaling pathway,133.00000564375787,A498,1,7
sp17,Hippo signaling pathway,131.00000483569613,A498,1,8
sp47,mTOR signaling pathway,127.0000026604022,A498,1,9
sp8,Chemokine signaling pathway,124.00000604118188,A498,1,10
sp27,Oxytocin signaling pathway,117.00000283048375,A498,1,11
sp46,cGMP-PKG signaling pathway,109.00000345419994,A498,1,12
sp35,Relaxin signaling pathway,102.00000281339995,A498,1,13
sp20,Insulin signaling pathway,101.00000256889126,A498,1,14
sp25,Neurotrophin signaling pathway,100.00000286150394,A498,1,15
sp4,Apelin signaling pathway,96.00000352679639,A498,1,16
sp41,Thyroid hormone signaling pathway,96.00000294804111,A498,1,17
sp12,FoxO signaling pathway,96.00000223255994,A498,1,18
sp21,JAK-STAT signaling pathway,94.00000253213989,A498,1,19
sp36,Signaling pathways regulating pluripotency of stem cells,91.00000244033997,A498,1,20
sp10,Estrogen signaling pathway,89.00000244447251,A498,1,21
sp30,Phospholipase D signaling pathway,86.00000246485996,A498,1,22
sp24,NOD-like receptor signaling pathway,85.00000243949489,A498,1,23
sp15,HIF-1 signaling pathway,81.00000228147437,A498,1,24
sp37,Sphingolipid signaling pathway,77.00000238992358,A498,1,25
sp2,AMPK signaling pathway,75.00000227256254,A498,1,26
sp38,T cell receptor signaling pathway,73.00000215475998,A498,1,27
sp39,TGF-beta signaling pathway,73.00000183183995,A498,1,28
sp6,C-type lectin receptor signaling pathway,72.00000151305997,A498,1,29
sp13,Glucagon signaling pathway,69.00000199763426,A498,1,30
sp14,GnRH signaling pathway,68.00000220283998,A498,1,31
sp48,p53 signaling pathway,65.00000138886452,A498,1,32
sp9,ErbB signaling pathway,64.00000174925998,A498,1,33
sp1,AGE-RAGE signaling pathway in diabetic complications,62.00000242913997,A498,1,34
sp40,TNF signaling pathway,59.00000169507998,A498,1,35
sp23,NF-kappa B signaling pathway,59.00000147147997,A498,1,36
sp31,Prolactin signaling pathway,57.000002071719976,A498,1,37
sp42,Toll-like receptor signaling pathway,57.000001775359976,A498,1,38
sp19,IL-17 signaling pathway,56.00000177639996,A498,1,39
sp5,B cell receptor signaling pathway,52.00000148859999,A498,1,40
sp26,Notch signaling pathway,50.000002077439966,A498,1,41
sp43,VEGF signaling pathway,49.00000105295998,A498,1,42
sp16,Hedgehog signaling pathway,48.00000165445997,A498,1,43
sp29,PPAR signaling pathway,44.000001717226475,A498,1,44
sp3,Adipocytokine signaling pathway,44.000001463199986,A498,1,45
sp11,Fc epsilon RI signaling pathway,42.00000131247999,A498,1,46
sp32,RIG-I-like receptor signaling pathway,40.000001418199986,A498,1,47
sp18,Hippo signaling pathway - multiple species,26.00000075839999,A498,1,48
sp28,PI3K-Akt signaling pathway,261.00000801290383,A549/ATCC,2,1
sp22,MAPK signaling pathway,220.00000618821517,A549/ATCC,2,2
sp34,Ras signaling pathway,171.00000409074306,A549/ATCC,2,3
sp33,Rap1 signaling pathway,170.00000533573277,A549/ATCC,2,4
sp45,cAMP signaling pathway,162.00000776127965,A549/ATCC,2,5
sp7,Calcium signaling pathway,135.00000399780794,A549/ATCC,2,6
sp44,Wnt signaling pathway,133.00000660092687,A549/ATCC,2,7
sp17,Hippo signaling pathway,131.00000368884878,A549/ATCC,2,8
sp47,mTOR signaling pathway,127.00000391910551,A549/ATCC,2,9
sp8,Chemokine signaling pathway,124.00000319733388,A549/ATCC,2,10
sp27,Oxytocin signaling pathway,117.00000376294145,A549/ATCC,2,11
sp46,cGMP-PKG signaling pathway,109.00000388948794,A549/ATCC,2,12
sp35,Relaxin signaling pathway,102.00000263097994,A549/ATCC,2,13
sp20,Insulin signaling pathway,101.00000308449096,A549/ATCC,2,14
sp25,Neurotrophin signaling pathway,100.00000321053794,A549/ATCC,2,15
sp12,FoxO signaling pathway,96.00000386037993,A549/ATCC,2,16
sp4,Apelin signaling pathway,96.00000313668633,A549/ATCC,2,17
sp41,Thyroid hormone signaling pathway,96.00000265964628,A549/ATCC,2,18
sp21,JAK-STAT signaling pathway,94.00000466889989,A549/ATCC,2,19
sp36,Signaling pathways regulating pluripotency of stem cells,91.00000245603997,A549/ATCC,2,20
sp10,Estrogen signaling pathway,89.00000392304865,A549/ATCC,2,21
sp30,Phospholipase D signaling pathway,86.00000326907796,A549/ATCC,2,22
sp24,NOD-like receptor signaling pathway,85.00000220722802,A549/ATCC,2,23
sp15,HIF-1 signaling pathway,81.00000196385356,A549/ATCC,2,24
sp37,Sphingolipid signaling pathway,77.00000232915997,A549/ATCC,2,25
sp2,AMPK signaling pathway,75.00000395783195,A549/ATCC,2,26
sp39,TGF-beta signaling pathway,73.00000320639995,A549/ATCC,2,27
sp38,T cell receptor signaling pathway,73.00000229613998,A549/ATCC,2,28
sp6,C-type lectin receptor signaling pathway,72.00000210373597,A549/ATCC,2,29
sp13,Glucagon signaling pathway,69.00000213989375,A549/ATCC,2,30
sp14,GnRH signaling pathway,68.00000134233998,A549/ATCC,2,31
sp48,p53 signaling pathway,65.00000201547975,A549/ATCC,2,32
sp9,ErbB signaling pathway,64.00000195721998,A549/ATCC,2,33
sp1,AGE-RAGE signaling pathway in diabetic complications,62.000001686971366,A549/ATCC,2,34
sp40,TNF signaling pathway,59.00000172509998,A549/ATCC,2,35
sp23,NF-kappa B signaling pathway,59.00000133617997,A549/ATCC,2,36
sp31,Prolactin signaling pathway,57.000002618079975,A549/ATCC,2,37
sp42,Toll-like receptor signaling pathway,57.000001244479975,A549/ATCC,2,38
sp19,IL-17 signaling pathway,56.00000162389996,A549/ATCC,2,39
sp5,B cell receptor signaling pathway,52.00000167759999,A549/ATCC,2,40
sp26,Notch signaling pathway,50.000001233699955,A549/ATCC,2,41
sp43,VEGF signaling pathway,49.00000227347998,A549/ATCC,2,42
sp16,Hedgehog signaling pathway,48.000001023819976,A549/ATCC,2,43
sp29,PPAR signaling pathway,44.00000137861897,A549/ATCC,2,44
sp3,Adipocytokine signaling pathway,44.00000104673998,A549/ATCC,2,45
sp11,Fc epsilon RI signaling pathway,42.00000120347999,A549/ATCC,2,46
sp32,RIG-I-like receptor signaling pathway,40.00000099649999,A549/ATCC,2,47
sp18,Hippo signaling pathway - multiple species,26.00000092779999,A549/ATCC,2,48
sp28,PI3K-Akt signaling pathway,261.0000078879126,ACHN,3,1
sp22,MAPK signaling pathway,220.0000063309188,ACHN,3,2
sp34,Ras signaling pathway,171.00000630964786,ACHN,3,3
sp33,Rap1 signaling pathway,170.00000495413437,ACHN,3,4
sp45,cAMP signaling pathway,162.00000659010186,ACHN,3,5
sp7,Calcium signaling pathway,135.00000492357992,ACHN,3,6
sp44,Wnt signaling pathway,133.00000550837387,ACHN,3,7
sp17,Hippo signaling pathway,131.00000544261692,ACHN,3,8
sp47,mTOR signaling pathway,127.00000376893692,ACHN,3,9
sp8,Chemokine signaling pathway,124.00000470735789,ACHN,3,10
sp27,Oxytocin signaling pathway,117.00000437326217,ACHN,3,11
sp46,cGMP-PKG signaling pathway,109.00000476677593,ACHN,3,12
sp35,Relaxin signaling pathway,102.00000257103994,ACHN,3,13
sp20,Insulin signaling pathway,101.00000310583376,ACHN,3,14
sp25,Neurotrophin signaling pathway,100.00000410971194,ACHN,3,15
sp12,FoxO signaling pathway,96.00000476069992,ACHN,3,16
sp4,Apelin signaling pathway,96.00000447391393,ACHN,3,17
sp41,Thyroid hormone signaling pathway,96.0000026816919,ACHN,3,18
sp21,JAK-STAT signaling pathway,94.00000551750388,ACHN,3,19
sp36,Signaling pathways regulating pluripotency of stem cells,91.00000268123996,ACHN,3,20
sp10,Estrogen signaling pathway,89.00000480546996,ACHN,3,21
sp30,Phospholipase D signaling pathway,86.00000298466797,ACHN,3,22
sp24,NOD-like receptor signaling pathway,85.00000247312167,ACHN,3,23
sp15,HIF-1 signaling pathway,81.00000213102632,ACHN,3,24
sp37,Sphingolipid signaling pathway,77.00000203770396,ACHN,3,25
sp2,AMPK signaling pathway,75.00000240015595,ACHN,3,26
sp39,TGF-beta signaling pathway,73.00000188212596,ACHN,3,27
sp38,T cell receptor signaling pathway,73.00000164713998,ACHN,3,28
sp6,C-type lectin receptor signaling pathway,72.00000240091796,ACHN,3,29
sp13,Glucagon signaling pathway,69.00000162459375,ACHN,3,30
sp14,GnRH signaling pathway,68.00000212469999,ACHN,3,31
sp48,p53 signaling pathway,65.00000185570995,ACHN,3,32
sp9,ErbB signaling pathway,64.00000177761999,ACHN,3,33
sp1,AGE-RAGE signaling pathway in diabetic complications,62.00000158751996,ACHN,3,34
sp23,NF-kappa B signaling pathway,59.00000202617996,ACHN,3,35
sp40,TNF signaling pathway,59.000001682979985,ACHN,3,36
sp31,Prolactin signaling pathway,57.000001649539975,ACHN,3,37
sp42,Toll-like receptor signaling pathway,57.00000158849998,ACHN,3,38
sp19,IL-17 signaling pathway,56.00000156369996,ACHN,3,39
sp5,B cell receptor signaling pathway,52.000001275799995,ACHN,3,40
sp26,Notch signaling pathway,50.000002005619955,ACHN,3,41
sp43,VEGF signaling pathway,49.00000140887998,ACHN,3,42
sp16,Hedgehog signaling pathway,48.00000127673997,ACHN,3,43
sp3,Adipocytokine signaling pathway,44.000001521919984,ACHN,3,44
