"node_num","node_name","node_type","att_deg"
12,"ACTA2","gene",0.245531002
14,"ACTG1","gene",7.414937664
16,"ACVR1B","gene",0.309200524
17,"ACVR1C","gene",0.33116893
18,"ACVR2A","gene",0.324879056
19,"ACVR2B","gene",0.326842922
21,"ADCY1","gene",2.87639477
22,"ADCY2","gene",2.970294368
23,"ADCY3","gene",2.818879916
24,"ADCY4","gene",2.468662382
25,"ADCY5","gene",2.460998326
26,"ADCY6","gene",2.386055348
27,"ADCY7","gene",2.459593234
28,"ADCY8","gene",2.874628234
29,"ADCY9","gene",2.41657371
42,"ADRB1","gene",0.244602536
43,"ADRB2","gene",0.242267076
45,"AGTR1","gene",1.259079316
49,"AKT1","gene",2.784516822
51,"AKT2","gene",3.19305939
57,"AOX1","gene",0.40235447
65,"ARAP3","gene",0.479222704
66,"ARF1","gene",2.246602302
68,"ARHGDIA","gene",0.408391708
69,"ARHGDIB","gene",0.486605652
70,"ARHGDIG","gene",0.494746444
71,"ARHGEF12","gene",0.498710702
72,"ARNT","gene",0.533333436
76,"ATF4","gene",15.43376893
112,"BAD","gene",0.613548264
114,"BAX","gene",0.382658974
118,"BCL2","gene",0.883032184
119,"BCL2L1","gene",1.006436726
123,"BDKRB2","gene",0.243104652
124,"BDNF","gene",0.662389356
126,"BID","gene",0.869975602
164,"CALM2","gene",23.929643878
167,"CAMK1","gene",0.426339018
168,"CAMK1D","gene",0.42744497
169,"CAMK2A","gene",1.355730346
170,"CAMK2B","gene",1.35594004
171,"CAMK2D","gene",1.30373565
172,"CAMK2G","gene",1.278785036
173,"CAMK4","gene",1.31376054
182,"CASP9","gene",0.42522081
184,"CASR","gene",0.905305856
197,"CCND1","gene",1.057934536
198,"CCND2","gene",0.871472502
199,"CCND3","gene",0.39841923
203,"CCR10","gene",0.533333354
204,"CCR7","gene",0.533333354
213,"CDC37","gene",0.48794369
214,"CDC42","gene",3.092815084
215,"CDH1","gene",0.259510084
218,"CDK4","gene",2.053288026
220,"CDKN1A","gene",2.368462248
223,"CDKN2B","gene",0.303989266
225,"CEBPB","gene",0.533333378
228,"CHAD","gene",0.530507238
233,"CHRM1","gene",0.448772728
235,"CHUK","gene",0.874496896
237,"CISH","gene",0.8676541
239,"CNR1","gene",0.371495052
241,"COL1A1","gene",1.029593912
242,"COL1A2","gene",1.031018412
243,"COL2A1","gene",0.530499738
244,"COL4A1","gene",0.464063148
245,"COL4A2","gene",0.802280324
246,"COL4A3","gene",0.530493458
247,"COL4A4","gene",0.530491292
248,"COL6A2","gene",0.466516992
249,"COL6A3","gene",0.530491182
250,"COL9A1","gene",0.530488688
251,"COL9A2","gene",0.530499708
