All_gene_num,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ABL1,1.77620078,3.365604631,1.850075715,3.770505839,1.65979641,4.023256121,3.40146538,1.581061897,2.630771009,2.402570872,1.962953423,4.200832876,2.954457221,4.678740079,1.552873176,6.986723079,1.551557927,2.446055427,1.455674861,3.829495653,2.211740637,1.912603251,2.485062633,2.715723511,4.012393509,2.017528097,2.007291083,2.172566709,2.052818164,2.509699863,1.888496117,3.142137674,1.907220591,2.074371078,5.148063273,3.232277166,2.460672116,2.161445188,3.32033076,1.848128078,1.729911198,1.985429503
ABL2,1.045515514,2.878986406,1.137024689,1.779552601,0.977052084,3.346703144,2.705690827,0.885346596,2.076739401,1.611197298,1.222394582,1.417119013,2.062557384,4.095399005,0.913125069,0.924472105,0.938593256,1.433289745,0.765501121,3.012013043,1.523618208,1.108369842,1.915516339,2.02412471,3.70431571,1.410600588,1.359075389,1.138723724,1.413317946,1.751462385,1.136515591,2.346050902,1.18890801,1.522090462,1.446821849,2.608393461,1.620031265,1.539995149,1.782138032,1.095631851,0.992600468,1.241371759
ACAA1,0.760689685,0.804550663,0.87027089,0.835503999,0.792524381,0.773619008,0.853299024,0.818497114,0.710687973,0.811676828,0.72817336,0.780563849,0.81774905,0.820153224,0.783622857,0.770008362,0.723074847,0.726826243,0.843217874,0.750201377,0.778017623,0.794125204,0.86411333,0.768807999,0.71988552,0.746737861,0.772635123,0.71015981,0.720712285,0.737608766,0.839502496,0.837495696,0.682423995,0.790444932,0.719251512,0.8623981,0.846739491,0.743034366,0.886028741,0.867840547,0.805696548,0.843812779
ACACA,7.366748931,9.263728004,6.310848665,8.150330704,7.408878568,7.126077235,7.114382543,8.352789405,6.633853932,6.888188732,6.260973396,7.708335312,7.794371151,6.503300622,9.106978449,6.597009935,7.276912361,7.915030656,7.391965894,9.689325891,6.24184391,7.290901119,7.811956996,7.760751837,7.923259725,7.882745419,7.23688586,6.572815464,7.147074278,6.742690958,7.204936261,7.82957957,7.427778587,7.362552453,8.236659165,7.35534957,8.246596847,6.52751797,7.416798582,6.888236132,7.261602706,7.440402199
ACADM,0.707141859,0.775862309,0.756865435,0.746074194,0.740295104,0.724954685,0.760522484,0.748929913,0.703245991,0.803314217,0.690630568,0.756348179,0.789073167,0.673383686,0.762485814,0.718428126,0.72344587,0.717944281,0.762411516,0.710482756,0.703866892,0.727095023,0.851975163,0.751330483,0.621419534,0.763275913,0.760762673,0.709834168,0.644122768,0.63748467,0.815915729,0.718816145,0.634691887,0.710127551,0.671543835,0.806582797,0.777043177,0.747727023,0.777987024,0.740481493,0.813525747,0.838825192
ACOX1,1.067153731,1.124777369,1.195331477,1.208439098,1.052530768,1.066004558,1.150873343,1.121702638,1.018272242,1.143864403,1.057535959,1.098415162,1.171854819,1.156164596,1.148118916,1.124865869,1.067331316,1.043076166,1.093311061,1.079231777,1.128257708,0.989321455,1.217060842,1.179373545,0.997122418,1.113935359,1.128762878,1.057168576,0.978857497,1.054631354,1.202104939,1.217293681,1.00962024,1.019231955,1.052516829,1.26256227,1.165072468,0.987994005,1.148007065,1.228891461,1.159696921,1.216335211
ACOX3,1.058637051,1.187158062,1.251036004,1.196441009,1.033766313,1.050381337,1.225260215,1.192774185,1.052444402,1.137519915,1.106964003,1.06730198,1.22772194,1.188994144,1.230236632,1.058782372,1.051864347,1.06915305,1.183956065,1.124543836,1.482971344,1.13991112,1.30482706,1.141375825,1.002793808,1.196905997,1.164059529,1.031210656,1.035256355,1.006163285,1.27187786,1.283174029,1.109283058,1.027383614,1.052439996,1.248901474,1.257801341,1.121317818,1.227094546,1.229157227,1.223765379,1.250909297
ACSBG2,1.016277689,1.272890355,1.177188089,1.409063452,1.09099928,1.135709133,1.228511833,1.128084058,1.221546036,1.173985065,1.313350118,1.133210706,1.202095358,1.172250284,1.127495621,1.07384386,1.272575563,1.155217658,1.172220427,1.044473743,1.094196529,1.171100447,1.253798073,1.20381265,1.025763049,1.112253586,1.090974641,1.183017511,1.135959407,1.272419759,1.237601035,1.159232834,1.102863932,1.1017293,1.184059304,1.210397193,1.161095111,1.150074706,1.477313116,1.432568921,1.142180533,1.230238251
ACSL1,0.823975263,0.961844658,0.828730319,0.998489153,0.796522092,1.11066712,1.046354933,1.147857897,0.898859147,1.001768544,0.876205844,0.973911856,0.973546544,0.962879482,0.924227974,1.174374272,1.02074697,0.878276086,0.908215107,0.993995435,0.927857119,1.051263943,1.106222362,0.947208356,1.087148206,0.959830599,0.954233707,0.867466923,0.883715676,0.904643972,1.059943466,0.956868451,0.73971357,0.781123383,0.863439313,1.039512657,1.025447789,0.891876207,1.220297909,1.009345171,1.030601625,0.893755577
ACSL3,0.820169131,0.800450512,0.838499653,0.968046141,0.865887299,0.889452672,0.86844452,0.8871564,0.875132037,0.803785766,0.767893025,0.83294502,0.95629774,0.844199772,0.915535035,0.825088298,0.779271176,0.867615225,0.903520306,0.900841822,0.819835037,0.947517524,0.966251259,0.947427565,0.764738996,0.783243247,0.996030057,0.793314573,0.818936145,0.794614642,0.899156155,0.83321869,0.65659714,0.698563932,0.772072676,1.015885548,0.970116504,0.925200927,0.993262065,0.916056092,0.832837862,0.978075326
ACSL6,1.038559252,1.062815956,1.131869861,1.138876655,1.0875531,1.061711019,1.228511818,1.19296554,1.108752033,1.122288398,1.052626938,1.110282872,1.090252803,1.17223327,1.182565087,1.157409674,1.101090926,1.032117903,1.130776824,1.053946422,1.089066694,1.146019543,1.253220247,1.140608298,1.029468002,1.182965775,1.06603904,1.110485817,1.055993174,1.044928458,1.189117568,1.202709652,1.050417808,1.023215388,1.064587346,1.271979676,1.104589503,1.090789884,1.243223435,1.277883656,1.198187636,1.230238259
ACTA2,4.084391604,5.099185642,4.495076702,2.955013783,4.643512048,4.656665431,2.99624326,3.452794494,2.818574357,6.312271722,3.690307474,16.00616213,4.13105193,3.43014885,4.037675719,3.186577674,3.203509269,4.92427719,3.962049981,3.76953591,3.618983899,3.787273713,3.461988541,2.824483538,3.806784621,4.229267088,3.770799304,4.771779401,4.650181865,5.678966803,3.566710262,3.769417444,3.774250977,4.04680019,15.07112991,3.706995524,4.390767036,3.105586731,5.219299615,3.340354769,3.836625415,3.236920279
ACTB,4.203125905,0.773812894,4.155267699,4.174721839,0.140869355,4.134412502,4.149035575,0.194039957,4.045288001,0.128148035,0.191257119,4.165375863,4.169180789,3.987461547,0.204875737,0.173223201,0.339334468,4.157522977,4.192129807,4.188555425,4.105930365,0.145954082,0.216005521,0.16576076,4.174223016,4.024480088,3.994006189,0.178036518,4.185281797,4.169367415,0.241192183,0.173488655,0.16276797,0.146542897,4.168007414,4.232065657,2.943725847,4.166022372,4.193921802,0.188046811,3.977044987,4.176810481
ACTG1,0.217828354,6.052566647,0.27824893,0.210496189,7.092853955,0.290404105,0.255300848,6.932047278,0.398851291,7.107961421,7.021384252,0.188854486,0.281841893,0.39911314,6.902538243,7.153830427,6.774110475,0.290996535,0.257205654,0.258810711,0.354488653,7.186930777,6.880346366,7.037322102,0.220006282,0.327573375,0.420578766,7.076688996,0.252519106,0.1863748,6.854842113,7.062518385,7.165866926,7.182134296,0.189786617,0.255727624,2.266687134,0.251628059,0.265168168,7.107475969,0.400287897,0.252274609
ACVR1,6.707664398,8.518853777,9.016603178,7.193726919,6.918455997,6.985948149,7.025753067,6.596382743,6.949332138,6.479948498,7.859232163,9.945562293,7.684479,10.01524643,7.458402629,6.676222308,9.591102057,6.937991578,7.931890341,7.423597148,7.435928268,7.548053876,6.534589794,6.623297037,6.980242974,6.85394767,7.622303022,7.830798331,6.245055142,11.45314818,10.11659646,12.55075565,11.13191837,6.525391284,8.85333628,6.442020643,7.969609643,10.44178963,7.13492359,8.197492678,7.612354698,8.876011199
