DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,att_deg
1501.0,2.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,48.22222222222222,2468,1500,1,1.0,ABL1,0.0
1501.0,2.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,48.22222222222222,2468,1500,707,707.0,RPS6KA2,3.4888467769754867
1501.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,42.55555555555556,1877,1505,1217,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,42.55555555555556,1877,1505,1216,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,42.55555555555556,1877,1505,1218,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,42.55555555555556,1877,1505,1145,,,
1499.0,1.0,0.0,1493.0,2.0,0.0,RPMI-8226,41.55555555555556,924,1493,118,118.0,CNTFR,0.0
1499.0,1.0,0.0,1493.0,2.0,0.0,RPMI-8226,41.55555555555556,924,1493,821,821.0,WNT3,0.0
1501.0,2.0,0.0,1490.0,0.0,0.0,RPMI-8226,37.0,1424,1490,1106,,,
1501.0,2.0,0.0,1490.0,0.0,0.0,RPMI-8226,37.0,1424,1490,965,,,
1501.0,2.0,0.0,1491.0,0.0,0.0,RPMI-8226,26.22222222222222,704,1491,1209,,,
1501.0,2.0,0.0,1491.0,0.0,0.0,RPMI-8226,26.22222222222222,704,1491,1208,,,
1494.0,0.0,0.0,1501.0,2.0,0.0,RPMI-8226,23.0,150,1501,118,118.0,CNTFR,0.0
1494.0,0.0,0.0,1501.0,2.0,0.0,RPMI-8226,23.0,150,1501,821,821.0,WNT3,0.0
1493.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,21.0,1159,1505,1145,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,21.0,1159,1505,1216,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,21.0,1159,1505,1217,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,RPMI-8226,21.0,1159,1505,1218,,,
1495.0,1.0,0.0,1494.0,0.0,0.0,RPMI-8226,17.666666666666668,321,1494,858,,,
1493.0,2.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,16.11111111111111,2622,1500,707,707.0,RPS6KA2,3.4888467769754867
1493.0,2.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,16.11111111111111,2622,1500,1,1.0,ABL1,0.0
1493.0,2.0,0.0,1490.0,0.0,0.0,RPMI-8226,16.0,2173,1490,965,,,
1493.0,2.0,0.0,1490.0,0.0,0.0,RPMI-8226,16.0,2173,1490,1106,,,
1503.0,1.0,0.0,1505.0,0.0,0.0,RPMI-8226,15.22222222222222,1363,1505,1218,,,
1503.0,1.0,0.0,1505.0,0.0,0.0,RPMI-8226,15.22222222222222,1363,1505,1217,,,
1503.0,1.0,0.0,1505.0,0.0,0.0,RPMI-8226,15.22222222222222,1363,1505,1216,,,
1503.0,1.0,0.0,1505.0,0.0,0.0,RPMI-8226,15.22222222222222,1363,1505,1145,,,
1506.0,3.0,12.268556532516323,1505.0,0.0,0.0,RPMI-8226,14.444444444444445,1783,1505,1218,,,
1506.0,3.0,12.268556532516323,1505.0,0.0,0.0,RPMI-8226,14.444444444444445,1783,1505,1217,,,
1506.0,3.0,12.268556532516323,1505.0,0.0,0.0,RPMI-8226,14.444444444444445,1783,1505,1216,,,
1506.0,3.0,12.268556532516323,1505.0,0.0,0.0,RPMI-8226,14.444444444444445,1783,1505,1145,,,
1503.0,1.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,10.77777777777778,1021,1500,707,707.0,RPS6KA2,3.4888467769754867
1503.0,1.0,0.0,1500.0,2.0,3.4888467769754867,RPMI-8226,10.77777777777778,1021,1500,1,1.0,ABL1,0.0
1506.0,3.0,12.268556532516323,1502.0,3.0,12.268521109304466,RPMI-8226,9.555555555555555,590,1502,568,568.0,PFN4,4.400423761984981
1506.0,3.0,12.268556532516323,1502.0,3.0,12.268521109304466,RPMI-8226,9.555555555555555,590,1502,565,565.0,PFN1,3.4682042976682226
1506.0,3.0,12.268556532516323,1502.0,3.0,12.268521109304466,RPMI-8226,9.555555555555555,590,1502,566,566.0,PFN2,4.399893049651263
1495.0,1.0,0.0,1502.0,3.0,12.268521109304466,RPMI-8226,7.666666666666667,1227,1502,566,566.0,PFN2,4.399893049651263
1495.0,1.0,0.0,1502.0,3.0,12.268521109304466,RPMI-8226,7.666666666666667,1227,1502,568,568.0,PFN4,4.400423761984981
1495.0,1.0,0.0,1502.0,3.0,12.268521109304466,RPMI-8226,7.666666666666667,1227,1502,565,565.0,PFN1,3.4682042976682226
1496.0,1.0,0.0,1497.0,0.0,0.0,RPMI-8226,7.555555555555555,337,1497,1106,,,
1499.0,1.0,0.0,1494.0,0.0,0.0,RPMI-8226,7.222222222222222,1989,1494,858,,,
