"node_num","node_name","node_type","att_deg"
12,"ACTA2","gene",0.369997664
14,"ACTG1","gene",7.437688594
16,"ACVR1B","gene",0.388045626
17,"ACVR1C","gene",0.4034337
18,"ACVR2A","gene",0.404134458
19,"ACVR2B","gene",0.405527244
21,"ADCY1","gene",2.834224018
22,"ADCY2","gene",2.923562582
23,"ADCY3","gene",2.728139546
24,"ADCY4","gene",2.405734726
25,"ADCY5","gene",2.405734704
26,"ADCY6","gene",2.329523762
27,"ADCY7","gene",2.361377448
28,"ADCY8","gene",2.832281854
29,"ADCY9","gene",2.351957644
42,"ADRB1","gene",0.401256622
43,"ADRB2","gene",0.407763888
45,"AGTR1","gene",1.376960943
49,"AKT1","gene",2.867811086
51,"AKT2","gene",2.559295872
60,"APC","gene",0.422724098
61,"APC2","gene",0.424522788
65,"ARAP3","gene",0.434642368
68,"ARHGDIA","gene",0.400982216
69,"ARHGDIB","gene",0.430066766
70,"ARHGDIG","gene",0.505427234
71,"ARHGEF12","gene",0.503983314
76,"ATF4","gene",10.281599028
109,"AXIN1","gene",0.416556892
110,"AXIN2","gene",0.424928546
118,"BCL2","gene",0.296947686
123,"BDKRB2","gene",0.406136346
124,"BDNF","gene",1.17899221
164,"CALM2","gene",36.572420018
167,"CAMK1","gene",0.82175775
168,"CAMK1D","gene",0.815840376
169,"CAMK2A","gene",1.740237394
170,"CAMK2B","gene",1.742497906
171,"CAMK2D","gene",1.714754708
172,"CAMK2G","gene",1.642935842
173,"CAMK4","gene",1.62960829
174,"CAMKK2","gene",0.373317808
175,"CAMP","gene",0.275916419
184,"CASR","gene",1.861507612
193,"CCL5","gene",0.503393861
197,"CCND1","gene",11.299153652
213,"CDC37","gene",0.504982764
214,"CDC42","gene",5.37272333
215,"CDH1","gene",0.369295384
228,"CHAD","gene",0.494293118
233,"CHRM1","gene",0.37393934
239,"CNR1","gene",0.47298709
241,"COL1A1","gene",1.705368174
242,"COL1A2","gene",0.494106188
243,"COL2A1","gene",0.494171836
244,"COL4A1","gene",0.40748587
245,"COL4A2","gene",0.40748751
246,"COL4A3","gene",0.494293126
247,"COL4A4","gene",0.49429311
248,"COL6A2","gene",0.391137494
249,"COL6A3","gene",0.431277416
250,"COL9A1","gene",0.49429311
251,"COL9A2","gene",0.492054168
252,"COL9A3","gene",0.494171826
253,"COMP","gene",0.49417183
270,"CSF3","gene",0.31619887
284,"CTNNB1","gene",2.848893122
292,"CXCL1","gene",0.579039044
296,"CXCL2","gene",0.583208442
297,"CXCL3","gene",0.593420924
308,"DAAM1","gene",0.489763666
309,"DAAM2","gene",0.498070696
322,"DIAPH1","gene",0.362996996
324,"DKK1","gene",0.879402306
337,"DRD2","gene",0.47298709
367,"EFNA1","gene",1.58300247
368,"EFNA2","gene",1.591228708
369,"EFNA3","gene",1.596586706
370,"EFNA4","gene",1.571937214
371,"EFNA5","gene",1.59586387
372,"EGFR","gene",0.305094456
381,"EIF4E","gene",0.954036752
382,"EIF4E1B","gene",0.981464176
383,"EIF4E2","gene",0.928888846
384,"EIF4EBP1","gene",3.901622692
388,"ENAH","gene",0.533332804
394,"EPHA2","gene",58.270992144
400,"EREG","gene",0.789502914
407,"EVL","gene",0.533332804
410,"F2R","gene",0.89721298
424,"FGF1","gene",1.907408335
425,"FGF10","gene",1.911066632
426,"FGF17","gene",1.906689744
427,"FGF18","gene",1.911066738
428,"FGF19","gene",1.907408291
429,"FGF2","gene",1.860194942
430,"FGF20","gene",1.906689904
431,"FGF22","gene",1.906689874
432,"FGF3","gene",1.907408154
433,"FGF4","gene",1.907408241
434,"FGF5","gene",1.88712475
435,"FGF6","gene",1.911066712
436,"FGF8","gene",1.911066628
437,"FGF9","gene",1.906689852
450,"FLT3LG","gene",1.192033156
452,"FN1","gene",0.391471714
455,"FOS","gene",0.418174674
457,"FOSL1","gene",6.663169876
458,"FOXO1","gene",0.42060692
459,"FOXO3","gene",0.408181122
469,"FZD1","gene",0.227431382
470,"FZD10","gene",0.22649995
472,"FZD3","gene",0.222395132
473,"FZD4","gene",0.226499968
474,"FZD5","gene",0.226053763
475,"FZD6","gene",12.3115065902
477,"FZD8","gene",0.226499944
478,"FZD9","gene",0.226499942
483,"GABBR1","gene",0.38956027
484,"GABBR2","gene",0.415828974
485,"GADD45A","gene",0.428053602
491,"GCGR","gene",0.458062628
496,"GDNF","gene",0.314964384
502,"GLI1","gene",0.435651124
503,"GLI2","gene",0.42767683
504,"GLI3","gene",0.428575582
506,"GNA11","gene",1.269196824
507,"GNA12","gene",0.886283516
508,"GNA13","gene",0.907441478
511,"GNAI1","gene",0.294973
512,"GNAI2","gene",4.457039768
513,"GNAI3","gene",0.309477908
515,"GNAO1","gene",0.315018976
516,"GNAQ","gene",1.415495612
517,"GNAS","gene",12.236238628
518,"GNB1","gene",16.83254526
519,"GNB2","gene",0.32980429
520,"GNB3","gene",0.374754296
521,"GNB4","gene",0.36324854
522,"GNB5","gene",0.365187794
523,"GNG10","gene",0.347394082
524,"GNG11","gene",0.364807134
525,"GNG13","gene",0.37393935
526,"GNG4","gene",0.37340457
527,"GNG5","gene",0.324695594
528,"GNG7","gene",0.373939328
529,"GNG8","gene",0.373939338
530,"GNGT2","gene",0.374783596
533,"GRB2","gene",2.050427222
550,"GRM1","gene",0.22489354
557,"GSK3B","gene",0.766158354
588,"HRAS","gene",0.549443626
591,"HSP90AA1","gene",0.878677648
592,"HSP90AB1","gene",3.446294428
593,"HSP90B1","gene",0.462632352
599,"HSPA8","gene",1.05963605
609,"ID1","gene",3.284343208
613,"IFNAR1","gene",1.416536934
614,"IFNAR2","gene",1.357680166
618,"IGF2","gene",1.177987554
621,"IKBKB","gene",0.20517846
626,"IL12A","gene",0.22753794
627,"IL12B","gene",0.226904748
629,"IL13","gene",0.31669236
651,"INS","gene",1.83445111
652,"INSR","gene",0.7446303512
665,"ITGA1","gene",0.493987356
666,"ITGA11","gene",0.49417181
667,"ITGA2","gene",0.471236982
668,"ITGA3","gene",0.391331568
669,"ITGA4","gene",0.494237724
670,"ITGA5","gene",0.442006592
671,"ITGA6","gene",0.47229673
672,"ITGA7","gene",0.494171836
673,"ITGA9","gene",0.494285424
674,"ITGAV","gene",4.35944863
675,"ITGB1","gene",21.687204468
677,"ITGB3","gene",0.494038194
678,"ITGB4","gene",0.444752204
679,"ITGB5","gene",0.437240686
680,"ITGB8","gene",0.494285424
686,"JAK1","gene",1.900569226
690,"JUN","gene",10.995748461
703,"KDR","gene",0.389422232
707,"KIT","gene",0.203988314
708,"KITLG","gene",1.574611812
711,"KRAS","gene",0.55218802
722,"LAMA1","gene",0.492903302
723,"LAMA2","gene",0.494171836
724,"LAMA3","gene",0.493124432
725,"LAMA4","gene",0.442006612
726,"LAMA5","gene",0.467455608
727,"LAMB1","gene",0.4074739
728,"LAMB2","gene",0.441347108
729,"LAMB3","gene",0.437240686
730,"LAMC1","gene",0.408661996
731,"LAMC2","gene",0.494285462
732,"LAMC3","gene",0.494171838
734,"LAT","gene",4.24986853
738,"LCN2","gene",0.315148678
743,"LEF1","gene",0.430165872
760,"LPAR1","gene",0.360767526
761,"LPAR2","gene",0.367230846
762,"LPAR3","gene",0.37393935
763,"LPAR5","gene",0.3747836
767,"LRP5","gene",0.431955824
768,"LRP6","gene",0.649607138
772,"LTBP1","gene",0.529091202
781,"MAP2K1","gene",2.09239996
782,"MAP2K2","gene",1.412363388
783,"MAP2K3","gene",0.407187024
784,"MAP2K4","gene",0.41082779
785,"MAP2K5","gene",0.981869334
786,"MAP2K6","gene",0.4230547
787,"MAP2K7","gene",0.412739112
788,"MAP3K1","gene",0.427568098
802,"MAPK1","gene",2.9263520664
803,"MAPK11","gene",1.491917564
804,"MAPK12","gene",1.4584684288
805,"MAPK13","gene",1.52114705
806,"MAPK14","gene",1.3603769642
807,"MAPK15","gene",0.312678092
808,"MAPK3","gene",3.37787266
809,"MAPK4","gene",0.308908402
810,"MAPK6","gene",0.267255428
811,"MAPK7","gene",2.69179531
812,"MAPK8","gene",3.2475038396
816,"MAPK9","gene",2.884165856
818,"MAPKAPK2","gene",0.368740444
819,"MAPKAPK3","gene",0.404947046
843,"MET","gene",7.942764211
