DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score
Cladribine,0.0,0.0,Celecoxib,1.0,0.31619887,HOP-62,4.666666666666667
Thalidomide,3.0,2.746977932,Paclitaxel,1.0,0.296947686,HOP-62,2.888888888888889
Tretinoin,0.0,0.0,Celecoxib,1.0,0.31619887,HOP-62,1.7777777777777777
Gefitinib,1.0,0.305094456,Lenalidomide,1.0,0.31619887,HOP-62,0.7777777777777778
Fulvestrant,0.0,0.0,Romidepsin,0.0,0.0,HOP-62,0.4444444444444444
Fulvestrant,0.0,0.0,Paclitaxel,1.0,0.296947686,HOP-62,0.3333333333333333
Megestrol acetate,0.0,0.0,Lenalidomide,1.0,0.31619887,HOP-62,-1.4444444444444444
Mitotane,0.0,0.0,Everolimus,1.0,1.2912891,HOP-62,-1.7777777777777777
Mitotane,0.0,0.0,Docetaxel,1.0,0.296947686,HOP-62,-1.7777777777777777
Fulvestrant,0.0,0.0,Sirolimus,2.0,3.151484042,HOP-62,-1.8888888888888888
Megestrol acetate,0.0,0.0,Gefitinib,1.0,0.305094456,HOP-62,-2.111111111111111
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,HOP-62,-2.2222222222222223
Mitotane,0.0,0.0,Dasatinib,6.0,62.129390760199996,HOP-62,-2.2222222222222223
Mitotane,0.0,0.0,Cladribine,0.0,0.0,HOP-62,-2.2222222222222223
Thalidomide,3.0,2.746977932,Sirolimus,2.0,3.151484042,HOP-62,-2.7777777777777777
Thalidomide,3.0,2.746977932,Docetaxel,1.0,0.296947686,HOP-62,-2.888888888888889
Fulvestrant,0.0,0.0,Vorinostat,0.0,0.0,HOP-62,-3.111111111111111
Fulvestrant,0.0,0.0,Nilotinib,1.0,0.203988314,HOP-62,-3.4444444444444446
Fulvestrant,0.0,0.0,Everolimus,1.0,1.2912891,HOP-62,-4.777777777777778
Fulvestrant,0.0,0.0,Cladribine,0.0,0.0,HOP-62,-4.777777777777778
Mitotane,0.0,0.0,Paclitaxel,1.0,0.296947686,HOP-62,-5.444444444444445
Thalidomide,3.0,2.746977932,Mitotane,0.0,0.0,HOP-62,-5.555555555555555
Thalidomide,3.0,2.746977932,Tretinoin,0.0,0.0,HOP-62,-6.555555555555555
Fulvestrant,0.0,0.0,Dasatinib,6.0,62.129390760199996,HOP-62,-6.555555555555555
Mitotane,0.0,0.0,Celecoxib,1.0,0.31619887,HOP-62,-7.555555555555555
Fulvestrant,0.0,0.0,Tretinoin,0.0,0.0,HOP-62,-8.777777777777779
Mitotane,0.0,0.0,Nilotinib,1.0,0.203988314,HOP-62,-9.333333333333334
Mitotane,0.0,0.0,Sirolimus,2.0,3.151484042,HOP-62,-10.555555555555555
Mitotane,0.0,0.0,Tretinoin,0.0,0.0,HOP-62,-11.444444444444445
Thalidomide,3.0,2.746977932,Cladribine,0.0,0.0,HOP-62,-11.666666666666666
Fulvestrant,0.0,0.0,Celecoxib,1.0,0.31619887,HOP-62,-12.88888888888889
