DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score
Paclitaxel,2.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,27.55555555555556
Docetaxel,2.0,0.0,Tretinoin,0.0,0.0,SK-MEL-5,20.33333333333333
Paclitaxel,2.0,0.0,Tretinoin,0.0,0.0,SK-MEL-5,17.444444444444443
Paclitaxel,2.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,11.22222222222222
Fulvestrant,1.0,0.0,Romidepsin,3.0,13.05984069076914,SK-MEL-5,10.333333333333334
Docetaxel,2.0,0.0,Fulvestrant,1.0,0.0,SK-MEL-5,9.0
Fulvestrant,1.0,0.0,Everolimus,0.0,0.0,SK-MEL-5,8.777777777777779
Romidepsin,3.0,13.05984069076914,Cladribine,0.0,0.0,SK-MEL-5,8.777777777777779
Paclitaxel,2.0,0.0,Nilotinib,2.0,7.159644321109288,SK-MEL-5,8.333333333333334
Vorinostat,3.0,13.059839787201145,Romidepsin,3.0,13.05984069076914,SK-MEL-5,5.888888888888889
Docetaxel,2.0,0.0,Sirolimus,1.0,0.0,SK-MEL-5,5.222222222222222
Docetaxel,2.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,4.444444444444445
Thalidomide,1.0,0.0,Mitotane,1.0,0.0,SK-MEL-5,3.6666666666666665
Mitotane,1.0,0.0,Docetaxel,2.0,0.0,SK-MEL-5,3.4444444444444446
Fulvestrant,1.0,0.0,Tretinoin,0.0,0.0,SK-MEL-5,2.333333333333333
Romidepsin,3.0,13.05984069076914,Sirolimus,1.0,0.0,SK-MEL-5,1.7777777777777777
Vorinostat,3.0,13.059839787201145,Cladribine,0.0,0.0,SK-MEL-5,1.5555555555555556
Fulvestrant,1.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,0.7777777777777778
Mitotane,1.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,-0.2222222222222222
Tretinoin,0.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,-0.3333333333333333
Cladribine,0.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,-0.5555555555555556
Fulvestrant,1.0,0.0,Vorinostat,3.0,13.059839787201145,SK-MEL-5,-1.0
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,-1.1111111111111112
Docetaxel,2.0,0.0,Paclitaxel,2.0,0.0,SK-MEL-5,-1.3333333333333333
Romidepsin,3.0,13.05984069076914,Docetaxel,2.0,0.0,SK-MEL-5,-1.4444444444444444
Thalidomide,1.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,-3.555555555555556
Fulvestrant,1.0,0.0,Nilotinib,2.0,7.159644321109288,SK-MEL-5,-3.888888888888889
Fulvestrant,1.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,-3.888888888888889
Fulvestrant,1.0,0.0,Paclitaxel,2.0,0.0,SK-MEL-5,-4.111111111111111
Vorinostat,3.0,13.059839787201145,Sirolimus,1.0,0.0,SK-MEL-5,-4.333333333333333
Vorinostat,3.0,13.059839787201145,Nilotinib,2.0,7.159644321109288,SK-MEL-5,-4.333333333333333
Fulvestrant,1.0,0.0,Dasatinib,10.0,7.223694427957583,SK-MEL-5,-4.666666666666667
Romidepsin,3.0,13.05984069076914,Paclitaxel,2.0,0.0,SK-MEL-5,-4.666666666666667
Mitotane,1.0,0.0,Tretinoin,0.0,0.0,SK-MEL-5,-4.888888888888889
Vorinostat,3.0,13.059839787201145,Docetaxel,2.0,0.0,SK-MEL-5,-4.888888888888889
Romidepsin,3.0,13.05984069076914,Tretinoin,0.0,0.0,SK-MEL-5,-5.111111111111111
Docetaxel,2.0,0.0,Cladribine,0.0,0.0,SK-MEL-5,-5.111111111111111
Mitotane,1.0,0.0,Sirolimus,1.0,0.0,SK-MEL-5,-5.111111111111111
Docetaxel,2.0,0.0,Nilotinib,2.0,7.159644321109288,SK-MEL-5,-5.666666666666667
Mitotane,1.0,0.0,Everolimus,0.0,0.0,SK-MEL-5,-5.777777777777778
Fulvestrant,1.0,0.0,Sirolimus,1.0,0.0,SK-MEL-5,-5.888888888888889
Mitotane,1.0,0.0,Celecoxib,0.0,0.0,SK-MEL-5,-5.888888888888889
Thalidomide,1.0,0.0,Tretinoin,0.0,0.0,SK-MEL-5,-6.0
Thalidomide,1.0,0.0,Sirolimus,1.0,0.0,SK-MEL-5,-6.555555555555555
Mitotane,1.0,0.0,Paclitaxel,2.0,0.0,SK-MEL-5,-6.555555555555555
Vorinostat,3.0,13.059839787201145,Tretinoin,0.0,0.0,SK-MEL-5,-6.555555555555555
