DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score
Fulvestrant,1.0,8.871589158508957,Everolimus,1.0,0.08348959265022307,T-47D,18.444444444444443
Docetaxel,2.0,22.758441234555782,Tretinoin,4.0,46.119923897987775,T-47D,12.77777777777778
Docetaxel,2.0,22.758441234555782,Celecoxib,2.0,20.910510328897892,T-47D,12.333333333333334
Docetaxel,2.0,22.758441234555782,Sirolimus,2.0,1.4042370068201526,T-47D,11.444444444444445
Mitotane,2.0,9.435423040359455,Tretinoin,4.0,46.119923897987775,T-47D,8.88888888888889
Vorinostat,3.0,6.645144621472305,Tretinoin,4.0,46.119923897987775,T-47D,7.333333333333333
Docetaxel,2.0,22.758441234555782,Nilotinib,2.0,2.2851786362354707,T-47D,6.777777777777778
Paclitaxel,2.0,22.758441234555782,Tretinoin,4.0,46.119923897987775,T-47D,5.666666666666667
Dasatinib,12.0,44.34623294049953,Docetaxel,2.0,22.758441234555782,T-47D,5.555555555555555
Fulvestrant,1.0,8.871589158508957,Nilotinib,2.0,2.2851786362354707,T-47D,4.333333333333333
Dasatinib,12.0,44.34623294049953,Vorinostat,3.0,6.645144621472305,T-47D,3.555555555555556
Paclitaxel,2.0,22.758441234555782,Celecoxib,2.0,20.910510328897892,T-47D,3.2222222222222223
Fulvestrant,1.0,8.871589158508957,Sirolimus,2.0,1.4042370068201526,T-47D,2.888888888888889
Sirolimus,2.0,1.4042370068201526,Celecoxib,2.0,20.910510328897892,T-47D,2.888888888888889
Romidepsin,3.0,6.981644584610962,Tretinoin,4.0,46.119923897987775,T-47D,2.888888888888889
Megestrol acetate,1.0,0.5638338818504978,Gefitinib,1.0,0.19469003279400365,T-47D,2.7777777777777777
Fulvestrant,1.0,8.871589158508957,Romidepsin,3.0,6.981644584610962,T-47D,2.7777777777777777
Dasatinib,12.0,44.34623294049953,Romidepsin,3.0,6.981644584610962,T-47D,2.6666666666666665
Nilotinib,2.0,2.2851786362354707,Mitotane,2.0,9.435423040359455,T-47D,2.555555555555556
Fulvestrant,1.0,8.871589158508957,Vorinostat,3.0,6.645144621472305,T-47D,2.333333333333333
Sirolimus,2.0,1.4042370068201526,Mitotane,2.0,9.435423040359455,T-47D,2.0
Docetaxel,2.0,22.758441234555782,Paclitaxel,2.0,22.758441234555782,T-47D,1.7777777777777777
Dasatinib,12.0,44.34623294049953,Celecoxib,2.0,20.910510328897892,T-47D,1.6666666666666667
