DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,att_deg
1501.0,2.0,21.046789213368275,1490.0,2.0,18.8422509038016,SK-MEL-5,27.55555555555556,2740,1501,821,821,MAPT,0.3432474065409418
1501.0,2.0,21.046789213368275,1490.0,2.0,18.8422509038016,SK-MEL-5,27.55555555555556,2740,1501,118,118,BCL2,20.70354180682733
1493.0,2.0,21.046789213368275,1505.0,4.0,43.98206259519213,SK-MEL-5,20.33333333333333,1966,1493,118,118,BCL2,20.70354180682733
1493.0,2.0,21.046789213368275,1505.0,4.0,43.98206259519213,SK-MEL-5,20.33333333333333,1966,1493,821,821,MAPT,0.3432474065409418
1501.0,2.0,21.046789213368275,1505.0,4.0,43.98206259519213,SK-MEL-5,17.444444444444443,2072,1501,821,821,MAPT,0.3432474065409418
1501.0,2.0,21.046789213368275,1505.0,4.0,43.98206259519213,SK-MEL-5,17.444444444444443,2072,1501,118,118,BCL2,20.70354180682733
1501.0,2.0,21.046789213368275,1491.0,2.0,0.27715945864546265,SK-MEL-5,11.22222222222222,1124,1501,821,821,MAPT,0.3432474065409418
1501.0,2.0,21.046789213368275,1491.0,2.0,0.27715945864546265,SK-MEL-5,11.22222222222222,1124,1501,118,118,BCL2,20.70354180682733
1495.0,1.0,8.257216060098314,1502.0,3.0,10.267246861977998,SK-MEL-5,10.333333333333334,2473,1495,401,401,ESR1,8.257216060098314
1493.0,2.0,21.046789213368275,1495.0,1.0,8.257216060098314,SK-MEL-5,9.0,592,1493,821,821,MAPT,0.3432474065409418
1493.0,2.0,21.046789213368275,1495.0,1.0,8.257216060098314,SK-MEL-5,9.0,592,1493,118,118,BCL2,20.70354180682733
1502.0,3.0,10.267246861977998,1491.0,2.0,0.27715945864546265,SK-MEL-5,8.777777777777779,1999,1502,568,568,HDAC4,1.214281445787034
1502.0,3.0,10.267246861977998,1491.0,2.0,0.27715945864546265,SK-MEL-5,8.777777777777779,1999,1502,565,565,HDAC1,3.38878986441331
1502.0,3.0,10.267246861977998,1491.0,2.0,0.27715945864546265,SK-MEL-5,8.777777777777779,1999,1502,566,566,HDAC2,5.664175551777655
1495.0,1.0,8.257216060098314,1494.0,1.0,0.09996591825151374,SK-MEL-5,8.777777777777779,2785,1495,401,401,ESR1,8.257216060098314
1501.0,2.0,21.046789213368275,1500.0,2.0,2.0383868844836965,SK-MEL-5,8.333333333333334,2027,1501,821,821,MAPT,0.3432474065409418
1501.0,2.0,21.046789213368275,1500.0,2.0,2.0383868844836965,SK-MEL-5,8.333333333333334,2027,1501,118,118,BCL2,20.70354180682733
