DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score
Paclitaxel,2.0,0.0,Tretinoin,0.0,0.0,MDA-MB-231/ATCC,25.666666666666668
Paclitaxel,2.0,0.0,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,23.22222222222222
Docetaxel,2.0,0.0,Tretinoin,0.0,0.0,MDA-MB-231/ATCC,21.55555555555556
Sirolimus,1.0,0.0,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,15.11111111111111
Fulvestrant,1.0,0.6937206417868307,Everolimus,0.0,0.0,MDA-MB-231/ATCC,14.88888888888889
Docetaxel,2.0,0.0,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,13.333333333333334
Romidepsin,3.0,13.11747077605095,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,9.666666666666666
Vorinostat,3.0,13.117471378429613,Cladribine,0.0,0.0,MDA-MB-231/ATCC,9.333333333333334
Romidepsin,3.0,13.11747077605095,Cladribine,0.0,0.0,MDA-MB-231/ATCC,8.88888888888889
Dasatinib,10.0,3.1563314273427423,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,8.777777777777779
Paclitaxel,2.0,0.0,Cladribine,0.0,0.0,MDA-MB-231/ATCC,8.333333333333334
Docetaxel,2.0,0.0,Fulvestrant,1.0,0.6937206417868307,MDA-MB-231/ATCC,7.888888888888889
Romidepsin,3.0,13.11747077605095,Sirolimus,1.0,0.0,MDA-MB-231/ATCC,7.222222222222222
Mitotane,1.0,0.6937206417868307,Everolimus,0.0,0.0,MDA-MB-231/ATCC,7.222222222222222
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,MDA-MB-231/ATCC,6.777777777777778
Fulvestrant,1.0,0.6937206417868307,Romidepsin,3.0,13.11747077605095,MDA-MB-231/ATCC,6.555555555555555
Fulvestrant,1.0,0.6937206417868307,Dasatinib,10.0,3.1563314273427423,MDA-MB-231/ATCC,6.111111111111111
Everolimus,0.0,0.0,Docetaxel,2.0,0.0,MDA-MB-231/ATCC,5.0
Docetaxel,2.0,0.0,Sirolimus,1.0,0.0,MDA-MB-231/ATCC,4.666666666666667
Everolimus,0.0,0.0,Romidepsin,3.0,13.11747077605095,MDA-MB-231/ATCC,4.333333333333333
Dasatinib,10.0,3.1563314273427423,Tretinoin,0.0,0.0,MDA-MB-231/ATCC,3.888888888888889
Everolimus,0.0,0.0,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,3.4444444444444446
Vorinostat,3.0,13.117471378429613,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,2.6666666666666665
Sirolimus,1.0,0.0,Cladribine,0.0,0.0,MDA-MB-231/ATCC,1.8888888888888888
Mitotane,1.0,0.6937206417868307,Docetaxel,2.0,0.0,MDA-MB-231/ATCC,1.7777777777777777
Romidepsin,3.0,13.11747077605095,Paclitaxel,2.0,0.0,MDA-MB-231/ATCC,1.5555555555555556
Thalidomide,1.0,0.0,Paclitaxel,2.0,0.0,MDA-MB-231/ATCC,1.5555555555555556
Thalidomide,1.0,0.0,Cladribine,0.0,0.0,MDA-MB-231/ATCC,1.4444444444444444
Everolimus,0.0,0.0,Sirolimus,1.0,0.0,MDA-MB-231/ATCC,1.2222222222222223
Thalidomide,1.0,0.0,Sirolimus,1.0,0.0,MDA-MB-231/ATCC,1.2222222222222223
Vorinostat,3.0,13.117471378429613,Sirolimus,1.0,0.0,MDA-MB-231/ATCC,1.2222222222222223
Vorinostat,3.0,13.117471378429613,Romidepsin,3.0,13.11747077605095,MDA-MB-231/ATCC,1.1111111111111112
Everolimus,0.0,0.0,Dasatinib,10.0,3.1563314273427423,MDA-MB-231/ATCC,1.1111111111111112
Mitotane,1.0,0.6937206417868307,Celecoxib,0.0,0.0,MDA-MB-231/ATCC,0.8888888888888888
Everolimus,0.0,0.0,Paclitaxel,2.0,0.0,MDA-MB-231/ATCC,0.7777777777777778
Thalidomide,1.0,0.0,Docetaxel,2.0,0.0,MDA-MB-231/ATCC,0.4444444444444444
Dasatinib,10.0,3.1563314273427423,Docetaxel,2.0,0.0,MDA-MB-231/ATCC,0.4444444444444444
Mitotane,1.0,0.6937206417868307,Cladribine,0.0,0.0,MDA-MB-231/ATCC,0.3333333333333333
Mitotane,1.0,0.6937206417868307,Tretinoin,0.0,0.0,MDA-MB-231/ATCC,0.3333333333333333
