SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp1,0.026883672167156845,A498,1,29,0.02544938701225488,1.0,13.0
sp2,0.02495566527011529,A498,1,32,0.017847907743542335,1.0,24.0
sp3,0.0427769156005263,A498,1,13,0.03093009353140349,1.0,9.0
sp4,0.024334744806360314,A498,1,34,0.02180144678088719,1.0,19.0
sp5,0.14585001829710142,A498,1,1,,,
sp6,0.03759925779978259,A498,1,20,0.04091912008774702,1.0,6.0
sp7,0.03502312238132074,A498,1,24,0.023155232268867912,1.0,18.0
sp8,0.011366343756013683,A498,1,48,0.014203635479410942,1.0,30.0
sp9,0.04641406423147539,A498,1,11,,,
sp10,0.03602196752790566,A498,1,22,0.03069400234206253,1.0,10.0
sp11,0.07364403472234567,A498,1,4,0.04991212455174417,1.0,2.0
sp12,0.03531018665805824,A498,1,23,0.015201687954226505,1.0,27.0
sp13,0.018587721781200443,A498,1,42,,,
sp14,0.09528791691779659,A498,1,3,,,
sp15,0.02557646444971845,A498,1,30,0.02359968047388137,1.0,16.0
sp16,0.029158817553655153,A498,1,26,0.03478369180901232,1.0,8.0
sp17,0.019711732182466097,A498,1,39,0.013974478648999377,1.0,31.0
sp18,0.05262944351132074,A498,1,9,,,
sp19,0.024504925643018,A498,1,33,,,
sp20,0.03802603158708386,A498,1,19,,,
sp21,0.015025018395042512,A498,1,47,0.014352663381527258,1.0,29.0
sp22,0.018852896412188534,A498,1,41,0.01798748247996347,1.0,23.0
sp23,0.039162383772153836,A498,1,18,0.02660764543484209,1.0,12.0
sp24,0.10221093284980809,A498,1,2,0.059796530508304135,1.0,1.0
sp25,0.027716290548183194,A498,1,28,0.027863945854730243,1.0,11.0
sp26,0.020624575618231278,A498,1,37,,,
sp27,0.020622495972592483,A498,1,38,,,
sp28,0.022702001429682775,A498,1,35,0.01497415774260849,1.0,28.0
sp29,0.01687193961421944,A498,1,44,0.024369582196806308,1.0,14.0
sp30,0.04589875750907257,A498,1,12,0.040183634056137243,1.0,7.0
sp31,0.04145368348612243,A498,1,16,0.04700787491567684,1.0,3.0
sp32,0.07021583172203388,A498,1,5,,,
sp33,0.025147675115212105,A498,1,31,,,
sp34,0.020755737080135422,A498,1,36,0.018206659252870672,1.0,22.0
sp35,0.028627401848009812,A498,1,27,0.02418669013839079,1.0,15.0
sp36,0.04061266003183614,A498,1,17,,,
sp37,0.04810994507254224,A498,1,10,,,
sp38,0.06522670601999998,A498,1,6,,,
