DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,att_deg
1501.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,32.111111111111114,1022,1505,1218,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,32.111111111111114,1022,1505,1145,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,32.111111111111114,1022,1505,1216,,,
1501.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,32.111111111111114,1022,1505,1217,,,
1501.0,2.0,0.0,1490.0,0.0,0.0,NCI-H460,24.11111111111111,2251,1490,965,,,
1501.0,2.0,0.0,1490.0,0.0,0.0,NCI-H460,24.11111111111111,2251,1490,1106,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,18.77777777777778,836,1505,1145,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,18.77777777777778,836,1505,1216,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,18.77777777777778,836,1505,1217,,,
1493.0,2.0,0.0,1505.0,0.0,0.0,NCI-H460,18.77777777777778,836,1505,1218,,,
1499.0,1.0,0.0,1493.0,2.0,0.0,NCI-H460,18.11111111111111,853,1493,118,118.0,CNTFR,0.0
1499.0,1.0,0.0,1493.0,2.0,0.0,NCI-H460,18.11111111111111,853,1493,821,821.0,WNT3,0.0
1501.0,2.0,0.0,1503.0,1.0,0.0,NCI-H460,13.22222222222222,961,1503,429,429.0,LAMB3,0.0
1501.0,2.0,0.0,1503.0,1.0,0.0,NCI-H460,13.22222222222222,961,1503,858,,,
1494.0,0.0,0.0,1493.0,2.0,0.0,NCI-H460,11.22222222222222,1176,1493,118,118.0,CNTFR,0.0
1494.0,0.0,0.0,1493.0,2.0,0.0,NCI-H460,11.22222222222222,1176,1493,821,821.0,WNT3,0.0
1493.0,2.0,0.0,1490.0,0.0,0.0,NCI-H460,10.0,1909,1490,965,,,
1493.0,2.0,0.0,1490.0,0.0,0.0,NCI-H460,10.0,1909,1490,1106,,,
1495.0,1.0,0.0,1502.0,3.0,12.726826423521587,NCI-H460,9.444444444444445,499,1502,565,565.0,PFN1,4.008973527202677
1495.0,1.0,0.0,1502.0,3.0,12.726826423521587,NCI-H460,9.444444444444445,499,1502,568,568.0,PFN4,4.45270137820259
1495.0,1.0,0.0,1502.0,3.0,12.726826423521587,NCI-H460,9.444444444444445,499,1502,566,566.0,PFN2,4.265151518116319
1493.0,2.0,0.0,1500.0,2.0,8.193098539350453,NCI-H460,8.777777777777779,122,1500,1,1.0,ABL1,0.0
1493.0,2.0,0.0,1500.0,2.0,8.193098539350453,NCI-H460,8.777777777777779,122,1500,707,707.0,RPS6KA2,8.193098539350453
1493.0,2.0,0.0,1503.0,1.0,0.0,NCI-H460,7.777777777777778,1316,1503,429,429.0,LAMB3,0.0
1493.0,2.0,0.0,1503.0,1.0,0.0,NCI-H460,7.777777777777778,1316,1503,858,,,
1495.0,1.0,0.0,1494.0,0.0,0.0,NCI-H460,7.333333333333333,1228,1494,858,,,
1494.0,0.0,0.0,1501.0,2.0,0.0,NCI-H460,5.333333333333333,406,1501,821,821.0,WNT3,0.0
1494.0,0.0,0.0,1501.0,2.0,0.0,NCI-H460,5.333333333333333,406,1501,118,118.0,CNTFR,0.0
1506.0,3.0,12.726826657779956,1502.0,3.0,12.726826423521587,NCI-H460,5.222222222222222,611,1502,568,568.0,PFN4,4.45270137820259
1506.0,3.0,12.726826657779956,1502.0,3.0,12.726826423521587,NCI-H460,5.222222222222222,611,1502,565,565.0,PFN1,4.008973527202677
1506.0,3.0,12.726826657779956,1502.0,3.0,12.726826423521587,NCI-H460,5.222222222222222,611,1502,566,566.0,PFN2,4.265151518116319
1499.0,1.0,0.0,1494.0,0.0,0.0,NCI-H460,4.0,2326,1494,858,,,
1498.0,0.0,0.0,1496.0,1.0,0.0,NCI-H460,4.0,2752,1496,372,372.0,IL15RA,0.0
1502.0,3.0,12.726826423521587,1505.0,0.0,0.0,NCI-H460,2.2222222222222223,1698,1505,1218,,,
1502.0,3.0,12.726826423521587,1505.0,0.0,0.0,NCI-H460,2.2222222222222223,1698,1505,1217,,,
1502.0,3.0,12.726826423521587,1505.0,0.0,0.0,NCI-H460,2.2222222222222223,1698,1505,1145,,,
1502.0,3.0,12.726826423521587,1505.0,0.0,0.0,NCI-H460,2.2222222222222223,1698,1505,1216,,,
1503.0,1.0,0.0,1499.0,1.0,0.0,NCI-H460,1.7777777777777777,2761,1499,980,,,
1503.0,1.0,0.0,1499.0,1.0,0.0,NCI-H460,1.7777777777777777,2761,1499,401,401.0,ITGB1,0.0
1502.0,3.0,12.726826423521587,1493.0,2.0,0.0,NCI-H460,1.5555555555555556,2042,1493,821,821.0,WNT3,0.0
1502.0,3.0,12.726826423521587,1493.0,2.0,0.0,NCI-H460,1.5555555555555556,2042,1493,118,118.0,CNTFR,0.0
1502.0,3.0,12.726826423521587,1490.0,0.0,0.0,NCI-H460,1.4444444444444444,2149,1490,1106,,,
