SpNotation,Cell_Line_Name,Attention,SignalingPath,Cancer_name
sp1,A498,0.0254493870122548,AGE-RAGE signaling pathway in diabetic complications,Renal
sp2,A498,0.0178479077435423,AMPK signaling pathway,Renal
sp3,A498,0.0309300935314034,Adipocytokine signaling pathway,Renal
sp4,A498,0.0218014467808871,Apelin signaling pathway,Renal
sp5,A498,0.0,B cell receptor signaling pathway,Renal
sp6,A498,0.040919120087747,C-type lectin receptor signaling pathway,Renal
sp7,A498,0.0231552322688679,Calcium signaling pathway,Renal
sp8,A498,0.0142036354794109,Chemokine signaling pathway,Renal
sp9,A498,0.0,ErbB signaling pathway,Renal
sp10,A498,0.0306940023420625,Estrogen signaling pathway,Renal
sp11,A498,0.0499121245517441,Fc epsilon RI signaling pathway,Renal
sp12,A498,0.0152016879542265,FoxO signaling pathway,Renal
sp13,A498,0.0,Glucagon signaling pathway,Renal
sp14,A498,0.0,GnRH signaling pathway,Renal
sp15,A498,0.0235996804738813,HIF-1 signaling pathway,Renal
sp16,A498,0.0347836918090123,Hedgehog signaling pathway,Renal
sp17,A498,0.0139744786489993,Hippo signaling pathway,Renal
sp18,A498,0.0,Hippo signaling pathway - multiple species,Renal
sp19,A498,0.0,IL-17 signaling pathway,Renal
sp20,A498,0.0,Insulin signaling pathway,Renal
sp21,A498,0.0143526633815272,JAK-STAT signaling pathway,Renal
sp22,A498,0.0179874824799634,MAPK signaling pathway,Renal
sp23,A498,0.026607645434842,NF-kappa B signaling pathway,Renal
sp24,A498,0.0597965305083041,NOD-like receptor signaling pathway,Renal
sp25,A498,0.0278639458547302,Neurotrophin signaling pathway,Renal
sp26,A498,0.0,Notch signaling pathway,Renal
sp27,A498,0.0,Oxytocin signaling pathway,Renal
sp28,A498,0.0149741577426084,PI3K-Akt signaling pathway,Renal
sp29,A498,0.0243695821968063,PPAR signaling pathway,Renal
sp30,A498,0.0401836340561372,Phospholipase D signaling pathway,Renal
sp31,A498,0.0470078749156768,Prolactin signaling pathway,Renal
sp32,A498,0.0,RIG-I-like receptor signaling pathway,Renal
sp33,A498,0.0,Rap1 signaling pathway,Renal
sp34,A498,0.0182066592528706,Ras signaling pathway,Renal
sp35,A498,0.0241866901383907,Relaxin signaling pathway,Renal
sp36,A498,0.0,Signaling pathways regulating pluripotency of stem cells,Renal
sp37,A498,0.0,Sphingolipid signaling pathway,Renal
sp38,A498,0.0,T cell receptor signaling pathway,Renal
sp39,A498,0.0,TGF-beta signaling pathway,Renal
sp40,A498,0.0415722650701066,TNF signaling pathway,Renal
sp41,A498,0.0193262369556007,Thyroid hormone signaling pathway,Renal
sp42,A498,0.0,Toll-like receptor signaling pathway,Renal
sp43,A498,0.0,VEGF signaling pathway,Renal
sp44,A498,0.0155494057228974,Wnt signaling pathway,Renal
sp45,A498,0.0161330043631962,cAMP signaling pathway,Renal
sp46,A498,0.0412696775300586,cGMP-PKG signaling pathway,Renal
sp47,A498,0.0235150845671452,mTOR signaling pathway,Renal
sp48,A498,0.020246993483266,p53 signaling pathway,Renal
sp1,A549/ATCC,0.0247968608751681,AGE-RAGE signaling pathway in diabetic complications,Lung
sp2,A549/ATCC,0.0193015962356842,AMPK signaling pathway,Lung
sp3,A549/ATCC,0.028120596265614,Adipocytokine signaling pathway,Lung
sp4,A549/ATCC,0.0190958101443206,Apelin signaling pathway,Lung
sp5,A549/ATCC,0.0,B cell receptor signaling pathway,Lung
sp6,A549/ATCC,0.0373119013561501,C-type lectin receptor signaling pathway,Lung
sp7,A549/ATCC,0.0279605904002978,Calcium signaling pathway,Lung
sp8,A549/ATCC,0.017988729211029,Chemokine signaling pathway,Lung
sp9,A549/ATCC,0.0,ErbB signaling pathway,Lung
sp10,A549/ATCC,0.0,Estrogen signaling pathway,Lung
sp11,A549/ATCC,0.0,Fc epsilon RI signaling pathway,Lung
sp12,A549/ATCC,0.0215733001350724,FoxO signaling pathway,Lung
sp13,A549/ATCC,0.0285994587303834,Glucagon signaling pathway,Lung
sp14,A549/ATCC,0.0,GnRH signaling pathway,Lung
sp15,A549/ATCC,0.0219541569422655,HIF-1 signaling pathway,Lung
sp16,A549/ATCC,0.0289937998149999,Hedgehog signaling pathway,Lung
sp17,A549/ATCC,0.0179262643764041,Hippo signaling pathway,Lung
sp18,A549/ATCC,0.0394369663193548,Hippo signaling pathway - multiple species,Lung
sp19,A549/ATCC,0.0254871389110714,IL-17 signaling pathway,Lung
sp20,A549/ATCC,0.037393689554047,Insulin signaling pathway,Lung
sp21,A549/ATCC,0.0,JAK-STAT signaling pathway,Lung
sp22,A549/ATCC,0.0172852270817705,MAPK signaling pathway,Lung
sp23,A549/ATCC,0.0,NF-kappa B signaling pathway,Lung
sp24,A549/ATCC,0.0,NOD-like receptor signaling pathway,Lung
sp25,A549/ATCC,0.0243937202380843,Neurotrophin signaling pathway,Lung
sp26,A549/ATCC,0.0348176755793333,Notch signaling pathway,Lung
sp27,A549/ATCC,0.0310875256592912,Oxytocin signaling pathway,Lung
sp28,A549/ATCC,0.0147912561925367,PI3K-Akt signaling pathway,Lung
sp29,A549/ATCC,0.0,PPAR signaling pathway,Lung
sp30,A549/ATCC,0.0457850805285366,Phospholipase D signaling pathway,Lung
sp31,A549/ATCC,0.0389204726983693,Prolactin signaling pathway,Lung
