node_num,node_name,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31,freq
1,ABL1,0.0,0.0,0.0,0.0,0.0,2.4319324365041157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.870627631310978,0.0,0.0,0.0,0.0,0.0,2.041384799215439,0.0,0.0,0.0,0.0,2.5366256638510927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ABL2,0.0,0.0,0.0,0.0,0.0,2.4689775194426384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2821332771964764,0.0,0.0,0.0,0.0,0.0,1.9546672706420651,0.0,0.0,0.0,0.0,2.8744745720393943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ACTA2,0.0,0.9895374241583206,0.0,0.0,0.9210481184241465,0.0,0.0,0.0,0.0,1.3879536574714486,0.0,5.916244285063283,0.0,0.0,0.0,0.0,0.0,0.9121816344226995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.518028878658636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,ACTB,4.04250132610051,0.0,3.9888398296677634,4.0381497308469365,0.0,3.998329612560644,4.0147460343144195,0.0,3.8605924236730536,0.0,0.0,4.044181985313197,4.0153383305554895,3.802679496952038,0.0,0.0,0.0,3.998569846550373,4.036454362722978,4.020283951872725,3.9508959597703703,0.0,0.0,0.0,4.037664151436815,3.8394923490105883,3.768061297694908,0.0,4.038957941679672,4.045138370191246,0.0,0.0,0.0,0.0,4.039572999828165,4.041112185348458,2.7676810331226838,3.9986337947099764,4.032768213745895,0.0,3.8033511851134314,4.0336671329636635,25.0
5,ACTG1,0.0,5.81429680747339,0.0,0.0,6.876603619028205,0.0,0.0,6.5940679909537145,0.0,6.897702802145257,6.8077759132720885,0.0,0.0,0.0,6.550318235062771,6.845067774620857,6.480858555311008,0.0,0.0,0.0,0.0,6.9211568471937115,6.615196900908993,6.826988238797187,0.0,0.0,0.0,6.848273589785939,0.0,0.0,6.549368397014314,6.775665000053896,6.871130100717216,6.9051162975914675,0.0,0.0,0.0,0.0,0.0,6.815887200200343,0.0,0.0,17.0
6,ACVR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0591786781985113,0.0,0.0,2.0094747601097196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3906106138309045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ACVR1B,2.390667707772977,2.7923328958406004,0.0,0.0,2.586886081258005,0.0,0.0,0.0,0.0,3.246533401063866,2.3211417482830514,0.0,0.0,0.0,0.0,2.6661164111864797,2.021712183019027,2.7047644404765827,0.0,2.351741329342937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9479419973405394,0.0,1.9610758433621907,0.0,3.478236395564229,0.0,1.7747937226349926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ACVR1C,2.5086272040507405,2.89511321954906,0.0,0.0,2.7706819007916903,0.0,0.0,0.0,0.0,3.375275726377546,2.4924810966001907,0.0,0.0,0.0,0.0,2.830278417749212,0.0,2.8221627206345095,0.0,2.550042109128794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068530558554644,0.0,1.999002105886368,0.0,0.0,0.0,1.8262189563135272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ACVR2A,2.5012118725267323,2.871966719075984,0.0,0.0,2.718058485756771,0.0,0.0,0.0,0.0,3.3811385272974115,2.488816308485983,0.0,0.0,0.0,0.0,2.813393961386798,0.0,2.8205921019377747,0.0,2.524476405752025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0362801755050524,0.0,1.9622591493121793,0.0,0.0,0.0,1.805522697977964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ACVR2B,4.5452269749013166,2.8932819047537253,0.0,0.0,2.734488915935653,0.0,0.0,0.0,0.0,3.3927910907244097,2.4888163252187234,0.0,0.0,0.0,0.0,2.8113090953731,0.0,2.8208684766143204,0.0,2.5364014283942673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027348656889492,0.0,2.0093785970494724,0.0,0.0,0.0,1.7501715450353652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
