SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,sum_rank
sp28,PI3K-Akt signaling pathway,73.93220241705127,NCI-H460,21,1
sp7,Calcium signaling pathway,50.65318743077998,NCI-H460,21,2
sp22,MAPK signaling pathway,44.86755166643964,NCI-H460,21,3
sp33,Rap1 signaling pathway,39.82665283645183,NCI-H460,21,4
sp34,Ras signaling pathway,36.719498301131964,NCI-H460,21,5
sp35,Relaxin signaling pathway,27.431947681499985,NCI-H460,21,6
sp47,mTOR signaling pathway,27.025541091190064,NCI-H460,21,7
sp36,Signaling pathways regulating pluripotency of stem cells,24.70592637733999,NCI-H460,21,8
sp4,Apelin signaling pathway,22.904656240772983,NCI-H460,21,9
sp45,cAMP signaling pathway,22.38672245482798,NCI-H460,21,10
sp24,NOD-like receptor signaling pathway,22.08628423250338,NCI-H460,21,11
sp14,GnRH signaling pathway,22.042371244199995,NCI-H460,21,12
sp30,Phospholipase D signaling pathway,21.984892463099992,NCI-H460,21,13
sp17,Hippo signaling pathway,21.667801155051727,NCI-H460,21,14
sp46,cGMP-PKG signaling pathway,21.17214446954199,NCI-H460,21,15
sp44,Wnt signaling pathway,20.909344617647978,NCI-H460,21,16
sp20,Insulin signaling pathway,20.27592539594099,NCI-H460,21,17
sp5,B cell receptor signaling pathway,19.634279137599997,NCI-H460,21,18
sp10,Estrogen signaling pathway,18.31818072106899,NCI-H460,21,19
sp21,JAK-STAT signaling pathway,18.284585791459975,NCI-H460,21,20
sp37,Sphingolipid signaling pathway,17.990324637285994,NCI-H460,21,21
sp38,T cell receptor signaling pathway,17.305009400819998,NCI-H460,21,22
sp27,Oxytocin signaling pathway,17.025462814212123,NCI-H460,21,23
sp39,TGF-beta signaling pathway,15.312187179979993,NCI-H460,21,24
sp8,Chemokine signaling pathway,15.260710721345983,NCI-H460,21,25
sp42,Toll-like receptor signaling pathway,14.894517349119996,NCI-H460,21,26
sp25,Neurotrophin signaling pathway,14.585217845509991,NCI-H460,21,27
sp12,FoxO signaling pathway,14.207100101439995,NCI-H460,21,28
sp6,C-type lectin receptor signaling pathway,13.205809786699994,NCI-H460,21,29
sp40,TNF signaling pathway,12.738044480279996,NCI-H460,21,30
sp13,Glucagon signaling pathway,12.546764071563992,NCI-H460,21,31
sp1,AGE-RAGE signaling pathway in diabetic complications,12.275784867999993,NCI-H460,21,32
sp9,ErbB signaling pathway,12.035384003899996,NCI-H460,21,33
sp15,HIF-1 signaling pathway,12.03127011582034,NCI-H460,21,34
sp11,Fc epsilon RI signaling pathway,11.671867354199998,NCI-H460,21,35
sp2,AMPK signaling pathway,11.50647195052632,NCI-H460,21,36
sp23,NF-kappa B signaling pathway,9.712052682719996,NCI-H460,21,37
sp43,VEGF signaling pathway,9.577615107659998,NCI-H460,21,38
sp31,Prolactin signaling pathway,9.513591865719995,NCI-H460,21,39
sp19,IL-17 signaling pathway,9.000076047967992,NCI-H460,21,40
sp3,Adipocytokine signaling pathway,8.931465171759996,NCI-H460,21,41
sp41,Thyroid hormone signaling pathway,8.754662430614388,NCI-H460,21,42
sp16,Hedgehog signaling pathway,8.496423308639995,NCI-H460,21,43
sp32,RIG-I-like receptor signaling pathway,8.371577876799998,NCI-H460,21,44
sp26,Notch signaling pathway,6.720697997799995,NCI-H460,21,45
sp29,PPAR signaling pathway,6.429711473401993,NCI-H460,21,46
sp18,Hippo signaling pathway - multiple species,5.597878946199999,NCI-H460,21,47
sp48,p53 signaling pathway,5.563733183239997,NCI-H460,21,48
