DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score
Fulvestrant,1.0,1.29561080687007,Everolimus,1.0,3.97650142344392,HCT-15,12.444444444444445
Mitotane,2.0,1.433199673102387,Tretinoin,4.0,5.600713541347852,HCT-15,6.444444444444445
Fulvestrant,1.0,1.29561080687007,Romidepsin,3.0,5.54105770029013,HCT-15,5.666666666666667
Mitotane,2.0,1.433199673102387,Everolimus,1.0,3.97650142344392,HCT-15,5.222222222222222
Fulvestrant,1.0,1.29561080687007,Nilotinib,2.0,5.12896167099,HCT-15,3.333333333333333
Fulvestrant,1.0,1.29561080687007,Cladribine,2.0,0.029685110600000002,HCT-15,2.6666666666666665
Dasatinib,12.0,33.38692632990215,Vorinostat,3.0,5.52768494594632,HCT-15,2.0
Everolimus,1.0,3.97650142344392,Sirolimus,2.0,7.4139891194839205,HCT-15,1.8888888888888888
Everolimus,1.0,3.97650142344392,Dasatinib,12.0,33.38692632990215,HCT-15,1.3333333333333333
Fulvestrant,1.0,1.29561080687007,Vorinostat,3.0,5.52768494594632,HCT-15,1.3333333333333333
Fulvestrant,1.0,1.29561080687007,Tretinoin,4.0,5.600713541347852,HCT-15,-0.1111111111111111
Thalidomide,4.0,17.198525836537062,Docetaxel,2.0,2.69439182768442,HCT-15,-0.1111111111111111
Gefitinib,1.0,8.69423346103406,Lenalidomide,1.0,1.58840024116,HCT-15,-0.2222222222222222
Megestrol acetate,1.0,0.137588866232317,Gefitinib,1.0,8.69423346103406,HCT-15,-0.3333333333333333
Mitotane,2.0,1.433199673102387,Docetaxel,2.0,2.69439182768442,HCT-15,-0.4444444444444444
Thalidomide,4.0,17.198525836537062,Cladribine,2.0,0.029685110600000002,HCT-15,-0.7777777777777778
Thalidomide,4.0,17.198525836537062,Mitotane,2.0,1.433199673102387,HCT-15,-0.8888888888888888
Everolimus,1.0,3.97650142344392,Romidepsin,3.0,5.54105770029013,HCT-15,-1.1111111111111112
Fulvestrant,1.0,1.29561080687007,Paclitaxel,2.0,2.69439182768442,HCT-15,-1.2222222222222223
Dasatinib,12.0,33.38692632990215,Sirolimus,2.0,7.4139891194839205,HCT-15,-1.5555555555555556
Thalidomide,4.0,17.198525836537062,Sirolimus,2.0,7.4139891194839205,HCT-15,-1.5555555555555556
Mitotane,2.0,1.433199673102387,Nilotinib,2.0,5.12896167099,HCT-15,-1.7777777777777777
Dasatinib,12.0,33.38692632990215,Romidepsin,3.0,5.54105770029013,HCT-15,-2.4444444444444446
Everolimus,1.0,3.97650142344392,Docetaxel,2.0,2.69439182768442,HCT-15,-2.7777777777777777
Tretinoin,4.0,5.600713541347852,Cladribine,2.0,0.029685110600000002,HCT-15,-2.888888888888889
Dasatinib,12.0,33.38692632990215,Paclitaxel,2.0,2.69439182768442,HCT-15,-2.888888888888889
Fulvestrant,1.0,1.29561080687007,Dasatinib,12.0,33.38692632990215,HCT-15,-3.0
Everolimus,1.0,3.97650142344392,Celecoxib,2.0,4.26615032728666,HCT-15,-3.111111111111111
Cladribine,2.0,0.029685110600000002,Celecoxib,2.0,4.26615032728666,HCT-15,-3.2222222222222223
Everolimus,1.0,3.97650142344392,Cladribine,2.0,0.029685110600000002,HCT-15,-3.2222222222222223
Megestrol acetate,1.0,0.137588866232317,Lenalidomide,1.0,1.58840024116,HCT-15,-3.4444444444444446
Dasatinib,12.0,33.38692632990215,Celecoxib,2.0,4.26615032728666,HCT-15,-3.555555555555556
Everolimus,1.0,3.97650142344392,Vorinostat,3.0,5.52768494594632,HCT-15,-3.6666666666666665
Mitotane,2.0,1.433199673102387,Celecoxib,2.0,4.26615032728666,HCT-15,-3.6666666666666665
Fulvestrant,1.0,1.29561080687007,Sirolimus,2.0,7.4139891194839205,HCT-15,-4.333333333333333
Dasatinib,12.0,33.38692632990215,Docetaxel,2.0,2.69439182768442,HCT-15,-4.777777777777778
Everolimus,1.0,3.97650142344392,Paclitaxel,2.0,2.69439182768442,HCT-15,-5.777777777777778
Everolimus,1.0,3.97650142344392,Tretinoin,4.0,5.600713541347852,HCT-15,-6.111111111111111
Mitotane,2.0,1.433199673102387,Sirolimus,2.0,7.4139891194839205,HCT-15,-6.111111111111111
Dasatinib,12.0,33.38692632990215,Cladribine,2.0,0.029685110600000002,HCT-15,-6.222222222222222
Thalidomide,4.0,17.198525836537062,Paclitaxel,2.0,2.69439182768442,HCT-15,-6.555555555555555
Thalidomide,4.0,17.198525836537062,Tretinoin,4.0,5.600713541347852,HCT-15,-6.888888888888889
Mitotane,2.0,1.433199673102387,Dasatinib,12.0,33.38692632990215,HCT-15,-7.222222222222222
Everolimus,1.0,3.97650142344392,Nilotinib,2.0,5.12896167099,HCT-15,-7.555555555555555
Mitotane,2.0,1.433199673102387,Cladribine,2.0,0.029685110600000002,HCT-15,-7.777777777777778
Fulvestrant,1.0,1.29561080687007,Celecoxib,2.0,4.26615032728666,HCT-15,-8.0
Dasatinib,12.0,33.38692632990215,Tretinoin,4.0,5.600713541347852,HCT-15,-8.222222222222221
Tretinoin,4.0,5.600713541347852,Celecoxib,2.0,4.26615032728666,HCT-15,-11.0
Dasatinib,12.0,33.38692632990215,Nilotinib,2.0,5.12896167099,HCT-15,-18.22222222222222
