All_gene_num,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ABL1,0.0,0.0,0.0,0.0,0.0,0.290679512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343115058,0.0,0.0,0.0,0.0,0.0,0.243998858,0.0,0.0,0.0,0.0,0.30319309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.0,0.0,0.0,0.0,0.0,0.295107368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392300742,0.0,0.0,0.0,0.0,0.0,0.233633846,0.0,0.0,0.0,0.0,0.343574868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,0.0,0.263788732,0.0,0.0,0.245531002,0.0,0.0,0.0,0.0,0.369997664,0.0,1.57713952,0.0,0.0,0.0,0.0,0.0,0.243167394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.470984124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,7.459530414,0.0,7.360510146,7.45150052,0.0,7.378021414,7.408314242,0.0,7.123858294,0.0,0.0,7.462631694,7.409407192,7.016992964,0.0,0.0,0.0,7.378464712,7.448372098,7.418533228,7.290493236,0.0,0.0,0.0,7.450604492,7.084922834,6.953112834,0.0,7.452991892,7.464396488,0.0,0.0,0.0,0.0,7.454126844,7.456967066,5.107135206,7.378582714,7.441570136,0.0,7.018232414,7.44322889
ACTG1,0.0,6.269468298,0.0,0.0,7.414937664,0.0,0.0,7.11028377,0.0,7.437688594,7.34072179,0.0,0.0,0.0,7.06310907,7.38093304,6.988211748,0.0,0.0,0.0,0.0,7.462978736,7.133066754,7.36143815,0.0,0.0,0.0,7.384389822,0.0,0.0,7.062084874,7.306097078,7.409035652,7.445682454,0.0,0.0,0.0,0.0,0.0,7.349468068,0.0,0.0
ACVR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365651838,0.0,0.0,0.240184774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40526662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1B,0.285747298,0.33375679,0.0,0.0,0.309200524,0.0,0.0,0.0,0.0,0.388045626,0.277437128,0.0,0.0,0.0,0.0,0.31867062,0.241647466,0.32329007,0.0,0.281094578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23283,0.0,0.234399838,0.0,0.415740192,0.0,0.212134254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1C,0.299846542,0.346041726,0.0,0.0,0.33116893,0.0,0.0,0.0,0.0,0.4034337,0.29791666,0.0,0.0,0.0,0.0,0.338292272,0.0,0.337322234,0.0,0.304796706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247243486,0.0,0.238933018,0.0,0.0,0.0,0.218280914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR2A,0.298960216,0.343275114,0.0,0.0,0.324879056,0.0,0.0,0.0,0.0,0.404134458,0.297478622,0.0,0.0,0.0,0.0,0.336274138,0.0,0.337134504,0.0,0.301740936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243388722,0.0,0.234541274,0.0,0.0,0.0,0.21580717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR2B,0.543273464,0.345822836,0.0,0.0,0.326842922,0.0,0.0,0.0,0.0,0.405527244,0.297478624,0.0,0.0,0.0,0.0,0.336024942,0.0,0.337167538,0.0,0.303166288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242321172,0.0,0.24017328,0.0,0.0,0.0,0.20919126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
