DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,att_deg
1501.0,2.0,0.0,1490.0,0.0,0.0,UACC-62,28.88888888888889,1709,1501,821,821.0,WNT3,0.0
1501.0,2.0,0.0,1490.0,0.0,0.0,UACC-62,28.88888888888889,1709,1501,118,118.0,CNTFR,0.0
1501.0,2.0,0.0,1500.0,2.0,7.247656294495738,UACC-62,20.77777777777778,1430,1501,821,821.0,WNT3,0.0
1501.0,2.0,0.0,1500.0,2.0,7.247656294495738,UACC-62,20.77777777777778,1430,1501,118,118.0,CNTFR,0.0
1501.0,2.0,0.0,1505.0,0.0,0.0,UACC-62,19.88888888888889,2552,1501,118,118.0,CNTFR,0.0
1501.0,2.0,0.0,1505.0,0.0,0.0,UACC-62,19.88888888888889,2552,1501,821,821.0,WNT3,0.0
1493.0,2.0,0.0,1490.0,0.0,0.0,UACC-62,19.55555555555556,530,1493,118,118.0,CNTFR,0.0
1493.0,2.0,0.0,1490.0,0.0,0.0,UACC-62,19.55555555555556,530,1493,821,821.0,WNT3,0.0
1493.0,2.0,0.0,1505.0,0.0,0.0,UACC-62,19.22222222222222,270,1493,118,118.0,CNTFR,0.0
1493.0,2.0,0.0,1505.0,0.0,0.0,UACC-62,19.22222222222222,270,1493,821,821.0,WNT3,0.0
1506.0,3.0,12.015408456072915,1490.0,0.0,0.0,UACC-62,12.666666666666666,2354,1506,566,566.0,PFN2,4.009842893473465
1506.0,3.0,12.015408456072915,1490.0,0.0,0.0,UACC-62,12.666666666666666,2354,1506,567,567.0,PFN3,4.4172831527019705
1506.0,3.0,12.015408456072915,1490.0,0.0,0.0,UACC-62,12.666666666666666,2354,1506,565,565.0,PFN1,3.588282409897481
1495.0,1.0,0.2473894560932564,1494.0,0.0,0.0,UACC-62,9.0,100,1495,401,401.0,ITGB1,0.2473894560932564
1504.0,1.0,0.0,1501.0,2.0,0.0,UACC-62,8.777777777777779,1275,1504,885,,,
1504.0,1.0,0.0,1501.0,2.0,0.0,UACC-62,8.777777777777779,1275,1504,1106,,,
1504.0,1.0,0.0,1501.0,2.0,0.0,UACC-62,8.777777777777779,1275,1504,1399,,,
1504.0,1.0,0.0,1501.0,2.0,0.0,UACC-62,8.777777777777779,1275,1504,439,439.0,LEPR,0.0
1504.0,1.0,0.0,1491.0,0.0,0.0,UACC-62,8.222222222222221,2708,1504,1399,,,
1504.0,1.0,0.0,1491.0,0.0,0.0,UACC-62,8.222222222222221,2708,1504,1106,,,
1504.0,1.0,0.0,1491.0,0.0,0.0,UACC-62,8.222222222222221,2708,1504,885,,,
1504.0,1.0,0.0,1491.0,0.0,0.0,UACC-62,8.222222222222221,2708,1504,439,439.0,LEPR,0.0
1499.0,1.0,0.2473894560932564,1494.0,0.0,0.0,UACC-62,7.888888888888889,751,1499,980,,,
1499.0,1.0,0.2473894560932564,1494.0,0.0,0.0,UACC-62,7.888888888888889,751,1499,401,401.0,ITGB1,0.2473894560932564
1495.0,1.0,0.2473894560932564,1502.0,3.0,12.01543489380307,UACC-62,6.888888888888889,1930,1495,401,401.0,ITGB1,0.2473894560932564
1505.0,0.0,0.0,1491.0,0.0,0.0,UACC-62,6.111111111111111,284,1505,1145,,,
1505.0,0.0,0.0,1491.0,0.0,0.0,UACC-62,6.111111111111111,284,1505,1216,,,
1505.0,0.0,0.0,1491.0,0.0,0.0,UACC-62,6.111111111111111,284,1505,1217,,,
1505.0,0.0,0.0,1491.0,0.0,0.0,UACC-62,6.111111111111111,284,1505,1218,,,
1494.0,0.0,0.0,1493.0,2.0,0.0,UACC-62,5.555555555555555,1283,1494,858,,,
1498.0,0.0,0.0,1496.0,1.0,0.0,UACC-62,5.111111111111111,399,1498,980,,,
1504.0,1.0,0.0,1503.0,1.0,0.0,UACC-62,4.111111111111111,1164,1504,1106,,,
1504.0,1.0,0.0,1503.0,1.0,0.0,UACC-62,4.111111111111111,1164,1504,885,,,
1504.0,1.0,0.0,1503.0,1.0,0.0,UACC-62,4.111111111111111,1164,1504,439,439.0,LEPR,0.0
1504.0,1.0,0.0,1503.0,1.0,0.0,UACC-62,4.111111111111111,1164,1504,1399,,,
1501.0,2.0,0.0,1491.0,0.0,0.0,UACC-62,4.111111111111111,2685,1501,821,821.0,WNT3,0.0
1501.0,2.0,0.0,1491.0,0.0,0.0,UACC-62,4.111111111111111,2685,1501,118,118.0,CNTFR,0.0
