DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score
Fulvestrant,0.0,0.0,Everolimus,1.0,1.101357046,HCT-15,12.444444444444445
Mitotane,0.0,0.0,Tretinoin,0.0,0.0,HCT-15,6.444444444444445
Fulvestrant,0.0,0.0,Romidepsin,0.0,0.0,HCT-15,5.666666666666667
Mitotane,0.0,0.0,Everolimus,1.0,1.101357046,HCT-15,5.222222222222222
Fulvestrant,0.0,0.0,Nilotinib,0.0,0.0,HCT-15,3.333333333333333
Fulvestrant,0.0,0.0,Cladribine,0.0,0.0,HCT-15,2.6666666666666665
Dasatinib,4.0,3.9714247940000003,Vorinostat,0.0,0.0,HCT-15,2.0
Everolimus,1.0,1.101357046,Sirolimus,1.0,1.101357046,HCT-15,1.8888888888888888
Everolimus,1.0,1.101357046,Dasatinib,4.0,3.9714247940000003,HCT-15,1.3333333333333333
Fulvestrant,0.0,0.0,Vorinostat,0.0,0.0,HCT-15,1.3333333333333333
Fulvestrant,0.0,0.0,Tretinoin,0.0,0.0,HCT-15,-0.1111111111111111
Thalidomide,3.0,2.8885632808,Docetaxel,1.0,0.530537312,HCT-15,-0.1111111111111111
Gefitinib,1.0,0.351633962,Lenalidomide,1.0,0.271197348,HCT-15,-0.2222222222222222
Megestrol acetate,0.0,0.0,Gefitinib,1.0,0.351633962,HCT-15,-0.3333333333333333
Mitotane,0.0,0.0,Docetaxel,1.0,0.530537312,HCT-15,-0.4444444444444444
Thalidomide,3.0,2.8885632808,Cladribine,0.0,0.0,HCT-15,-0.7777777777777778
Thalidomide,3.0,2.8885632808,Mitotane,0.0,0.0,HCT-15,-0.8888888888888888
Everolimus,1.0,1.101357046,Romidepsin,0.0,0.0,HCT-15,-1.1111111111111112
Fulvestrant,0.0,0.0,Paclitaxel,1.0,0.530537312,HCT-15,-1.2222222222222223
Dasatinib,4.0,3.9714247940000003,Sirolimus,1.0,1.101357046,HCT-15,-1.5555555555555556
Thalidomide,3.0,2.8885632808,Sirolimus,1.0,1.101357046,HCT-15,-1.5555555555555556
Mitotane,0.0,0.0,Nilotinib,0.0,0.0,HCT-15,-1.7777777777777777
Dasatinib,4.0,3.9714247940000003,Romidepsin,0.0,0.0,HCT-15,-2.4444444444444446
Everolimus,1.0,1.101357046,Docetaxel,1.0,0.530537312,HCT-15,-2.7777777777777777
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,HCT-15,-2.888888888888889
Dasatinib,4.0,3.9714247940000003,Paclitaxel,1.0,0.530537312,HCT-15,-2.888888888888889
Fulvestrant,0.0,0.0,Dasatinib,4.0,3.9714247940000003,HCT-15,-3.0
Everolimus,1.0,1.101357046,Celecoxib,1.0,0.271197348,HCT-15,-3.111111111111111
Cladribine,0.0,0.0,Celecoxib,1.0,0.271197348,HCT-15,-3.2222222222222223
Everolimus,1.0,1.101357046,Cladribine,0.0,0.0,HCT-15,-3.2222222222222223
Megestrol acetate,0.0,0.0,Lenalidomide,1.0,0.271197348,HCT-15,-3.4444444444444446
Dasatinib,4.0,3.9714247940000003,Celecoxib,1.0,0.271197348,HCT-15,-3.555555555555556
Everolimus,1.0,1.101357046,Vorinostat,0.0,0.0,HCT-15,-3.6666666666666665
Mitotane,0.0,0.0,Celecoxib,1.0,0.271197348,HCT-15,-3.6666666666666665
Fulvestrant,0.0,0.0,Sirolimus,1.0,1.101357046,HCT-15,-4.333333333333333
Dasatinib,4.0,3.9714247940000003,Docetaxel,1.0,0.530537312,HCT-15,-4.777777777777778
Everolimus,1.0,1.101357046,Paclitaxel,1.0,0.530537312,HCT-15,-5.777777777777778
Everolimus,1.0,1.101357046,Tretinoin,0.0,0.0,HCT-15,-6.111111111111111
Mitotane,0.0,0.0,Sirolimus,1.0,1.101357046,HCT-15,-6.111111111111111
Dasatinib,4.0,3.9714247940000003,Cladribine,0.0,0.0,HCT-15,-6.222222222222222
Thalidomide,3.0,2.8885632808,Paclitaxel,1.0,0.530537312,HCT-15,-6.555555555555555
Thalidomide,3.0,2.8885632808,Tretinoin,0.0,0.0,HCT-15,-6.888888888888889
Mitotane,0.0,0.0,Dasatinib,4.0,3.9714247940000003,HCT-15,-7.222222222222222
Everolimus,1.0,1.101357046,Nilotinib,0.0,0.0,HCT-15,-7.555555555555555
Mitotane,0.0,0.0,Cladribine,0.0,0.0,HCT-15,-7.777777777777778
Fulvestrant,0.0,0.0,Celecoxib,1.0,0.271197348,HCT-15,-8.0
Dasatinib,4.0,3.9714247940000003,Tretinoin,0.0,0.0,HCT-15,-8.222222222222221
Tretinoin,0.0,0.0,Celecoxib,1.0,0.271197348,HCT-15,-11.0
Dasatinib,4.0,3.9714247940000003,Nilotinib,0.0,0.0,HCT-15,-18.22222222222222
